SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET6944,LaMANNO_ENDOTHELIAL_MIDBRAIN,1.42034867195291e-35,6.39583006980393e-32,1.54987806027287,-0.603901858560338,-2.73196146244334,323,RASGRP3|MFSD2A|CGNL1|TIE1|USHBP1|PECAM1|CDH5|ITM2A|FXYD5|CD93|MMRN2|CD34|TCN2|MMP28|ADGRL4|THSD1|SLC3A2|SLC2A1|SLC7A5|CLDN5|KDR|SHE|TEK|GPR146|VWA1|APLNR|DIPK2B|THBD|TMEM255B|KLF4|SCARF1|PROSER2|EGFL7|HRCT1|BSG|ARHGAP18|HLX|MECOM|VWF|SOX7|ADAMTSL2|UTRN|PDGFB|DYSF|GIMAP1|SLC38A5|SH3TC1|EDN3|NOS3|SLC52A3|AFAP1L1|CAVIN1|ESAM|FLT4|FLT1|ECM1|EOGT|ICAM2|CHST7|ID1|SLC7A1|ACVRL1|ITPR3|IFI27|SEMA3G|ROBO4|LSR|APLN|PLXND1|ENG|LMO2|CDA|ADM|NOS2|ANXA3|PTPRB|CLEC1A|ITGA5|TBX1|CLEC14A|MYCT1|BHLHE40|PLK2|VIP|RAMP2|PLAAT3|MAP4K2|ACE|SH3BP4|EFNA1|ISM1|CD55|CXCL1|SLC38A3|EDN1|ECSCR|MYDGF|LRRC36|JCAD|PLCB3|BCAM|SLC16A3|MYCBPAP|ABCG2|KLHL6|VEGFC|TM4SF1|DEPP1|NPR1|SERPINE1|NAMPT|TMEM37|ADAM15|CXCL12|GBP6|LUZP1|HSPG2|SQOR|DUSP6|GNA14|FAM124B|SHROOM1|TMC6|DLL4|GIMAP6|VWA2|HSPA12B|TBX3|MYZAP|GRAP|SLC7A8|TNFRSF14
MOSET6955,BUTLER_ENDOTHELIAL_HPA,3.25811850797921e-30,7.3356538207152e-27,1.42456271623384,-0.638477637912829,-2.85567955983639,229,GJA4|NID2|TRPC6|TIE1|ESYT1|USHBP1|PECAM1|CDH5|CD93|MMRN2|CD34|GNG11|MEOX2|ADGRL4|THSD1|COL4A2|DOCK6|STARD13|CLDN5|KDR|COL4A1|MCAM|TMEM204|LGALS1|SHE|TEK|LRRC32|PPFIBP1|DIPK2B|ADGRF5|TMEM255B|EGFL7|HTRA3|MFGE8|VWF|SOX7|TNS2|PDGFB|NOTCH4|CALHM2|EPAS1|ARAP3|CALCRL|TCF7L1|CCM2L|AFAP1L1|ADAMTS9|CAVIN1|ESAM|FLT4|FLT1|CYYR1|TUBB6|ICAM2|ACVRL1|ATOH8|SEMA3G|ROBO4|FAP|PLXND1|PHLDB2|ENG|NDUFA4L2|TLN1|PTPRB|CLEC1A|CLEC14A|MYCT1|RHOJ|SASH1|EHD2|TNS1|VAMP5|SPARC|RRAS|CD248|TGFBR2|RAMP2|HIF3A|EMCN|ANGPT1|GABRE|ECSCR|COL5A3|TIMP3|JCAD|DLC1|BCAM|PEAR1|RBMS3|VEGFC|TM4SF1|NPR1|REM1|JAM2|LAMB2|ARHGAP29|GJA5|HSPG2|ITGB5|OLFML2A|ITIH5|ARHGAP6|TBX2|DLL4|GIMAP6|HSPA12B|PLS3|ACKR3|BCL6B|EBF2|NOTCH3|ANGPT2|LAMB1|STARD8|NEK7|COL15A1|ADCY4|PHLDB1|CD300LG
MOSET6853,ZHANG_MOUSE_ENDOTHELIAL_2014,7.00586180971638e-26,1.05157985763843e-22,1.31888879607587,-0.769014189121916,-3.25473632024914,95,TIE1|PECAM1|STAP2|CDH5|ITM2A|CD93|C130074G19RIK|CD34|ADGRL4|COL4A2|CLDN5|KDR|COL4A1|FZD6|TEK|VWA1|APLNR|NID1|ADGRF5|EGFL7|BSG|NOSTRIN|SOX7|ADAMTSL2|APOLD1|ABCB1A|SLC38A5|FLVCR2|PPIC|LAMA4|NOS3|CAVIN1|ESAM|SLC39A8|FLT1|ECM1|ICAM2|CD40|PRND|ACVRL1|RGS5|ROBO4|LSR|PLTP|FOXQ1|FN1|N4BP3|AU021092|WFDC1|SLCO1A4|IGFBP7|PTPRB|RHOJ|EMCN|CTLA2A|EFNA1|LY6A|OCLN|NIBAN1|APCDD1|TM4SF1|IL2RG|ARHGAP29|LY6C1|FOXF2|RFLNB|DLL4|HSPA12B|HMGCS2|PGLYRP1
MOSET7058,kelley_Endothelial,2.07557531901281e-24,2.33657891537867e-21,1.27903397725049,-0.684312747283606,-2.96208319447007,137,MFSD2A|TIE1|PECAM1|ITM2A|CD34|GNG11|TCN2|SLC3A2|DOCK6|SLC2A1|SLC7A5|CLDN5|ADGRA2|KDR|TMEM204|B2M|LRRC32|DIPK2B|ADGRF5|MSN|NOSTRIN|MECOM|VWF|TNS2|GIMAP1|SLC38A5|NOTCH4|EPAS1|ARAP3|CAVIN1|ESAM|FLT1|CYYR1|ICAM2|FLI1|ITGA1|ID1|SIPA1|ACVRL1|IFI27|RGS5|ROBO4|CFH|PLXND1|ENG|STOM|LMO2|FN1|NDUFA4L2|IGFBP7|TLN1|PTPRB|CLEC14A|MYH9|MYCT1|SASH1|PLAT|IL13RA1|RRAS|TGFBR2|EMCN|CREB3L2|ECSCR|FOXC1|HIGD1B|PSMB9|DLC1|ABCG2|ECE1|PTTG1IP|LAMB2|OLFML2A|ITIH5|SQOR|GIMAP6|HSPA12B|TMEM35B|IFITM1
MOSET6940,ZEISEL_ENDOTHELIAL,8.83286440384275e-24,7.95487768210078e-21,1.26273988547916,-0.53989753093599,-2.44660976158164,336,ACKR2|KANK4|USHBP1|PECAM1|STAP2|CDH5|ITM2A|FBLN5|MMRN2|CCDC141|C130074G19RIK|CD34|ADGRL4|SLC3A2|SLC7A5|TCF7|CLDN5|KDR|SERPINB9|SHE|PIEZO2|FZD6|TEK|PPFIBP1|VWA1|APLNR|ADGRF5|SCARF1|PROSER2|EGFL7|VSIG10|BSG|NOSTRIN|GM12250|TPD52L1|SOX7|ABCB1A|SLC38A5|FLVCR2|EDN3|ZFP69|ACER2|CCM2L|B3GNT2|FLT4|FLT1|EOGT|CYYR1|SLC25A24|ICAM2|CD40|GIMAP4|PRND|SLC7A1|ACVRL1|ITPR3|ROBO4|ENG|RPL9|FOXQ1|CTSW|FN1|N4BP3|AU021092|LY6C2|ARL4A|SLCO1A4|PTPRB|CLEC1A|ARHGAP27|FOXL2|MYCT1|PCDH12|ADAMTS10|CMTM8|GATA2|TDRP|FAM114A1|KCP|RAMP2|MAP4K2|PVR|EMCN|CTLA2A|LY75|EDN1|NIBAN1|9030619P08RIK|ETS2|APCDD1|ANKRD23|PGM5|MAOA|ARHGEF5|TMEM252|ECE1|LRRC8C|VEGFC|NAMPT|SLC6A20A|IL2RG|CXCL12|LY6C1|LUZP1|CTHRC1|ABCC6|RFLNB|SHROOM1|LAYN|HSPA12B|HMGCS2|PGLYRP1|TJP1|BCL6B|NEBL|IFIT1|KCNE3|LAMB1|RPL41|PABPC1|TFRC|HBB-BS|SLC66A2|RPS18|ADCY4|KCNQ1|IGFBP3|ABCC9|AXIN2|BAG3|SGMS1|SVIL|SPOCK2|ATP10D|AW112010|FYCO1|SLC22A8|BC028528|SLC6A6|CDKN2B|ERAP1|USP18|TNFSF10|AKAP13|OASL2|TEAD2|RGL2|UNC45B
MOSET7767,JAKEL_2019_PERICYTE,3.3145561016404e-23,2.48757435428112e-20,1.24623277191648,-0.528756201027733,-2.40136136234678,367,COL18A1|GJA4|PECAM1|ELL2|ITM2A|ZFP36|HES1|GNG11|SLC3A2|COL4A2|SLC2A1|SLC7A5|CLDN5|COL4A1|COLEC12|LGALS1|B2M|PPFIBP1|NID1|ADGRF5|TAGLN|PDLIM5|MSN|EGFL7|BSG|NOSTRIN|MFGE8|MECOM|VWF|RBPMS|UTRN|TNS2|CDKN1A|EPAS1|ETS1|ARPC1B|CAVIN1|FLT1|FLI1|ITGA1|IGF2|ID1|KLF2|SLC7A1|NR4A1|IFI27|SLC38A11|CFH|ENG|STOM|RPL9|FN1|COL6A2|NDUFA4L2|COBLL1|IGFBP7|TIMP1|PTPRB|CYBA|MYH9|BHLHE40|TFPI|EHD2|JUN|TNS1|VAMP5|SPARC|RRAS|BGN|MAML2|INPP4B|TGFBR2|RAMP2|PSMA7|IER2|EDN1|GADD45B|ZFP36L1|COL5A3|TIMP3|JUNB|COX7A1|ETS2|HSPB1|HIGD1B|JCAD|FAM107A|DLC1|IMMP2L|BCAM|ZEB1|ABCG2|ECE1|RBMS3|TM4SF1|C1QTNF1|PTTG1IP|FOS|LAMB2|ANXA2|ARHGAP29|EEF1A1|EGR1|NR2F2|ITIH5|SLC6A1|TESC|VIM|SPARCL1|ID3|CSTB|TAGLN2|ALDOA|CNN3|IFITM1|RHOB|S100A11|NEBL|WWTR1|GGT5|HERPUD1|BTG1|NOTCH3|RPL41|ANXA5|PDZD2|CEBPB|MYL6|SLC20A2|PDE3A|DUSP1|ABCC9|DSTN|ATP1B3|EPS8|RPS14|RPS16|COX7B|SVIL|SPOCK2|RPL13A|CAVIN3|ARHGAP31|PDE7B|CCDC85B|TMSB10|ACTN1|POLR2L|ERG|KLF9|NDUFA1|AKAP13|AXL|SLCO2B1|OST4|CAV1|TUBB4B|RPL36|A2M|UACA|AGRN|RPL35|PTPN12|RBMS1|RPL27|CCDC3|FLNA|POMP|TPM2|RPL24|ELOVL7|TPM4|RORA
MOSET7610,ABSINTA_2021_VASCULAR,3.57558354408172e-21,2.30012181414285e-18,1.18665095279281,-0.535080297912312,-2.41537551796911,308,MFSD2A|CGNL1|TIE1|PECAM1|ITM2A|FBLN5|GNG11|EGFR|ADGRL4|COL4A2|SLC7A5|CLDN5|COL4A1|COLEC12|TEK|LRRC32|NID1|ADGRF5|TBX18|TAGLN|PDLIM5|MSN|EGFL7|BSG|NOSTRIN|MECOM|VWF|RBPMS|UTRN|FLVCR2|EPAS1|ETS1|SLC16A12|LAMA4|CALCRL|ACSS3|ADAMTS9|FLT1|CYYR1|ADAM33|FLI1|ITGA1|ID1|KLF2|SLC7A1|IFI27|SLC38A11|RGS5|CFH|PHLDB2|FN1|COL6A2|COBLL1|IGFBP7|ANXA3|PTPRB|BHLHE40|TFPI|COL1A2|CMTM8|PLAT|APOD|PLSCR1|MAML2|INPP4B|TGFBR2|EMCN|ISM1|TBX15|GADD45B|FAM20A|SRGN|TIMP3|JUNB|ETS2|SLC6A13|FAM107A|DLC1|RUNDC3B|SRPX2|IMMP2L|LAMC3|ZEB1|ABCG2|RBMS3|CRISPLD2|TM4SF1|ABCC4|DEPP1|NAMPT|BACE2|ARHGAP29|NR2F2|ITIH5|VIM|SPARCL1|ID3|ARHGAP6|NHSL2|SAT1|WWTR1|PARVB|NOTCH3|ANGPT2|PTPN14|COL15A1|PDZD2|IGFBP2|CACNB2|IGFBP3|PDE3A|DUSP1|SLC7A11|NHS|BICC1|CEP112|SVIL|ARHGAP31|PDE7B|TMSB10|ADGRG6|ACTN1|ERG|PLSCR4|CPNE8|SULF2|AKAP13|A2M|CARMN|RBMS1|THSD7A|P2RY14|FLNA|ELOVL7|RORA|SDK1|NPAS2|PDGFRB|IL18R1|IRAK3|PLCE1|SVEP1|PID1|NXN|PRELP|CCDC85A|PLA2G4A|PCSK5|PLXDC1|ABCA9|ANTXR2|CP|TGFBR3|PTPRM|MAP3K20|CACNA2D3|ETV6|FGF13|SLC9A3R2|NEDD9|VCL|PRKCH|TMTC1|AKAP12|DCN|IL1R1|CEBPD|MYOF|ARHGAP10|SMOC2|PRICKLE2|LDLRAD3|MCTP1|PARD3|PRICKLE1|LAMC1|PLOD2|CDYL2
MOSET6886,TURCAN_CpG_HYPERMETHYLATED_AND_DOWNREGULATED_IN_IDH1MUT_CLINICAL_SAMPLES_442_GENES,4.5465529810935e-19,2.55914100923301e-16,1.12391496374483,-0.47713914087337,-2.16733279432619,413,CAST|ESYT1|FES|FBLN5|ZFP36|HES1|UPP1|HMG20B|ACADL|PLIN3|LGALS1|FOSL1|FZD6|SLC35G2|SDC4|MSN|BIRC3|EPHA2|CLEC11A|DPP4|ACSS3|CAVIN1|RARRES1|ADAM12|CYP27A1|TUBB6|SLC25A24|YAP1|SLC43A3|ERF|MCFD2|SPATA6|SLC2A10|COL6A2|ADM|HEBP1|ARC|KLF6|JHY|PDPN|MYH9|RGN|TNFRSF12A|EHD2|UNC93B1|RRBP1|RUBCNL|ALPK3|IL13RA1|EYA4|PRDX1|FAM114A1|SLC11A1|STEAP3|SWAP70|NIBAN1|SOCS1|SFRP4|DYNLT3|HSPB1|EN1|RPL39L|ITGA7|LDHA|DLC1|ST8SIA5|SMAGP|SLC16A3|SYNPO|ECE1|HDHD3|TENT5A|AEBP1|RPS6KA1|SDHAF1|EHBP1L1|PIEZO1|GPRC5C|MX1|PLBD1|ITGBL1|EMILIN1|RIN1|ANXA2|EPB41L4A|GNG12|OLFML2A|TTC39A|ELF4|COLEC11|VIM|ARHGEF1|HEXB|PSMD8|DUSP5|CHPF2|MYO9B|ALOX5|TAGLN2|PRPS2|TMEM51|AOX1|PTPN18|GRB10|S100A11|HRH1|WWTR1|BANK1|PARVB|CTSA|LAMB1|CROCC|ANXA5|PDIA5|SSX2IP|KDELR3|TOM1L1|IGFBP2|RCN3|GMPPA|DDB2|G0S2|TRAF5|TNFRSF25|CEP112|RUNX1|MFSD10|PPCS|TPPP3|GCHFR|TGIF1|MZF1|CAVIN3|PSMB10|PYGL|DOK1|CLDN10|PDGFA|SPRY4|SSH3|EVA1B|PAK4|ACTN1|FKBP9|GCFC2|NQO2|SHOX2|CPPED1|FGFR3|CHAC1|PIK3CD|MOXD1|CD302|FLII|SPATS2L|NR2E1|IFFO1|IQSEC1|EFHC2|IGF2BP3|KANK2|DENND3|GALNT3|TPM4|NPAS2|CALU|CASP6|FHL3|NSUN7|LGALS8|BFSP1|SLC25A20|PLCE1|TMEM176B|RNF128|NTAN1|NSUN5|CTNNA1|P2RY1|FHOD1|OXTR|TRIP10|DAZAP1|TUFT1|OPA3|HDAC7|PCOLCE|ARSJ|RALB|SKAP2|SQSTM1|MAP3K20|CPD|PITX1|H2AJ|DNMT3A|PARP12|SERTAD3|BMP8B|PRKD2|CPTP|MAP3K6|AKAP12|AHNAK2|MDFIC|SLC39A4|CEBPD|BCAT2|PPP6R1|AURKB|MIS18BP1|OSBPL3|TRPM4|EFEMP2|CPQ
MOSET7749,JAKEL_2019_ENDOTHELIAL1,5.18242478809461e-19,2.59293986897667e-16,1.12391496374483,-0.495212335566183,-2.24907290866895,364,MFSD2A|CGNL1|TIE1|PECAM1|CDH5|ITM2A|FXYD5|ZFP36|HES1|GNG11|ADGRL4|SLC3A2|COL4A2|SLC2A1|SLC7A5|CLDN5|LGALS1|B2M|LRRC32|PPFIBP1|ADGRF5|KLF4|PDLIM5|MSN|EGFL7|BSG|NOSTRIN|MECOM|VWF|UTRN|SLC38A5|EPAS1|CAVIN1|FLT1|ICAM2|FLI1|ITGA1|ID1|KLF2|SLC7A1|NR4A1|IFI27|ROBO4|CCN1|ENG|STOM|LMO2|RPL9|FN1|RPL14|NDUFA4L2|COBLL1|IGFBP7|PTPRB|MYH9|BHLHE40|JUN|PLAT|TNS1|VAMP5|SPARC|PLSCR1|TGFBR2|RAMP2|EMCN|ELF1|IER2|CD46|EDN1|GADD45B|ZFP36L1|SRGN|TIMP3|JUNB|COX7A1|ETS2|JCAD|FAM107A|IFNGR1|RUNDC3B|RPL29|ZEB1|VSIR|ABCG2|RBMS3|TM4SF1|JAM2|NAMPT|PTTG1IP|FOS|ARHGAP29|EEF1A1|VIM|SPARCL1|DUSP6|ID3|UQCRQ|CSTB|TAGLN2|CHSY1|IFITM1|PLPP1|RHOB|GRB10|SAT1|S100A11|RPS8|NEBL|WWTR1|HERPUD1|PON2|RPL41|ZFPM2|ANXA5|PTPN14|RPS18|RNF19A|MYL6|DUSP1|RPS21|DSTN|CEP112|RPS14|SVIL|SPOCK2|RPL13A|ARHGAP31|CCDC85B|TMSB10|POLR2L|ERG|CPNE8
MOSET6937,ZEISEL_MICROGLIA,1.32289500659214e-18,5.95699621468439e-16,1.11466447751729,-0.476519758895037,-2.16158033660858,405,SYK|ABCB1B|CD83|CCL3|LCP1|LST1|PIK3R5|RENBP|CCL2|SH2B3|CTSC|UGT1A2|NCF4|MAN2B1|P3H2|CCL4|TUBB6|ADAM33|MCFD2|TNF|CCL7|BMP2|H2-AA|CREG1|H2-Q2|CXCL10|NAGPA|MSR1|TNFRSF1B|REL|IRAK4|LCP2|MPEG1|ACP5|F13A1|CCDC88B|H2AC8|DOCK2|NFAM1|SLC38A6|UNC93B1|IL1A|FTL1|FRRS1|MYO1F|GPR160|CH25H|PLEK|CXCL1|EGR2|SLFN2|SNX5|CLEC10A|LYVE1|CSF1R|STAB1|MS4A6B|UGT1A7C|CFHR2|SUSD1|SLC9A9|ADCY7|SLC7A7|NLRP3|CD14|HK3|ALOX5AP|CASS4|CYTH4|CD36|CGAS|SGSH|INPP5D|NCF2|HAVCR2|CXCL2|TMEM106A|VAV1|PLD4|CD84|NCKAP1L|SNX2|P2RY13|P2RY6|SLAMF9|ADRB2|LRMP|PIK3CG|CTSS|GRN|CD163|ITGAM|NFATC2|RNF19B|GDF15|HK2|HEXB|WDFY4|CX3CR1|NPL|ALOX5|CTSD|ARHGAP4|BIN2|C1QC|CTSB|NINJ1|IRF8|SASH3|TNFRSF11A|PTPN18|BTK|LYZ2|MAF|LY96|ADGRE1|PLCG2|DOCK8|FCRLS|MS4A7|CASP1|DAB2|GPR34|FOLR2|DENND1C|EHD4|SP110|LGMN|ARRB2|C1QB|FCER1G|MKNK1|MAPKAPK2|TGFBI|CLEC5A|IL16|GALNT12|H2-Q10|DSE|DRAM1|ARHGAP45|FGD2|IL18BP|RAB3IL1|LAIR1|CD33|NFKBID|RRP1B|FBXW4|GM20605|PTPN6|LAT2|MRC1|WSB1|RAC2|PIK3CD|AI662270|SERPINB8|PARVG|RGS2|RILPL2|SPIDR|CCDC9|PYCARD|UAP1L1|PF4|1700017B05RIK|LAPTM5|RAD51AP1|TREM2|RGS1|GPR65|ORAI1|GPR183|DCLRE1C|PGAP6|P2RY12|NCOA3|IL1B|IKZF1|HACD4|RPL35A|TAGAP|SLC15A3|LYL1|STAG3|PAOX|PLA2G15|PACSIN2|GM6377|BLNK|TYROBP|ARHGAP19|TUFT1|KHK|FCNA|PXN|HMOX1|SKAP2|ABCA9|EVI2B|DSN1|NDST2|FERMT3|GMFG|HPS3|GINS2|RNU12|SLA|SCPEP1|DAZAP2|FMO5|TFEC
