SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET6955,BUTLER_ENDOTHELIAL_HPA,6.25976583323921e-50,2.81877255470761e-46,1.8428520069898,0.646404896937113,4.90063412364411,229,DOCK6|CD93|DIPK2B|GJA4|TMEM204|CDH5|ROBO4|COL4A1|MMRN2|COL4A2|ARAP3|NID2|TGFBR2|PECAM1|TEK|CAVIN1|STARD8|TBX2|ADGRF5|TNS2|TIE1|ADGRL4|CALHM2|CLEC1A|KDR|CLDN5|SOX7|LRRC32|EPAS1|ECSCR|USHBP1|PDGFRB|FLT1|EGFL7|CD248|ESAM|FAP|DLC1|SHE|ITGB5|MFGE8|ESYT1|CD34|ENG|MCAM|THSD1|TNS1|GNG11|VAMP5|AFAP1L1|ERG|VWF|OLFML2A|PDGFB|SPARC|STARD13|PEAR1|EMCN|PTPRB|PPFIBP1|VEGFC|FLT4|HIF3A|HTRA3|CCM2L|S100A13|NOTCH4|CYYR1|RHOJ|JCAD|ARHGAP31|ICAM2|MYCT1|NDUFA4L2|TRPC6|KANK3|LAMB2|CLEC14A|S1PR1|SASH1|CSPG4|ACVRL1|DLL4|ADAMTS9|CALCRL|RAMP2|EFEMP1|GPIHBP1|EHD2|TLN1|A4GALT|TUBB6|RRAS|ATOH8|SEMA3G|ITIH5|TIMP3
MOSET7058,kelley_Endothelial,3.47211418568865e-47,7.81746508907799e-44,1.79157248947691,0.750434977891127,5.50950575637684,137,DOCK6|DIPK2B|TMEM204|ROBO4|ADGRA2|ARAP3|TGFBR2|PECAM1|CAVIN1|RGS5|SIPA1|SLC2A1|ADGRF5|TNS2|TIE1|TCN2|KDR|CLDN5|FLI1|LRRC32|EPAS1|SLC38A5|ECSCR|ITGA1|HIGD1B|ITM2A|PDGFRB|FLT1|IGFBP7|SLC7A5|ESAM|MECOM|GIMAP1|DLC1|CD34|ENG|GNG11|ERG|VWF|OLFML2A|NOSTRIN|EMCN|PTPRB|NOTCH4|CYYR1|ANXA5|PSMB9|IL13RA1|MSN|CFH|ICAM2|IFI27|ID1|MFSD2A|MYH9|B2M|LMO2|MYCT1|NDUFA4L2|PLAT|SLCO2B1|KANK3|LAMB2|CLEC14A|SASH1|FOXC1|RNF144B|GGT5|ACVRL1|IFITM1|STOM|CARD6|TLN1|RRAS|SP100|GBP4|SLC3A2|ITIH5|GPER1|PRKCH|CALD1
MOSET6944,LaMANNO_ENDOTHELIAL_MIDBRAIN,6.52257708945675e-43,9.79038821127458e-40,1.70874828719195,0.552618361330067,4.27399657387184,323,ADAMTSL2|RASGRP3|CD93|CGNL1|DIPK2B|CDH5|ROBO4|MMRN2|SLC38A3|NOS3|PECAM1|SCARF1|THBD|PROSER2|TEK|CAVIN1|SLC2A1|TIE1|ADGRL4|MMP28|TCN2|GPR146|APLNR|CLEC1A|KDR|CLDN5|DYSF|SLC52A3|SOX7|VWA1|SLC38A5|ECSCR|TBX3|ITM2A|USHBP1|FLT1|EGFL7|ITGA5|SLC7A5|ESAM|GRAP|APLN|MECOM|GIMAP1|EOGT|SHE|BHLHE40|FXYD5|CD34|ENG|LSR|THSD1|HRCT1|AFAP1L1|ERG|VWF|PDGFB|PTPRB|FAM124B|VEGFC|KLHL6|FLT4|NOD1|SH3TC1|CDKN2B|NLRC3|JCAD|ICAM2|SLC7A1|IFI27|ID1|MFSD2A|PLAAT3|TNFRSF14|ANXA3|CXCL1|VWA2|LMO2|MYCT1|ARHGAP18|UTRN|HELZ2|ACE|KCNJ2|ITPR3|KANK3|TMEM37|CXCL12|CLEC14A|RNF144B|ACVRL1|DLL4|EDN3|RAMP2|ADM|RALB|BSG|CARD10|GBP4|LGALS9|SEMA3G|SLC3A2|LRRC36|PLCB3|PRKCH|MGAT1|FOXF1|DNASE1L3|EFNA1|NPR1|CSRP1|LYL1
MOSET6853,ZHANG_MOUSE_ENDOTHELIAL_2014,5.48275451236342e-40,6.17221089229312e-37,1.64704014100292,0.79551886610624,5.67100494771046,95,ADAMTSL2|FLVCR2|STAP2|CD93|FZD6|CDH5|ROBO4|COL4A1|NID1|COL4A2|NOS3|PECAM1|TEK|CAVIN1|RGS5|ADGRF5|TIE1|ADGRL4|SLC22A8|C130074G19RIK|APLNR|KDR|CLDN5|SOX7|LAMA4|CTLA2A|VWA1|SLC38A5|ABCB1A|ITM2A|FLT1|EGFL7|IGFBP7|BC028528|ESAM|CD34|LSR|AU021092|SLC39A8|PRND|ERG|PLTP|PGLYRP1|NOSTRIN|LY6C1|EMCN|PTPRB|SLCO1A4|FOXF2|RHOJ|CD40|ICAM2|APOLD1|APCDD1|PPIC|KANK3|ACVRL1|DLL4|HMGCS2|BSG|IL2RG|LY6A|NIBAN1|EFNA1|SLC16A4|RFLNB|OCLN|FN1|ARHGAP29|FOXQ1
MOSET6940,ZEISEL_ENDOTHELIAL,5.24720078902618e-35,3.93802419216415e-32,1.53645895003215,0.512328362576684,3.95680191136504,336,FLVCR2|STAP2|FZD6|TPD52L1|CDH5|ROBO4|SERPINB9|CCDC141|VSIG10|MMRN2|PGM5|PECAM1|SCARF1|TCF7|PROSER2|TEK|ADGRF5|ARHGAP27|ADGRL4|SLC22A8|C130074G19RIK|APLNR|CLEC1A|KDR|B3GNT2|CLDN5|SOX7|CTLA2A|VWA1|SLC38A5|ACKR2|ABCB1A|ITM2A|USHBP1|CTSW|FLT1|EGFL7|BC028528|SLC7A5|PCDH12|KANK4|ABCC9|EOGT|SHE|GIMAP4|CD34|ENG|TDRP|AU021092|GIMAP5|PRND|FBLN5|PGLYRP1|TMEM252|NOSTRIN|LY6C1|EMCN|PTPRB|IL1R1|PPFIBP1|VEGFC|FAM114A1|ABCC6|FLT4|SLCO1A4|CCM2L|CYYR1|CDKN2B|FYCO1|CD40|FOXL2|PIEZO2|ICAM2|SLC7A1|KCNE3|LY6C2|SLC6A20A|MYCT1|DENND3|APCDD1|ITPR3|KANK3|CXCL12|ACVRL1|EDN3|ZFP69|RAMP2|HMGCS2|BSG|GATA2|SVIL|CARD10|IL2RG|SLC3A2|KCNQ1|CTHRC1|NIBAN1|SNAI2|AW112010
MOSET6956,BUTLER_ENDOTHELIAL_GTEX,4.48595625105414e-35,3.93802419216415e-32,1.54318309134871,0.75704116566729,5.40764048523771,97,CD93|DIPK2B|GJA4|TMEM204|CDH5|ROBO4|MMRN2|TGFBR2|TEK|CAVIN1|STARD8|ADGRF5|TIE1|ADGRL4|CLEC1A|KDR|CLDN5|FLI1|LRRC32|EPAS1|TAL1|ECSCR|USHBP1|PDGFRB|EGFL7|ESAM|GIMAP1|ETS1|DLC1|GIMAP4|CD34|GIMAP5|THSD1|GNG11|ERG|VWF|PDGFB|PEAR1|EMCN|PTPRB|FAM124B|VEGFC|CCM2L|NOTCH4|CYYR1|ARHGAP31|ICAM2|MYCT1|KANK3|CLEC14A|S1PR1|SASH1|ACVRL1|ANXA1|CALCRL|RAMP2|EHD2
MOSET7767,JAKEL_2019_PERICYTE,4.92464110743348e-34,3.16795127239613e-31,1.51610760180865,0.486719064176048,3.77514189898777,367,GJA4|COL4A1|NID1|COL4A2|TGFBR2|PECAM1|RBPMS|CAVIN1|SLC2A1|ADGRF5|TNS2|CLDN5|FLI1|EPAS1|ITGA1|SPARCL1|BGN|HIGD1B|ITM2A|PDGFRB|FLT1|EGFL7|IGFBP7|SLC7A5|MECOM|ABCC9|ETS1|DLC1|IGF2|MFGE8|BHLHE40|ENG|ARPC1B|ATP1A2|TNS1|GNG11|VAMP5|ERG|VWF|SPARC|NOSTRIN|TFPI|PTPRB|PPFIBP1|ZFP36|MYL6|TIMP1|FAM107A|ANXA5|JCAD|ARHGAP31|MSN|CFH|SLC7A1|IFI27|ID1|COL18A1|MYH9|B2M|COBLL1|NDUFA1|C1QTNF1|COLEC12|CAVIN3|NDUFA4L2|UTRN|SLCO2B1|INPP4B|SLC38A11|ELL2|LAMB2|ANXA2|AXL|GADD45B|S100A11|GGT5|IFITM1|STOM|COL6A2|COX7A1|PDLIM5|HES1|RAMP2|NR2F2|EHD2|BSG|UACA|RPS14|PDZD2|SVIL|RRAS|WWTR1|CSTB|SLC3A2|ITIH5|PRKCH|TIMP3|CALD1|CDKN1A|AKAP12
MOSET7610,ABSINTA_2021_VASCULAR,5.48835633409545e-31,3.08925857155398e-28,1.44620288250144,0.502591014648423,3.86235196923208,308,FLVCR2|CGNL1|COL4A1|SLC16A12|NID1|COL4A2|TGFBR2|PECAM1|RBPMS|TEK|RGS5|ADGRF5|TIE1|TBX18|ADGRL4|CLDN5|LAMA4|FLI1|LRRC32|EPAS1|SRPX2|ITGA1|SPARCL1|ITM2A|PDGFRB|PTPN14|FLT1|EGFL7|IGFBP7|SLC7A5|MECOM|ETS1|DLC1|BHLHE40|ATP1A2|GNG11|FBLN5|ADAM33|ERG|VWF|APOD|NOSTRIN|LAMC3|P2RY14|TFPI|PLSCR4|EMCN|PTPRB|IL1R1|FAM107A|CYYR1|ABCC4|ARHGAP31|MSN|CFH|SLC7A1|IRAK3|IFI27|FAM20A|ID1|MFSD2A|CRISPLD2|ANXA3|PLXDC1|COBLL1|COLEC12|UTRN|PLAT|INPP4B|SLC38A11|COL1A2|TBX15|RNF144B|GADD45B|COL6A2|ADAMTS9|PDLIM5|CALCRL|NR2F2|PARVB|SRGN|BSG|SLC7A11|PDZD2|SVIL|WWTR1|ITIH5|CARMN|PRKCH|TIMP3|BACE2|AKAP12
MOSET6799,VERHAAK_TCGA_MESENCHYMAL_GBM_SUBTYPE,2.52007973921654e-29,1.26087989618801e-26,1.40995143033448,0.576600461867,4.31049661115291,195,TGFBR2|THBD|CAVIN1|IL15RA|CTSC|STAT6|LCP1|SRPX2|PLAUR|PROCR|ITGA5|MYO1F|SFT2D2|CYTIP|CASP8|STAB1|PTPRC|TNFRSF1A|FXYD5|ENG|LCP2|ARPC1B|S100A4|VAMP5|CAST|SH2B3|SLC11A1|LY96|IL1R1|PTPN6|BATF|TIMP1|CNN2|S100A13|IGFBP6|TLR4|MSR1|HK3|MYH9|FES|CYTH4|TNFAIP8|TEC|ITGA4|ANXA2|UCP2|S1PR1|COL1A2|WIPF1|NCF4|S100A11|THEMIS2|ANXA1|PTPN22|DAB2|EHD2|SYNGR2|ITGAM|RRAS|SP100|WWTR1|TNFRSF1B|PDPN|ELF4|MGAT1|RELB|FOLR2|RAB11FIP1|RAC2|RUNX2|PHF11|RBKS|NCF2|LY75|ARHGAP29|LAPTM5|EMP3|CYBRD1|TRIM38|MVP|MYOF|YAP1|ACPP|PLS3|COL1A1|LGALS1|SWAP70|SHC1|PYGL|SAT1|HEXB|TNFRSF11A|GCNT1|ASL|CPQ|BNC2|CLIC1|TMBIM1|GRN|SLAMF8|ITGB2|TGFBI|NOD2|SQOR|CD14|COL8A2|RBMS1|ADAM12|COPZ2|POLD4
MOSET6937,ZEISEL_MICROGLIA,3.05226424476973e-29,1.37443458941981e-26,1.40258870935552,0.445839712965653,3.46930241981298,405,SYK|UGT1A2|CD83|CTSC|RENBP|P2RY6|LCP1|SLAMF9|HPGD|MYO1F|H2-Q2|STAB1|CCL4|PIK3CG|HACD4|LCP2|NFAM1|ADAM33|PTPN18|SH2B3|LST1|LILRA5|LY96|PIK3R5|BMP2|PTPN6|SLC7A7|BIN2|DOCK8|CTSS|MPEG1|TYROBP|NPL|PYCARD|CLEC5A|ABCC3|MSR1|EHD4|HK3|GPR160|SGSH|CYTH4|CXCL1|FCRLS|GPR65|CD84|PARVG|ADGRE1|UNC93B1|UGT1A7C|CREG1|C1QB|MS4A6B|P3H2|IRAK4|CCL3|CRADD|WDFY4|AB124611|PLEK|LYZ2|NCF4|C1QC|BCL2A1B|FGD2|TFEC|H2-AA|LRMP|DAB2|CSF1R|IGSF6|PF4|TLR7|LY86|CD36|SUSD1|EVI2B|CD68|CTSD|ITGAM|TUBB6|DOCK2|FCER1G|NINJ1|NCF1|TMEM106A|ACP5|GDF15|GPR34|ABCB1B|TNFRSF1B|CX3CR1|IFI27L2A|ORAI1|PLD4|SLC15A3|SASH3|FOLR2|SLFN2|ANGPTL7|E230029C05RIK|TREM2|CCDC88B|MAN1C1|SP110|LYVE1|CD33|RAC2|LYL1|HCLS1|NCF2|HMOX1|SPI1|LAPTM5|CFHR2|WFDC17|IRF8|C1QA|INPP5D|CH25H|CLEC10A|SLC9A9|CBR2|RGS1|ALOX5AP|F13A1|CD163|NCKAP1L|BTK|APOBEC1|RILPL2|MRC1|CXCL10|ABHD15|EPSTI1|GMFG|HCK|VAV1|CGAS|HEXB|CASS4|FTL1|FRRS1|NRROS|TNFRSF11A|ARHGAP45|CCL6|CCL2|ARHGAP4|MS4A7|FERMT3|REL|PTAFR|FAU|ABCA9|UAP1L1|GRN|ITGB2|TGFBI|CD14|SH3BP1|CAPN3|TNFAIP8L2|IRF5|HPGDS|NDST2|IL10RA|SERPINB8|ADCY7|PACSIN2|C3AR1|CASP1|P2RY13|AI662270|IL16|MOCOS|CTSB|H3C11|CCR5|SLC38A6|CCR1|CD48|GPX3|LAIR1|MILR1|ARHGAP30|PLA2G15|SPIDR|LGMN|MAF|CAMK1|BLNK|BLVRB|GINS2|ARSB|SIGLECH|HEXA|MIR692-1|TNF|MGL2|RHOH|FMO5
