SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET6955,BUTLER_ENDOTHELIAL_HPA,1.82676464860458e-21,8.22592121266643e-18,1.19534448258848,-0.516004681359131,-3.26391856631579,229,SPARC|VAMP5|JCAD|EGFL7|CALHM2|RAMP2|DLL4|KANK3|ATOH8|SEMA3G|DLC1|FKBP9|CDC42EP2|CAV2|CAVIN2|FBLN2|CD81|SLC12A4|RASIP1|NPR1|TGFBR2|SHE|CAV1|PODXL|TM4SF1|LAMB1|ADAMTS9|SLIT3|HSPG2|KDR|MAP3K6|TSPAN4|FAM110D|ANGPT1|GAS6|CALCRL|MFGE8|CAVIN1|MCAM|DOCK6|FIBIN|SASH1|CDH5|GJA4|USHBP1|TMEM204|ACOT9|CRIP2|AFAP1L1|TBX2|RBMS1|TIMP3|CD93|PHLDB2|LTBP2|GNG11|LRRC32|ICAM2|A4GALT|NID2|ADAMTS15|ESYT1|CYTH3|NRP1|PREX2|LGALS1|ECSCR|CLDN5|TEK|MMRN2|THSD1|PPFIBP1|RHBDF1|CCM2L|PECAM1|TRPC6|TIE1|ADGRD1|COL4A2|LAMA2|AMOTL2|SVEP1|COL4A1|PLXND1|FAP|ADGRL4|EFEMP1|BCL6B|PDGFB|RHOJ|DOCK9|ERG|SCARF2|CD34|SOX7|CCDC85A|STARD13|ITGB5|ACVRL1|DIPK2B|CLEC3B|PHLDB1|MYCT1|ARAP3|MEOX2|BCAM|ROBO4|ITIH5|NDUFA4L2|TMEM255B|GPR4|COX4I2|ADGRF5|GPIHBP1|FLT4|CLEC14A|TNS2|CLEC1A|SH2D3C|ADAMTSL4
MOSET6853,ZHANG_MOUSE_ENDOTHELIAL_2014,1.00326253262072e-18,2.25884559219556e-15,1.11466447751729,-0.658286459101098,-3.91241943971718,95,LSR|APCDD1|EGFL7|APLNR|DLL4|STAP2|EFNA1|KANK3|SLCO1A4|ADAMTSL2|CSRP2|CAVIN2|NIBAN1|SLC38A5|RASIP1|PODXL|TM4SF1|VWA1|LAMB1|FZD6|KDR|NOS3|ITM2A|CAVIN1|NID1|PPIC|FLVCR2|NOTUM|CD40|CDH5|PLTP|CD93|BSG|OCLN|ICAM2|DOK4|ST8SIA4|PRND|CLDN5|TEK|PECAM1|TIE1|COL4A2|WFDC1|COL4A1|SLC16A1|ADGRL4|BCL6B|RHOJ|ERG|ABCB1A|CD34|SOX7|FOXF2|BC028528|C130074G19RIK|LY6A|AU021092|ACVRL1|FN1|CTLA2A|ROBO4|ADGRF5|RGS5|IGFBP7|FOXQ1|SLC22A8|ESAM
MOSET7060,kelley_Mural,4.20674153268791e-16,6.31431904056455e-13,1.03769615548758,-0.548124182736971,-3.33738354085071,142,VCAM1|TBX18|CALD1|CASQ2|LTBP1|THBD|PRELP|FMOD|VIM|EMP1|COL6A2|COL3A1|ADAMTS1|CAV2|DCN|NIBAN1|ECM2|SOCS3|CAV1|TM4SF1|ZFP36|NNMT|PRSS23|PALLD|DES|ANGPT1|CFI|JUNB|MRGPRF|FRZB|MCAM|NPNT|AOC3|CAVIN3|GADD45B|C1QTNF7|COL1A2|FBLIM1|COL1A1|GJA4|RBPMS|LUM|GPX8|CFH|TGM2|FOSL2|OSMR|IL1R1|AHNAK|MFAP4|VASN|CCN1|COL4A2|RHOB|CEBPD|ICAM1|CYTIP|NEXN|PROCR|FBLN5|S100A4|OSR1|TPM1|FN1|ITGA8|HILPDA|MYOF|VCL|CPED1|IGFBP7|ATF3|FOXC1|IER3|ANXA1|ACTA2|IGFBP3|SFRP4|MYH11|CNN1
MOSET7767,JAKEL_2019_PERICYTE,6.87438391618174e-16,7.73883769364159e-13,1.02766987054358,-0.403863346983013,-2.63440193146846,367,SPARC|ANXA2|VAMP5|JCAD|NR2F2|EGFL7|ID1|RAMP2|GALNT18|CALD1|C1QTNF1|MYL6|ID3|PRELP|DLC1|VIM|NXN|COL6A2|DCN|CAVIN2|SH3BGRL3|TGFBR2|CCDC3|CAV1|PLEKHG1|PODXL|NDUFA1|PRKG1|TM4SF1|ZFP36|MECOM|FAM107A|FOS|HCFC1R1|ARPC1B|ITM2A|CSTB|JUN|LEF1|TESC|ABCG2|JUNB|MFGE8|CAVIN1|COX7A1|BHLHE40|NID1|STAT3|CD63|EEF1A1|CAVIN3|GADD45B|RNF152|CST3|RPL9|SLC7A5|STOM|GJA4|RPL37A|PDE3A|RBPMS|SELENOM|CDK2AP2|CRIP2|FAU|RBMS1|KLF2|TIMP3|BSG|GNG11|IER2|COBLL1|CFH|UQCR11|COL18A1|MSN|FLI1|TGM2|SLC3A2|FOSL2|RPL35|CYTH3|RPS14|SLC20A2|SLC38A11|LGALS1|RPL41|CLDN5|SPOCK2|CCDC85B|RPL36|TXNIP|PPFIBP1|CNN3|PECAM1|PDLIM5|FNDC3B|HES1|KLF9|ALDOA|AGRN|COL4A2|LAMA2|RHOB|COL4A1|CEBPD|RPS7|TBC1D4|HIGD1B|SLC2A3|IFI27|ERG|SLC2A1|COLEC12|TPM1|GMDS|FN1|EPS8|FRMD3|RPL13A|NAA38|IFITM1|GGT5|ATP1A2|BCAM|ITIH5|BGN|NDUFA4L2|RPL27|SERF2|B2M|PSMA7|MYL12B|PDE10A|ADGRF5|EMP2|LRCH1|RPS27|VCL|PTTG1IP|IGFBP7|TNS2|DDIT4|DUSP1|FEZ2|UBL5|IGF2|RPS19|ELL2|RPS23|PAM|RPL7A|RPS16|CYB5R3|SLC6A1|SLC7A1|RPL18
MOSET6799,VERHAAK_TCGA_MESENCHYMAL_GBM_SUBTYPE,2.55592689451203e-15,2.30186776119753e-12,1.00731795687447,-0.483285341980842,-3.03118340522255,195,ANXA2|VAMP5|ITGA4|CYBRD1|MSR1|ASL|LTBP1|THBD|PDPN|MGAT1|GRN|PYGL|POLD4|DAB2|SH2B3|COL8A2|NPC2|HEXA|TGFBR2|RAB11FIP1|PTPN6|PLAUR|LAMB1|TMBIM1|ANXA4|ARPC1B|BATF|MYO1F|TEC|CAVIN1|STAB1|LGALS3|ADAM12|LY96|SRPX2|LCP2|COL5A1|COL1A2|COL1A1|NCF4|CTSC|SLAMF8|RBMS1|SLC11A1|TNFRSF1A|UCP2|LTBP2|CAST|STXBP2|CTSB|IL1R1|NRP1|LGALS1|ITGB2|MAFB|FNDC3B|MFSD1|PLA2G15|THEMIS2|COLGALT1|FOLR2|FES|FXYD5|TLR4|CYTIP|PROCR|LCP1|KYNU|S100A4|IL15RA|FCGR2B|PIGP|LAIR1|MYOF|HK3|RABGAP1L|SFT2D2|LHFPL2|SQOR|NCF2|DRAM1|DOK3|YAP1|TNFAIP8|MAN2A1|SP100|STAT6|LAPTM5|ACPP|CNN2|TES|MCUB|CYTH4|ANXA1|SYNGR2|CASP8|IFI30|BDKRB2|RAC2|BLVRB|THBS1|FMNL1|BNC2|MS4A4A|EHD2|LOX|PTPRC|SWAP70|CASP4|CD14|IGFBP6|ITGA5|S100A13|LRRFIP1|RELB
MOSET6944,LaMANNO_ENDOTHELIAL_MIDBRAIN,7.92978886063744e-14,5.9513065399084e-11,0.954541630725724,-0.398504489882332,-2.58305542764126,323,RALB|LSR|CXCL12|JCAD|EGFL7|APLNR|ID1|LMO2|RAMP2|DLL4|EFNA1|KANK3|LXN|ADAM15|VWA2|ADAMTSL2|ACE|THBD|CXCL1|MGAT1|SLC52A3|EDN3|SEMA3G|SLCO2A1|CAVIN2|SLC38A5|SLC7A8|GPR146|PLAAT3|RASIP1|NPR1|SHE|CAV1|PLEKHG1|PODXL|TM4SF1|DAP|VWA1|MECOM|SLC16A2|HRCT1|GUK1|HSPG2|KDR|NOS3|ITM2A|PLCB3|LEF1|ABCG2|ANXA3|CAVIN1|BHLHE40|CYB5A|MMP28|SLC7A5|CD55|TMEM37|CDH5|SH3BP4|USHBP1|EPHX4|KLF4|AFAP1L1|SCARF1|CD93|BSG|ICAM2|TGM2|SLC3A2|CGNL1|SH3TC1|RNASE1|RASGRP3|ECSCR|CLDN5|TEK|MMRN2|THSD1|MYZAP|LYL1|PECAM1|KLHL6|XIRP2|TIE1|GBP4|GRAP|CDKN2B|LRRC36|RHOB|PROSER2|SNX3|LGALS9|PLXND1|CHST15|NLRC3|SLC16A1|ADGRL4|BCL6B|HELZ2|IFI27|FXYD5|DYSF|PDGFB|HDAC7|DOCK9|ICAM4|EOGT|ERG|SLC2A1|MYDGF|CD34|SOX7|SP6|ACVRL1|CASP12|DIPK2B|CLEC3B|MATN3|MYCT1|DEDD2|GIMAP1|BCAM|FGR|ROBO4|CCDC68|MFSD2A|TMEM255B|TMC6|PIK3R6|TBX3
MOSET6946,LaMANNO_MICROGLIA_MIDBRAIN,3.02027484437095e-13,1.7000372030253e-10,0.932595211336209,-0.423827969280822,-2.69784040708607,258,RILPL2|GM2A|GLIPR1|CREG1|GPR34|KCNK13|CD84|SLC15A3|MAP3K8|P3H2|HPSE|PTPN6|LPCAT2|CTSD|LGMN|RREB1|RBM47|MYO1F|CCR1|ATP8B4|MPEG1|EVI2B|CD48|LY96|TICAM1|JAK3|MS4A7|NCF4|SPP1|NFATC1|CTSC|CD274|TMEM106A|TYMP|FGD2|CTSB|MERTK|CD163|BLNK|MRC1|IL16|ITGB2|LY86|SYK|PLD4|SLC25A19|CLEC7A|TYROBP|MAFB|HCLS1|NFKBIZ|PIK3CG|IGSF6|CTSS|PTAFR|CCL4|DRAM2|MFSD1|LPAR5|PLA2G15|CD83|PARVG|ARHGAP25|RPS6KA4|IL17RA|CTSH|COLGALT1|STX11|MFSD12|CASP9|FOLR2|RGS1|RAB3IL1|APBB1IP|CYTIP|APOC2|NEU4|FGL1|LYN|ZC3H12A|MAF|FCER1G|LCP1|CD68|CPVL|S100A4|TMEM273|ABI3|TREM2|CYBB|TLR7|TMEM144|PLCB2|BIN2|TFEC|IL13RA1|LAIR1|RIN2|PYCARD|C1QB|TBC1D12|MKNK1|RUBCNL|CCL3|IL10RA|NCF2|C1QC|LAPTM5|SLC37A2|CYTH4|CX3CR1|IFI30|HMOX1|CYFIP1|IRF8|SPI1|ADORA3|CD37|NCKAP1L|ARRB2
MOSET7053,kelley_microglia,2.65418571501399e-13,1.7000372030253e-10,0.932595211336209,-0.52827795625139,-3.18533995672611,127,RHBDF2|VAMP8|GPR34|CD84|SLC15A3|CEBPA|TRAF3IP3|PTPN6|ITGAX|LPCAT2|MYO1F|CCR1|MPEG1|EVI2B|LST1|PRAM1|MS4A7|IL18|UCP2|ADAP2|GMFG|BLNK|ITGB2|LY86|SYK|EBI3|TYROBP|HCLS1|IGSF6|UBA7|CTSS|PTAFR|LPAR5|PARVG|CD33|WDFY4|FOLR2|FXYD5|APBB1IP|FCER1G|LCP1|CD68|CLEC9A|TREM2|CYBB|TLR7|IL13RA1|LAIR1|PYCARD|C1QB|LHFPL2|IL10RA|C1QC|LAPTM5|CYTH4|CX3CR1|IFI30|CYFIP1|CXCL16|IRF8|ADORA3|CD37|NCKAP1L|TNFAIP8L2|TBXAS1|RGS10|CYBA|DOCK8|C1QA|PTPRC|CSF1R|CD14|KCNQ1|CD300A|CSF2RA|ARHGAP45|ARHGDIB|SLCO2B1|HAVCR2
MOSET7610,ABSINTA_2021_VASCULAR,2.98720954254928e-12,1.49460050778882e-09,0.898671232061694,-0.389694204484464,-2.52072710851405,308,NR2F2|EGFL7|TBX18|ID1|NR2F1|GALNT18|PTPN14|BACE2|CYP1B1|ID3|IGFBP5|PRELP|DLC1|VIM|NXN|COL6A2|TMEM132C|DCN|CP|CAVIN2|FAM20A|TGFBR3|MCTP1|PCSK5|TGFBR2|SOCS3|CEP112|PLEKHG1|PODXL|PRKG1|TM4SF1|MECOM|FAM107A|SLC6A13|ADAMTS9|CRISPLD2|SLIT3|PLAT|ITM2A|LEF1|ABCG2|JUNB|CALCRL|ANXA3|BHLHE40|NID1|FLVCR2|ADAM33|SRPX2|SLC16A12|GADD45B|RNF152|SLC7A5|COL1A2|ANTXR2|PDE3A|IRAK3|RBPMS|RBMS1|KLF2|TIMP3|PHLDB2|BSG|LTBP2|GNG11|LRRC32|COBLL1|CFH|MSN|ACSS3|FLI1|TGM2|FOSL2|CGNL1|IL1R1|NRP1|SLC38A11|PLSCR4|SNTG2|CLDN5|TEK|APOD|TXNIP|PECAM1|PDLIM5|LAMC3|TIE1|ABCA9|ADGRD1|COL4A2|LAMA2|SVEP1|COL4A1|CEBPD|SLC16A1|TBC1D4|SORBS1|ADGRL4|SLC2A3|IFI27|ERG|CCDC85A|FBLN5|COLEC12|RIPOR3|RAPGEF4|GMDS|FN1|FRMD3|BICC1|EPHA3|COL12A1|ATP1A2|MYOF|ITIH5|MFSD2A|P2RY14|PDE10A|ADGRF5|RGS5|EMP2|LRCH1|NTRK3|PLXDC1|VCL
MOSET6851,ZHANG_MOUSE_MICROGLIA_2014,7.86469714071555e-12,3.54147312246421e-09,0.875325132024659,-0.551654071821989,-3.28149429742197,97,SLC15A3|CCL9|PTPN6|CCR1|ANG|NCF4|SLC11A1|P2RY6|FGD2|NCF1|LYZ2|BLNK|ITGB2|NFAM1|PLD4|TYROBP|PTAFR|CCL4|FCRLS|PLA2G15|CD83|PARVG|BCL2A1B|FCER1G|CD68|CCL2|CCL12|TREM2|FCGR2B|OSM|CRYBA4|ADGRE1|HK3|C1QB|LAG3|CCL3|IL10RA|NCF2|SLFN2|C1QC|LAPTM5|CX3CR1|CXCL16|IRF8|SPI1|CD37|NCKAP1L|RAC2|IRF5|PIK3AP1|TNFAIP8L2|LTC4S|TBXAS1|C1QA|NLRP3|TNF|GDF15|CSF1R|CD14|TLR9|CD300A|GP9|LRRC25|ARHGAP45|HCK|C5AR1
