SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
M40158,DESCARTES_FETAL_CEREBELLUM_VASCULAR_ENDOTHELIAL_CELLS,5.95626584572783e-50,1.84948010775695e-45,1.8428520069898,-0.596894999068205,-2.73014473988492,496,genotype
M39018,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL,3.28063787064523e-46,5.09335432607025e-42,1.77414997679975,-0.642997887712075,-2.92095821172833,344,genotype
M40167,DESCARTES_FETAL_CEREBRUM_VASCULAR_ENDOTHELIAL_CELLS,1.05274710448165e-41,1.08962834470866e-37,1.68433634284213,-0.587345531863683,-2.67979228935866,437,genotype
M39039,FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_1,1.2098489120627e-39,9.39175464211469e-36,1.6407416852705,-0.590228762572114,-2.6820218057594,411,genotype
M39167,GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS,1.61854493033271e-31,1.00514877263522e-27,1.46045153084133,-0.53862504811712,-2.45903502047895,455,genotype
M39077,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,6.39342487323013e-30,3.30870392897781e-26,1.41727590263607,-0.549103594994653,-2.49664282635182,394,genotype
M39176,MURARO_PANCREAS_ENDOTHELIAL_CELL,7.04416397115399e-27,3.12469050669004e-23,1.34223377296446,-0.552320833664289,-2.50849545918563,342,genotype
M7383,MODULE_5,1.76796935413434e-26,6.86215205190316e-23,1.33449749081658,-0.535165941155944,-2.43146146818609,386,genotype
M39022,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,2.40778910929213e-26,8.30713995918111e-23,1.33449749081658,-0.558120121389773,-2.53471583465521,336,genotype
M39114,AIZARANI_LIVER_C10_MVECS_1,3.55339967387015e-26,1.10336613273342e-22,1.32671609800481,-0.598810973127814,-2.7021190276073,256,genotype
M39264,HU_FETAL_RETINA_FIBROBLAST,4.16253683583496e-26,1.17500846626828e-22,1.32671609800481,-0.54096306715852,-2.4594546454224,361,genotype
M39301,CUI_DEVELOPING_HEART_C4_ENDOTHELIAL_CELL,9.11196617221411e-25,2.35779718011184e-21,1.28710367230144,-0.684671045112951,-3.03228857821353,142,genotype
M39128,AIZARANI_LIVER_C29_MVECS_2,1.49841655056218e-24,3.57902556242357e-21,1.28710367230144,-0.5614133550857,-2.540462615078,301,genotype
M39266,HU_FETAL_RETINA_MICROGLIA,3.94856892694203e-24,8.75764383931979e-21,1.27091304449619,-0.539021151785659,-2.44805804912244,341,genotype
M39117,AIZARANI_LIVER_C13_LSECS_2,9.20774877007694e-22,1.90606538039773e-18,1.20397524075264,-0.564976532040073,-2.55099824505187,259,genotype
M16071,MODULE_38,5.93248463707384e-21,1.08358576744576e-17,1.18665095279281,-0.485754873421233,-2.21750866107429,441,genotype
M4051,MODULE_1,1.69263553170064e-19,2.76621188920192e-16,1.14219120216838,-0.505776219897533,-2.30064221125328,353,genotype
M39040,FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2,1.85082135998162e-19,2.87349270243946e-16,1.14219120216838,-0.534806988721412,-2.41974800069587,291,genotype
M39113,AIZARANI_LIVER_C9_LSECS_1,2.04064478479165e-19,3.0173362482174e-16,1.14219120216838,-0.533120804401846,-2.41059989285466,287,genotype
M12225,PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP,2.61011688823412e-19,3.49974409212367e-16,1.13308993200902,-0.586141183985628,-2.62507668566405,200,genotype
M39121,AIZARANI_LIVER_C20_LSECS_3,2.54684211161364e-19,3.49974409212367e-16,1.13308993200902,-0.536812123946316,-2.42829633868894,280,genotype
M8838,MODULE_84,2.70502908798326e-19,3.49974409212367e-16,1.13308993200902,-0.47037381281283,-2.14892365541582,470,genotype
M41709,FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL,6.83757501792518e-19,8.49254167526379e-16,1.12391496374483,-0.564918178647885,-2.53421399193549,225,genotype
M4995,LINDGREN_BLADDER_CANCER_CLUSTER_2B,9.26581125887574e-19,1.10658732845904e-15,1.11466447751729,-0.498706104263686,-2.26605997984884,351,genotype
M2122,VERHAAK_GLIOBLASTOMA_MESENCHYMAL,8.35311863357708e-18,9.26331023897149e-15,1.0864405425825,-0.572569678192999,-2.56182330461406,197,genotype
M17471,SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP,2.45216551738063e-17,2.62559280966158e-14,1.07686819261983,-0.503228261174959,-2.2821616146869,318,genotype
M41711,FAN_OVARY_CL9_PUTATIVE_APOPTOTIC_ENDOTHELIAL_CELL,4.04499402193157e-17,4.18670364583324e-14,1.06720998682811,-0.496538515667223,-2.25504150440573,336,genotype
M12074,GOBP_WOUND_HEALING,2.33126171599635e-16,2.26212523573133e-13,1.03769615548758,-0.448478898811392,-2.04893229025637,479,genotype
M2573,LIM_MAMMARY_STEM_CELL_UP,2.26319690741475e-16,2.26212523573133e-13,1.03769615548758,-0.451717703070209,-2.06239249036463,464,genotype
M16395,MODULE_47,7.76764503310975e-16,7.30888320979064e-13,1.02766987054358,-0.538310717091261,-2.41642323474852,217,genotype
M19541,REN_ALVEOLAR_RHABDOMYOSARCOMA_DN,1.07921468942251e-15,9.85608685919362e-13,1.01754479730988,-0.457509357397864,-2.07969252080174,403,genotype
M15336,MODULE_6,1.28543149190543e-15,1.12057822762051e-12,1.01754479730988,-0.46927012046517,-2.13435975587007,371,genotype
M5702,MODULE_24,1.29917929194996e-15,1.12057822762051e-12,1.01754479730988,-0.458875141685401,-2.08595632919723,402,genotype
M3539,GOCC_CELL_SUBSTRATE_JUNCTION,1.45067607476684e-15,1.21743088642122e-12,1.01754479730988,-0.453981201680805,-2.06455108835679,415,genotype
M7396,SWEET_LUNG_CANCER_KRAS_DN,1.56120055264793e-15,1.27570627263871e-12,1.01754479730988,-0.461988985679427,-2.09914169858585,390,genotype
M12269,GOBP_LEUKOCYTE_MIGRATION,1.80988132100158e-15,1.44099038201077e-12,1.00731795687447,-0.458248285879137,-2.08354544762962,394,genotype
M39153,GAO_LARGE_INTESTINE_24W_C2_MKI67POS_PROGENITOR,1.94803761224571e-15,1.51221289744604e-12,1.00731795687447,-0.640729114485803,-2.80212162053722,110,genotype
M41669,TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL,2.97121452489192e-15,2.25022395640046e-12,1.00731795687447,-0.51857557727539,-2.33798649984722,250,genotype
