SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET7758,JAKEL_2019_NEURON4,5.2082333689277e-20,2.34526748602814e-16,1.16017957183021,-0.40341046558202,-2.52489090775813,435,interaction
MOSET7755,JAKEL_2019_NEURON1,1.28290458440291e-19,2.88845967178315e-16,1.14219120216838,-0.403433401233092,-2.52835605684297,456,interaction
MOSET7638,LAU_2020_EXCIT,1.47032066034566e-17,1.65521348338413e-14,1.07686819261983,-0.407777039446124,-2.53612866319555,388,interaction
MOSET7757,JAKEL_2019_NEURON3,1.15749243067123e-17,1.65521348338413e-14,1.0864405425825,-0.413107300305704,-2.5663060838288,372,interaction
MOSET6717,ASHKAN_E14_INTERMEDIATE_PROGENITOR_CELLS,3.75157749477377e-17,3.37867069179326e-14,1.06720998682811,-0.430350417527246,-2.64617831225462,304,interaction
MOSET44,OLDHAM_CORTEX_MODULE_BLUE,5.51827666713722e-17,4.14146663868648e-14,1.06720998682811,-0.408889223121403,-2.54023769196169,377,interaction
MOSET7543,YANG_CP_2021_NEURAL,7.54020663042261e-17,4.85050720811329e-14,1.05746357275086,-0.376540044518064,-2.35952310685412,470,interaction
MOSET7153,LAKE_2018_EX3B,1.44775765026559e-16,8.14906587393243e-14,1.04762648849882,-0.392098803228475,-2.45119564503303,416,interaction
MOSET8659,AYHAN_2021_DEN_GYR3,3.28417174541489e-16,1.64318059662258e-13,1.03769615548758,-0.375762530687707,-2.35460697788084,447,interaction
MOSET7007,Doyle_DRD1_MSN_3_FoldEnrich,6.19037157121206e-16,2.78752431851679e-13,1.02766987054358,-0.395111524378051,-2.45241511056762,370,interaction
MOSET7598,NAGY_2020_EX5,1.27168369326251e-15,5.20581060978282e-13,1.01754479730988,-0.375483983331757,-2.35275394060868,445,interaction
MOSET7759,JAKEL_2019_NEURON5,4.8594187172599e-15,1.82349687365178e-12,0.996986217533181,-0.404297607131072,-2.49851621276933,334,interaction
MOSET7158,LAKE_2018_EX5A,2.00788044858784e-14,6.95498896922387e-12,0.97599468306432,-0.39004497282235,-2.41274286035907,345,interaction
MOSET7526,YANG_PFC_2021_L2_3_EXCITATORY_NEURON,2.03183630383053e-13,6.53525634010633e-11,0.943632225232838,-0.399416998693027,-2.44947327661726,296,interaction
MOSET7054,kelley_neuron,3.60601852826716e-13,1.0825267621858e-10,0.932595211336209,-0.498713477921643,-2.93040353922914,148,interaction
MOSET7161,LAKE_2018_EX6B,9.90588068494543e-12,2.78788629526933e-09,0.875325132024659,-0.438249368170361,-2.61462060697022,191,interaction
MOSET7512,VELMESHEV_2019_NEU_NRGN_II,5.41057372716013e-11,1.40232030095976e-08,0.851339057116899,-0.380067747536812,-2.33156189277475,297,interaction
MOSET7608,ABSINTA_2021_NEURON,5.60554417438943e-11,1.40232030095976e-08,0.851339057116899,-0.408980949730415,-2.46775457812601,232,interaction
MOSET7156,LAKE_2018_EX3E,6.97034129161757e-11,1.65197088611336e-08,0.839088935621274,-0.358644792466508,-2.22114165228444,353,interaction
MOSET7535,YANG_PFC_2021_L5_6_EXCITATORY_NEURON,8.53011484448024e-11,1.92055535723473e-08,0.839088935621274,-0.398995774683582,-2.4178897090303,243,interaction
MOSET7511,VELMESHEV_2019_NEU_NRGN_I,2.57945900666487e-10,5.5310970985771e-08,0.814035837847908,-0.363192247780635,-2.24224825215941,327,interaction
MOSET61,OLDHAM_CORTEX_MODULE_YELLOW,2.85512128576754e-10,5.8439141590051e-08,0.814035837847908,-0.401933899475683,-2.42011400700059,223,interaction
MOSET7154,LAKE_2018_EX3C,6.76738724008729e-10,1.32493672791796e-07,0.801215574617779,-0.39066039953242,-2.36215072702367,236,interaction
MOSET134,HODGES_DOWN_IN_HD_CN_Q1e-08,7.08398662359652e-10,1.3291329902523e-07,0.801215574617779,-0.381526034957286,-2.32517712750213,266,interaction
MOSET7530,YANG_PFC_2021_L4_EXCITATORY_NEURON,7.40058615458811e-10,1.33299357816441e-07,0.801215574617779,-0.394371024753979,-2.37720148568251,230,interaction
MOSET7150,LAKE_2018_EX1,1.10563127307012e-09,1.91486831639797e-07,0.788186810800237,-0.371375283827542,-2.26556774407747,273,interaction
MOSET148,STANFORD_BRAIN_SW,1.8065301126689e-09,3.01289077679557e-07,0.788186810800237,-0.345303176182483,-2.1327944479888,329,interaction
MOSET7120,HABIB_2017_EXPFC1,2.95756934807949e-09,4.59239130151791e-07,0.774939030136436,-0.516689775738238,-2.90403041142961,84,interaction
MOSET7555,YANG_2021_NEURON,2.92559593849338e-09,4.59239130151791e-07,0.774939030136436,-0.411389611601581,-2.45297123389435,178,interaction
MOSET7157,LAKE_2018_EX4,3.21335673752407e-09,4.82324846302362e-07,0.774939030136436,-0.373369766356077,-2.2753819403513,268,interaction
MOSET7159,LAKE_2018_EX5B,3.75942623582232e-09,5.46086978706706e-07,0.761460801445585,-0.389149053422375,-2.34372766066488,218,interaction
MOSET7152,LAKE_2018_EX3A,3.95221274523863e-09,5.56150437244049e-07,0.761460801445585,-0.375997591521702,-2.28659371755282,251,interaction
MOSET7009,Doyle_DRD2_MSN_3_FoldEnrich,8.46009534508167e-09,1.15441846481523e-06,0.747739663149885,-0.362307121296699,-2.2074239844247,265,interaction
MOSET7534,YANG_PFC_2021_L5_6_CC_EXCITATORY_NEURON,1.29806844655452e-08,1.71917712201029e-06,0.747739663149885,-0.378230396940723,-2.27907291522713,226,interaction
MOSET7188,LAKE_2018_EX3B_DE_EX_CLUSTERS,2.01188790861282e-08,2.58843750070958e-06,0.73376198835648,-0.356588827684059,-2.17536325404618,273,interaction
MOSET9,BARRES_NEURONS,4.72192602845678e-08,5.90634247392803e-06,0.719512826338911,-0.357922090322761,-2.18124104777275,268,interaction
MOSET7191,LAKE_2018_EX3E_DE_EX_CLUSTERS,5.71531682723354e-08,6.95569504676558e-06,0.719512826338911,-0.341648202774352,-2.08887495829061,284,interaction
MOSET7155,LAKE_2018_EX3D,6.55424038781374e-08,7.76677485955928e-06,0.704975715167238,-0.339967083628539,-2.07859640960493,284,interaction
MOSET6951,LaMANNO_GABA_MIDBRAIN,9.17588860672052e-08,1.05946221528365e-05,0.704975715167238,-0.382605999714211,-2.28459813378007,179,interaction
MOSET6938,ZEISEL_CA1PYRAMIDAL,1.21193787811103e-07,1.36433906628349e-05,0.690132458796796,-0.317312820813743,-1.97210604180409,385,interaction
MOSET185,STANFORD_NCI57NUCLEUSCLUSTER_SW,1.57024194634116e-07,1.72458524009128e-05,0.690132458796796,-0.386773602997556,-2.30984706373746,180,interaction
MOSET7513,VELMESHEV_2019_NEU_MAT,1.63347223471371e-07,1.75131558878948e-05,0.690132458796796,-0.435196353535846,-2.54568585783624,125,interaction
MOSET7151,LAKE_2018_EX2,1.69670255709161e-07,1.77680270106594e-05,0.690132458796796,-0.375690499505597,-2.24340978741281,193,interaction
MOSET7196,LAKE_2018_EX6B_DE_EX_CLUSTERS,2.56292964968136e-07,2.62292550284436e-05,0.674962860011025,-0.407666128220977,-2.39208741905758,142,interaction
MOSET7168,LAKE_2018_IN3,3.79141794602193e-07,3.79394555798594e-05,0.674962860011025,-0.381069626992312,-2.27183588659494,176,interaction
MOSET28,G2C_NMDA_RECEPTOR_COMPLEX,6.68372058389316e-07,6.54278125853715e-05,0.659444398037935,-0.374805087895587,-2.2348306155468,178,interaction
MOSET7658,MORABITO_2021_OLIGO12_DE_SUBTYPE_CLUSTERS,8.3865586421482e-07,8.03503692884965e-05,0.659444398037935,-0.286069007358892,-1.794031293696,478,interaction
MOSET53,OLDHAM_CORTEX_MODULE_PINK,1.00109702648729e-06,9.19987736790261e-05,0.643551836150722,-0.420318959356154,-2.43624260626343,113,interaction
MOSET7217,LAKE_2018_CER_GRAN,1.00109702648729e-06,9.19987736790261e-05,0.643551836150722,-0.403814376018564,-2.36785320808075,139,interaction
MOSET126,RUNNE_DOWN_IN_HD_MODEL,1.0524341160369e-06,9.47822164902829e-05,0.643551836150722,-0.302040880452163,-1.8857294028817,405,interaction
MOSET7214,LAKE_2018_OPC_CER_DE_OG_CLUSTERS,1.51446973551401e-06,0.000133718769000384,0.643551836150722,-0.349288893824215,-2.08968354854872,201,interaction
MOSET7211,LAKE_2018_PURK2_DE_IN_CLUSTERS,1.87450644343686e-06,0.000162325048361465,0.643551836150722,-0.326064436774643,-1.9906744522509,275,interaction
MOSET6789,MASICA_Upregulated_IDH1_mutation,2.66556365784778e-06,0.000226472323609218,0.627256739718528,-0.280113401579747,-1.75918473260295,494,interaction
MOSET6932,LOH_EXCITATORY_SYNAPSE_PROTEOME,3.28465453409962e-06,0.000273903691982418,0.627256739718528,-0.351658279445879,-2.09990305044134,193,interaction
MOSET7166,LAKE_2018_IN1C,3.76752604291461e-06,0.000308457632204445,0.627256739718528,-0.364315690731088,-2.16939462711535,175,interaction
MOSET7193,LAKE_2018_EX5A_DE_EX_CLUSTERS,3.97490713155087e-06,0.000319625121667385,0.610526878385931,-0.357037347652964,-2.13081425006039,194,interaction
MOSET7176,LAKE_2018_PURK2,4.32054286736079e-06,0.000341322886521502,0.610526878385931,-0.318744688773275,-1.94807931306817,285,interaction
MOSET7160,LAKE_2018_EX6A,4.66617919672026e-06,0.000362272498669505,0.610526878385931,-0.350968524582596,-2.10981275575977,209,interaction
MOSET7198,LAKE_2018_GRAN_DE_EX_CLUSTERS,5.4957081387931e-06,0.000419443622864158,0.610526878385931,-0.372434967329782,-2.1998252773527,156,interaction
MOSET7241,MATHYS_2019_EX12_DE_SUBTYPE_CLUSTERS,6.1178559914491e-06,0.000459145092158255,0.610526878385931,-0.302916913902088,-1.87279424098184,342,interaction
MOSET6993,NEUROD1_CB_MetaCor_top100,6.39436637829742e-06,0.000472030029532349,0.610526878385931,-0.436721470884299,-2.46312148150208,86,interaction
MOSET6893,Suva_single_cell_astrocytoma_Stemness_program_genes_Fig3C,6.80913217287179e-06,0.000491631809577898,0.610526878385931,-0.431723271618087,-2.43283757731238,85,interaction
MOSET7189,LAKE_2018_EX3C_DE_EX_CLUSTERS,6.87825982753888e-06,0.000491631809577898,0.610526878385931,-0.359523988227368,-2.13348786250921,168,interaction
MOSET47,OLDHAM_CORTEX_MODULE_GREEN,7.01651515424421e-06,0.000493677620930651,0.610526878385931,-0.341775999100327,-2.04285740052277,198,interaction
MOSET7249,MATHYS_2019_EX8_DE_SUBTYPE_CLUSTERS,8.12800847413481e-06,0.000563083417831216,0.593325476396405,-0.353871688622761,-2.10460823027752,174,interaction
MOSET6975,MANCARCI_SPINY_STR,9.65631768024361e-06,0.000658824219911167,0.593325476396405,-0.454420567154623,-2.49047043958268,74,interaction
MOSET3,ABA_NEURONS,1.21571957830383e-05,0.000817072427030174,0.593325476396405,-0.473190225850491,-2.52934792416026,63,interaction
MOSET24,G2C_CLATHRIN_COATED_VESICLES,1.32686992351561e-05,0.000878661068469237,0.593325476396405,-0.372983341303887,-2.19040334562522,143,interaction
MOSET127,THOMAS_UP_IN_HD_MODEL,1.52193082727816e-05,0.000993225292062837,0.593325476396405,-0.273154710204064,-1.71175642152889,466,interaction
MOSET7190,LAKE_2018_EX3D_DE_EX_CLUSTERS,1.63362914598405e-05,0.00105089029205231,0.575610261071129,-0.322265587296214,-1.94515065200066,233,interaction
MOSET152,STANFORD_CEREBRUM-CEREBELLUM_SW,1.74532765149149e-05,0.00110693104431918,0.575610261071129,-0.377155217662815,-2.20486479329587,128,interaction
MOSET8669,AYHAN_2021_CA3_1_DE_NEU_CLUSTERS,2.02457452963988e-05,0.00126620265374561,0.575610261071129,-0.300475627507921,-1.85452323397867,325,interaction
MOSET25,G2C_SYNAPTOSOME,2.10834872570101e-05,0.0013005334673742,0.575610261071129,-0.368158632277458,-2.16343152707392,145,interaction
MOSET8679,AYHAN_2021_CA3_2_DE_NEU_CLUSTERS,2.61099476130399e-05,0.00158882559596647,0.575610261071129,-0.314887228089306,-1.91692442517133,256,interaction
MOSET151,STANFORD_CEREBRAL_CORTEX_SW,2.66684438984356e-05,0.00160117337166207,0.575610261071129,-0.409314387484246,-2.33568117422796,98,interaction
MOSET7167,LAKE_2018_IN2,3.22726748699962e-05,0.00191215598604727,0.557332238758646,-0.323562631511918,-1.94853222214796,221,interaction
MOSET6858,NOUSHMEHR_UPREGULATED_IN_GCIMP_PRONEURAL_AFFY&AGI_491GENES,3.67626799053456e-05,0.00214990061836066,0.557332238758646,-0.273391888970617,-1.71254314867762,448,interaction
MOSET23,G2C_MITOCHONDRIA,4.85489868305002e-05,0.00279928371299449,0.557332238758646,-0.425729217551663,-2.37540424106285,82,interaction
MOSET7071,AGARWAL_CTX_2020_EX6B,4.91102405788506e-05,0.00279928371299449,0.557332238758646,-0.293462138478769,-1.8076063003577,312,interaction
MOSET7162,LAKE_2018_EX8,5.58452904027748e-05,0.00314339178354619,0.557332238758646,-0.303631840781235,-1.8532868155838,276,interaction
MOSET7164,LAKE_2018_IN1A,5.69677994476755e-05,0.00316698766559114,0.557332238758646,-0.307981817436407,-1.86401456074381,241,interaction
MOSET7531,YANG_PFC_2021_VIP_INTERNEURON,5.8095838185476e-05,0.00319031169938047,0.557332238758646,-0.306457999495314,-1.86127926270854,246,interaction
MOSET7165,LAKE_2018_IN1B,6.26079996471421e-05,0.00339667255916965,0.538434096309916,-0.315672174681924,-1.90149375185561,220,interaction
