SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET6955,BUTLER_ENDOTHELIAL_HPA,6.25976583323921e-50,2.81877255470761e-46,1.8428520069898,0.646404896937113,4.90063412364411,229,interaction
MOSET7058,kelley_Endothelial,3.47211418568865e-47,7.81746508907799e-44,1.79157248947691,0.750434977891127,5.50950575637684,137,interaction
MOSET6944,LaMANNO_ENDOTHELIAL_MIDBRAIN,6.52257708945675e-43,9.79038821127458e-40,1.70874828719195,0.552618361330067,4.27399657387184,323,interaction
MOSET6853,ZHANG_MOUSE_ENDOTHELIAL_2014,5.48275451236342e-40,6.17221089229312e-37,1.64704014100292,0.79551886610624,5.67100494771046,95,interaction
MOSET6940,ZEISEL_ENDOTHELIAL,5.24720078902618e-35,3.93802419216415e-32,1.53645895003215,0.512328362576684,3.95680191136504,336,interaction
MOSET6956,BUTLER_ENDOTHELIAL_GTEX,4.48595625105414e-35,3.93802419216415e-32,1.54318309134871,0.75704116566729,5.40764048523771,97,interaction
MOSET7767,JAKEL_2019_PERICYTE,4.92464110743348e-34,3.16795127239613e-31,1.51610760180865,0.486719064176048,3.77514189898777,367,interaction
MOSET7610,ABSINTA_2021_VASCULAR,5.48835633409545e-31,3.08925857155398e-28,1.44620288250144,0.502591014648423,3.86235196923208,308,interaction
MOSET6799,VERHAAK_TCGA_MESENCHYMAL_GBM_SUBTYPE,2.52007973921654e-29,1.26087989618801e-26,1.40995143033448,0.576600461867,4.31049661115291,195,interaction
MOSET6937,ZEISEL_MICROGLIA,3.05226424476973e-29,1.37443458941981e-26,1.40258870935552,0.445839712965653,3.46930241981298,405,interaction
MOSET7523,VELMESHEV_2019_ENDOTHELIAL,2.42639801241585e-27,9.93279113628052e-25,1.3575740855908,0.583516528643913,4.32262350417443,177,interaction
MOSET6946,LaMANNO_MICROGLIA_MIDBRAIN,1.65035599281572e-26,6.19296086304099e-24,1.33449749081658,0.50521797344322,3.84478674222141,258,interaction
MOSET7134,HABIB_2017_END,3.68876326333692e-26,1.27773084421586e-23,1.32671609800481,0.499914214410849,3.81445524013515,263,interaction
MOSET7749,JAKEL_2019_ENDOTHELIAL1,1.97426166625673e-23,6.35007163082433e-21,1.25451347943706,0.429193850433528,3.32736776541802,364,interaction
MOSET7053,kelley_microglia,2.77119218729758e-23,8.31911894626733e-21,1.24623277191648,0.616487303390886,4.50598027897178,127,interaction
MOSET6851,ZHANG_MOUSE_MICROGLIA_2014,1.23651677604714e-22,3.48002190158767e-20,1.22950405660873,0.658886647147802,4.70651038528186,97,interaction
MOSET7060,kelley_Mural,2.32822308278407e-21,6.16705208339805e-19,1.19534448258848,0.577803258876603,4.25178242896281,142,interaction
MOSET6959,GOKCE_VASCULAR_STR,2.1237234738771e-20,5.31284822381588e-18,1.16906996676109,0.794949607002701,5.14497186074677,46,interaction
MOSET6945,LaMANNO_PERICYTE_MIDBRAIN,1.219940752516e-19,2.89125958346291e-17,1.14219120216838,0.454780544900728,3.46019890247147,250,interaction
MOSET6795,PHILLIPS_MOST_DIFF_EXP_IN_MES_SUBTYPE_170_GENES,2.37604780078902e-18,5.34967162347648e-16,1.10533657731401,0.585187614935204,4.25871181821157,114,interaction
MOSET6719,ASHKAN_E16_RADIAL_GLIA,8.56064689503222e-18,1.83564728420619e-15,1.0864405425825,0.580713866378191,4.20797461056851,109,interaction
MOSET6808,HICKMAN_MICROGLIA_SENSOME_99,1.49117592534448e-17,3.05216599628463e-15,1.07686819261983,0.62139798041809,4.42159419650841,91,interaction
MOSET6954,HE_MURAL,8.72049886303514e-17,1.70732201653249e-14,1.05746357275086,0.42920849644261,3.2639896024448,253,interaction
MOSET87,DOYLE_CEREBELLAR_ASTROCYTES,9.73644906026809e-17,1.8268012549328e-14,1.05746357275086,0.398142644334248,3.06267607867087,310,interaction
MOSET6809,HICKMAN_MICROGLIA_SENSOME_82,1.041375074093e-16,1.87572478345632e-14,1.05746357275086,0.651487223742631,4.56112553880888,74,interaction
MOSET85,DOYLE_BERGMAN_GLIA_CORRECTED,4.68554763234768e-16,8.11500807248523e-14,1.02766987054358,0.39115673599443,3.01528261593396,314,interaction
MOSET7607,ABSINTA_2021_IMMUNE,1.67172523576496e-15,2.78806619875912e-13,1.01754479730988,0.412777169891642,3.14187265973294,254,interaction
MOSET6862,NOUSHMEHR_HYPERMETHYLATED_DOWNREGULATED_AFFY_IN_GCIMP_PRONEURAL_242_GENES,5.8601549489875e-15,9.42438490546098e-13,0.996986217533181,0.430074494558375,3.25177490169037,223,interaction
MOSET7,BARRES_ASTROCYTES,8.53901464194734e-15,1.32590285974789e-12,0.986546283587582,0.480993113814504,3.55404482527354,165,interaction
MOSET7550,YANG_2021_BEC_CAPILLARY,2.41235926167248e-14,3.62095125177039e-12,0.97599468306432,0.517392256734603,3.77810590852292,119,interaction
MOSET7741,LUO_2019_MICRO_ENDO_TYROBP_PDGFRB_DE_GLIAL_CLUSTERS,3.31415312649274e-14,4.81407468664414e-12,0.965327754226083,0.641918597634857,4.41160960969639,64,interaction
MOSET7750,JAKEL_2019_ENDOTHELIAL2,4.17086112475067e-14,5.86918363898509e-12,0.965327754226083,0.508829430386508,3.71299620547669,126,interaction
MOSET7231,LI_2018_ENDO,4.93916803637051e-14,6.73971929326557e-12,0.965327754226083,0.779728164995654,4.77096792032492,34,interaction
MOSET7051,kelley_astro,9.10791692649603e-14,1.20626323294152e-11,0.954541630725724,0.479096591194585,3.53081492021445,144,interaction
MOSET6790,MASICA_Downregulated_IDH1_mutation,1.35316814218233e-12,1.64684220114785e-10,0.910119734774459,0.336817692190336,2.61745593279112,390,interaction
MOSET6864,NOUSHMEHR_HYPERMETHYLATED_DOWNREGULATED_AGI_IN_GCIMP_PRONEURAL_411_GENES,1.32359099412787e-12,1.64684220114785e-10,0.910119734774459,0.334740076549138,2.59881697431208,374,interaction
MOSET6866,NOUSHMEHR_HYPERMETHYLATED_DOWNREGULATED_AFFY&AGI_IN_GCIMP_PRONEURAL_411_GENES,1.32359099412787e-12,1.64684220114785e-10,0.910119734774459,0.334740076549138,2.59881697431208,374,interaction
MOSET264,GAD_CARDIOVASCULAR_DISEASES_CORONARY_DISEASE,1.61994559344061e-12,1.91963552822712e-10,0.910119734774459,0.53237267748615,3.79331138356017,94,interaction
MOSET7027,kelley_microglia,2.00634483792008e-12,2.31655661670619e-10,0.898671232061694,0.695440398828203,4.44227116862157,43,interaction
MOSET45,OLDHAM_CORTEX_MODULE_BROWN,3.61432730166351e-12,4.0688289598477e-10,0.898671232061694,0.380828680711585,2.89816502900432,258,interaction
MOSET6886,TURCAN_CpG_HYPERMETHYLATED_AND_DOWNREGULATED_IN_IDH1MUT_CLINICAL_SAMPLES_442_GENES,4.92860220747989e-12,5.41304774153219e-10,0.887074988399873,0.326344870310072,2.54148544585917,413,interaction
MOSET7110,AGARWAL_SN_2020_ENDOTHELIAL,2.06335712022209e-11,2.21221359818097e-09,0.863415391606693,0.494547804426789,3.575595113482,108,interaction
MOSET110,DANEMAN_PERICYTE,3.1285219074993e-11,3.2513964298039e-09,0.851339057116899,0.452567188214265,3.32479752946243,138,interaction
MOSET221,STANFORD_TONSIL_SW,3.17702515903557e-11,3.2513964298039e-09,0.851339057116899,0.350253223158138,2.68819073236266,300,interaction
