SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET7060,kelley_Mural,4.20674153268791e-16,6.31431904056455e-13,1.03769615548758,-0.548124182736971,-3.33738354085071,142,region
MOSET7053,kelley_microglia,2.65418571501399e-13,1.7000372030253e-10,0.932595211336209,-0.52827795625139,-3.18533995672611,127,region
MOSET6851,ZHANG_MOUSE_MICROGLIA_2014,7.86469714071555e-12,3.54147312246421e-09,0.875325132024659,-0.551654071821989,-3.28149429742197,97,region
MOSET2,ABA_CHOROID_PLEXUS,3.75906514019183e-11,1.28708033483632e-08,0.851339057116899,-0.563671678552038,-3.33174738862576,91,region
MOSET7750,JAKEL_2019_ENDOTHELIAL2,2.81574093119099e-10,7.92455088322063e-08,0.814035837847908,-0.48674814001603,-2.93432736002859,126,region
MOSET7751,JAKEL_2019_IMMUNE,2.09428897600681e-09,4.96346487313614e-07,0.774939030136436,-0.490188895668678,-2.92814894274052,107,region
MOSET6735,JACQUET_DOWN_IN_FOXJ1_NULL_ADULT_STEM_CELL_NICHE,1.18182451726553e-08,2.21739825051944e-06,0.747739663149885,-0.616642114781551,-3.42639677886251,51,region
MOSET7753,JAKEL_2019_MACROPHAGE,2.45319968430562e-08,4.09139191793638e-06,0.73376198835648,-0.430412851189923,-2.61570448532849,141,region
MOSET6770,WATKINS_CD14+_MONOCYTES,3.83494446684012e-08,5.91288195853126e-06,0.719512826338911,-0.412226743196854,-2.5293955326871,156,region
MOSET6961,GOKCE_EPENDYMAL_SEC_STR,3.93929510894821e-08,5.91288195853126e-06,0.719512826338911,-0.627869842518941,-3.40061916629107,43,region
MOSET7051,kelley_astro,4.82627693465936e-08,7.01055646347455e-06,0.719512826338911,-0.423001245415586,-2.57834441240221,144,region
MOSET6935,ZEISEL_EPENDYMAL,6.76397167561626e-08,8.95828366332353e-06,0.704975715167238,-0.304409331261531,-1.99422397525773,437,region
MOSET7,BARRES_ASTROCYTES,7.81262986013565e-08,1.00515063600545e-05,0.704975715167238,-0.395569801730199,-2.44371519571733,165,region
MOSET6761,FIETZ_EXTRACELLULAR_MATRIX_GENE_CLUSTER_68_hVZ>+hISVZ+hOSVZ+hCP,8.44182585504722e-08,1.05593171736882e-05,0.704975715167238,-0.543603618489128,-3.11807385162357,65,region
MOSET7617,ABSINTA_2021_MS_MICROGLIA_DE_MG_CLUSTERS,8.75642408805551e-08,1.0656804775274e-05,0.704975715167238,-0.394606389158258,-2.44546968296928,173,region
MOSET7237,LI_2018_VSMC,2.4358451976331e-07,2.61157402974806e-05,0.674962860011025,-0.602547611002239,-3.26347089128635,43,region
MOSET6,BACHOO_ASTROCYTES_SVM,2.64765269887514e-07,2.77264653558948e-05,0.674962860011025,-0.421807214681343,-2.55798219982001,135,region
MOSET7110,AGARWAL_SN_2020_ENDOTHELIAL,3.07126871730598e-07,3.00650500739757e-05,0.674962860011025,-0.448622025689374,-2.67973364250598,108,region
MOSET214,STANFORD_STROMAL_SMALL,3.49488567989441e-07,3.34839791841799e-05,0.674962860011025,-0.555822743356723,-3.15316834201476,59,region
