SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET6829,PENG_DOWN_WITH_HOMOLOGOUS_RECOM_DEF_148GENES,3.974269598545e-19,1.78961360022481e-15,1.13308993200902,0.598024882466977,3.2729174528086,138,region
MOSET6797,PHILLIPS_MOST_DIFF_EXP_IN_PROLIF_SUBTYPE_217_GENES,2.36833287616302e-17,5.33230147068103e-14,1.07686819261983,0.585720058332554,3.20694827440718,136,region
MOSET6827,PENG_HOMOLOGOUS_RECOMBINATION_DEF_230GENES,5.60554417438943e-11,8.41392180575853e-08,0.851339057116899,0.440533556948022,2.48255873080392,205,region
MOSET219,STANFORD_THYMUS_SW,1.0738151027926e-09,1.20884735196876e-06,0.788186810800237,0.411029424479557,2.32727007842934,226,region
MOSET6789,MASICA_Upregulated_IDH1_mutation,1.90244962490483e-09,1.71334613218929e-06,0.774939030136436,0.329512669331432,1.91127112331995,494,region
MOSET6920,mousebrain.org_MSN5_SC_RNAseq,1.69670255709161e-07,0.000127337526909726,0.690132458796796,0.738862377367565,3.28262809368147,24,region
MOSET7005,HEIMAN_MSN_8_FoldEnrich,3.74905617751323e-07,0.000211024999591776,0.674962860011025,0.414104176069309,2.28903405586817,155,region
MOSET7671,MORABITO_2021_EX2_DE_SUBTYPE_CLUSTERS,3.70669441409748e-07,0.000211024999591776,0.674962860011025,0.30614491037579,1.77280330717884,478,region
MOSET44,OLDHAM_CORTEX_MODULE_BLUE,4.55518265710983e-07,0.000227910972277395,0.674962860011025,0.327961434290025,1.88496455490315,377,region
MOSET6976,MANCARCI_EPENDYMAL,5.9174451804271e-07,0.000266462556474633,0.659444398037935,0.596357935661246,2.95517207787552,46,region
MOSET7532,YANG_PFC_2021_PV_INTERNEURON,1.22355810812383e-06,0.000500880196443784,0.643551836150722,0.348848403763342,1.99309748685527,276,region
MOSET4935,MGI_MP:0006205__EMBRYONIC_LETHALITY_BEFORE_SOMITE_FORMATION,4.4587973356074e-06,0.00158978048452477,0.610526878385931,0.371270492976124,2.09059809313537,192,region
MOSET7070,AGARWAL_CTX_2020_EX6A,4.73530652238197e-06,0.00158978048452477,0.610526878385931,0.362507859156544,2.04468331434795,208,region
MOSET7530,YANG_PFC_2021_L4_EXCITATORY_NEURON,4.9426886038967e-06,0.00158978048452477,0.610526878385931,0.350097838073883,1.98428411651083,230,region
MOSET7953,BAKKEN_2019_PVALB_GABAERGIC_DE_GABA_CLUSTERS,6.46349399382293e-06,0.00194034089694564,0.610526878385931,0.32419764825038,1.85845018311211,327,region
MOSET7508,VELMESHEV_2019_L4_NEU,1.6894783777029e-05,0.00475482570924759,0.575610261071129,0.517105186822878,2.61587609227796,56,region
MOSET7176,LAKE_2018_PURK2,3.90076867104672e-05,0.0103324478386608,0.557332238758646,0.319314730760679,1.82975499466641,285,region
MOSET6993,NEUROD1_CB_MetaCor_top100,4.85489868305002e-05,0.0121453382054301,0.557332238758646,0.434153338130106,2.30490787928831,86,region
MOSET7006,HEIMAN_MSN_10_FoldEnrich,6.26079996471421e-05,0.0148380959163727,0.538434096309916,0.408120846031631,2.20340795612586,113,region
MOSET6913,Gokce_Tacr1_MSN_SC_RNAseq,8.74250090251842e-05,0.0187464197924002,0.538434096309916,0.345396032144625,1.9373107813896,184,region
MOSET6989,GOKCE_TACR1_MSN,8.74250090251842e-05,0.0187464197924002,0.538434096309916,0.345396032144625,1.9373107813896,184,region
MOSET7092,AGARWAL_CTX_2020_EX6A_DE_EX_CLUSTERS,0.000121299887990532,0.0237484085052767,0.538434096309916,0.334567373598978,1.8895235920695,211,region
MOSET7214,LAKE_2018_OPC_CER_DE_OG_CLUSTERS,0.00011676544730752,0.0237484085052767,0.538434096309916,0.335371084381535,1.89151058931906,201,region
MOSET6918,mousebrain.org_MSN3_SC_RNAseq,0.000130368783663072,0.0244604430347839,0.518848077743792,0.622750997544269,2.76676683307426,24,region
MOSET2701,MGI_MP:0004046__ABNORMAL_MITOSIS,0.000143972156180359,0.0247676040696779,0.518848077743792,0.661301807897547,2.85376281767137,20,region
MOSET7757,JAKEL_2019_NEURON3,0.000141704925358148,0.0247676040696779,0.518848077743792,0.290846865004374,1.67467669484136,372,region
