SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET6937,ZEISEL_MICROGLIA,2.09761720870433e-14,4.75844463794578e-11,0.97599468306432,0.382320089855728,2.41068880174854,406,JMJD1C|ARHGAP11A|CXCL1|CLEC5A|HMOX1|ZC3H12C|DCLRE1C|RBPJ|IL18BP|TNFSF9|TNFRSF11A|RAD51AP1|E230029C05RIK|PDE3B|IL1A|TFEC|G530011O06RIK|CENPF|APOBEC1|REL|LRP6|SLAMF9|AIM2|HPGDS|ARHGAP19|ABCB1B|TLR13|MASP2|CD68|DHDH|C3AR1|H2AC8|GPX3|WSB1|DENND1B|CYSLTR1|GDPD3|CXCL10|SERPINB8|C1QB|IL10RA|MKI67|CCDC88B|EGR2|CCDC9|IFI203|CCL4|IRF8|DSN1|MPEG1|PNRC1|PLEK|C5AR1|NPL|CTSZ|CD84|CCR5|SUSD1|MAML1|TLR7|GPR65|HK2|SYK|ZSWIM6|IFI202B|SH3BP1|RGS1|BTK|IER5|CTSS|FCGR2B|BCL2A1B|CCP110|MS4A6D|FCER1G|NCF4|CFP|FNDC3A|DOCK2|MSR1|IGSF6|P3H2|VCAN|LAIR1|TNFAIP8L2|ITGB2|VAV1|UGT1A2|NCF2|LY86|MS4A6C|LYZ2|MBNL1|TLR2|TREM2|CD33|PLAGL2|RAB8B|C1QA|4933406I18RIK|ARHGAP30|PARVG|P2RY6|RGS2|C1QC|LILRA5|SPI1|SHCBP1|RAC2|MLXIPL|PLAU|CLEC4A3|NCF1|ABCC3|IL16|CCDC50|SLC15A3|PTPN6|SLC38A6|MS4A7|RRP1B|HCLS1|SLFN2|SLC7A7|CXCL16|CYTH4|GINS2|LY96|AHR|ARHGAP17|LYVE1|TMCO4|CD48|CASS4|STK3|FERMT3|CSF3R|H2-Q10|CCL12|MYO1F|TMEM106A|CFHR2|CD53|P2RX7|PLCG2|CD86|TGFBR1|FCRLS|EVI2B|AB124611|CX3CR1|RAB32|NLRP3|NCKAP1L|RENBP|CYBB|LRMP|POLA1|CCL3|SP110|NFKBID|PXN|NFATC2|ARHGAP45|HEXB|SNORD17|UNC93B1|RNASEL|STAG3|NFAM1|ITGAM|TYROBP|BLNK|NHLRC3|TWF1|TGFBI|SLC37A2|ACP5|AIF1|ADGRE1|RAB34|CTSC|TYMS|ITSN1|PLD4|FCNA|WDFY4|CD36|LAPTM5|CD14|SPIDR|LAT2|PIK3CG|TUFT1|HVCN1|LCP1|RAB43|PYCARD|EHD4|TNF|NFXL1|GM20605|CCL7|CEBPA|P2RX4|EBI3|MILR1|CTSD|MRC1|PACSIN2|MTR|INPP5D|HAVCR2|FRRS1|KDM2B|CGAS|LGMN|CD300A|BIN2|GALNT12|HK3|WWP1|IKZF1|IFI204
MOSET7596,NAGY_2020_MICRO_MACRO,1.58163153034473e-14,4.75844463794578e-11,0.97599468306432,0.445985663105895,2.7470966702561,257,JMJD1C|PAN3|SBF2|PNISR|KMT2C|CELF2|USP53|STAG1|DLEU2|ASH1L|NFIA|ARHGAP21|KCNQ3|DIAPH2|FMNL2|CHD9|CSF2RA|KANSL1|NIPBL|AKAP13|SLC26A3|MED13L|MEG3|PDE3B|TRIO|NUMB|ZBTB20|ZEB2|RUNX1|CAMK1D|TCF4|PDE4D|PUM2|BAZ2B|HDAC9|CEP170|ATP2B1|SPP1|MAML3|GAB2|FGD4|WSB1|ATM|SAT1|KCNMA1|PKN2|A2M|FTX|DENND4A|ST6GAL1|FRMD4A|TENT2|SMYD3|TAB2|SYK|SLC8A1|ZSWIM6|ELMO1|MBD5|FOXN3|ADAM28|LRMDA|RASAL2|SH3KBP1|DOCK2|NAV3|RABGAP1L|SIK3|FBXO11|HNRNPH1|MBNL1|NCOA2|B2M|RERE|CACNB4|MYCBP2|ATXN1|BMP2K|UBE2E2|TCF12|WDFY3|CDKAL1|APBB1IP|MAML2|NF1|CSF3R|AFF1|MYO1F|PTPRC|TNRC6B|ST6GALNAC3|TGFBR1|NCKAP5|CX3CR1|LPP|ABCC4|SH3RF3|ZFP36L1|UVRAG|PTPRD|CPED1|CELF1|ARL15|KHDRBS3|ANKRD17|MALAT1|MAP4K4|DDX17|HIVEP3|DLG2
MOSET6789,MASICA_Upregulated_IDH1_mutation,5.77606107761062e-13,8.7353297030398e-10,0.921426003494898,0.350957032140739,2.22922554479594,497,ERCC6|JMJD1C|POU6F1|KAT6B|GSE1|NPAT|DLGAP1|PRPF40A|MLLT10|PNISR|DDX46|RFX7|CSNK1E|ERCC5|BRD1|CELF2|JADE3|LUC7L3|CCNT2|ARID4B|SINHCAF|GPATCH8|PABPN1|NFIB|DCLRE1C|RBPJ|NKTR|ATAD5|SETD2|TROAP|FGF17|JRKL|H4C1|INSM1|RPL23|CHD9|TUBGCP3|CBLB|SUV39H2|TTC28|GADD45G|KMT2A|TAF1D|CHD7|RSF1|SPAG5|PRPF4B|TET3|CREBZF|KIF14|TIA1|TBC1D31|CCDC88A|POLA2|TCF4|MTMR1|AGER|BCOR|NAB1|EMSY|TASOR2|RASSF4|TIAL1|NHLH2|HIC2|PHF21A|TFAP4|SMARCE1|POLQ|PNN|CKAP2|FBXO38|CALCOCO1|HMGB3|SCML2|ATAD2|NFIX|RBM5|MKI67|CEP152|DHFR|ARID4A|SMPD4|SMC3|NUMA1|PALB2|MSL2|LGALS4|SIRT1|EYA1|PHF8|TCERG1|KIF15|ANKRD26|CORO1C|PBRM1|FRMD4A|LHX1|RNF38|U2SURP|ZFPM2|CENPJ|HNRNPA1|NCAPD3|KDM6B|CTCF|MSH5|USP3|KIZ|TFDP2|DNASE1L2|ZFHX2|BRIP1|RPL18A|SECISBP2|LRRC1|ZSCAN26|ELAVL2|NONO|RPL4|NUP160|ITGB1BP2|MED12|TTF1|FBXO11|HNRNPH1|BMS1|SLC12A6|KIF11|NEUROD1|RACGAP1|DCC|ANGEL2|KIF20B|PCNT|TMPO|COL7A1|CDC25A|FBXO5|SF3B1|MCM10|INCENP|ATF7IP|RBMX|EWSR1|TOPBP1|SCAF4|TERF1|POGZ|TCF12|PRDM10|CDKAL1|WAC|PRKX|DVL2|LUZP2|ANKZF1|EIF4ENIF1|CNOT6|ALMS1|ZSCAN2|NCAPH|ALG13|NOLC1|TPP2|KLHL20|LRP5|GTPBP4|HIRIP3|CEP57|INTS7|UTP6|MDC1|DHX9|NUDT4|SAFB|CSTF3|PFAS|CDC25C|TAF5|LARP4B|SPDL1|KLF12|MYBL1
MOSET7214,LAKE_2018_OPC_CER_DE_OG_CLUSTERS,9.39088931934298e-13,1.06516162104648e-09,0.910119734774459,0.456892443217198,2.78849392155799,201,NIN|SENP6|BICD1|SMC5|DLGAP1|SETBP1|CNTRL|STAG1|DLEU2|CAMSAP2|SNTG1|NFIB|ASH1L|NFIA|TUT4|BACH2|CHD9|CBLB|DGKI|CLSTN2|TTC28|CCND2|MED13L|BBX|CHD7|MMP16|LRP6|ZBTB20|RBM26|TCF4|IGF1R|UBR5|PUM2|CAMTA1|BRAF|SCN3A|SETD5|XKR6|PHIP|SPAG9|SYNE2|EYA1|ZCCHC7|REV3L|PBRM1|MAP2|CDH2|SMYD3|TFDP2|TRPM3|KALRN|MSI2|VCAN|KTN1|MYO9A|SCAF11|CACNB2|GLCCI1|MYCBP2|ATF7IP|UBE2E2|ETV1|TCF12|CDKAL1|EHBP1|CDH18|SCLT1|CRACD|MAML2|RBFOX2|TBC1D32|STK3|HECTD1|ANKRD36|CALCRL|PHF14|AFF3|STXBP5|NAALADL2|KLF12|MAN1A2|MDGA2|KCNQ1OT1|ARL15|LTO1|HIVEP3|SLC35F1|VPS13B|NOL4|ARID1B|FER|ARHGAP32|SOX5|POU2F1
MOSET8651,AYHAN_2021_MICRO1,1.82203173512351e-11,1.65331159645107e-08,0.863415391606693,0.37310920159898,2.33407451164145,352,PPP1R12A|PAN3|TUT7|KAT6A|SBF2|IL1RAP|CTTNBP2|CELF2|USP53|STAG1|MAP4K3|TET2|CEP350|TSC22D2|KCNQ3|RTTN|ROCK1|RLF|NIPBL|AKAP13|BMPR2|MED13L|ZBTB16|PDE3B|GRK3|TRIO|REL|NUMB|RUNX1|CREBBP|OSBPL3|CAMK1D|ZMYND11|KLF7|INTS6|HDAC9|PELI1|CEP170|ATP2B1|SPP1|MAML3|GAB2|TMEM156|INSR|ACSL1|PABPC1|FGD4|ATM|AFF4|CDK6|PKN2|RBM47|SUSD6|PUM1|STK4|GLDN|ST6GAL1|EGR3|FBXW7|SETX|LYN|FRMD4A|ARID1A|ITSN2|OGFRL1|TAB2|TBC1D4|SYK|ATF6|SLC8A1|ELMO1|NCK2|PDS5A|FOXN3|ADAM28|LRMDA|NR4A3|RASAL2|DOCK2|RASA1|TOP1|FBXO11|PSME4|SCAF11|MBNL1|TLR2|TBL1XR1|MYCBP2|SLC11A1|ELF1|OSBPL8|BMP2K|UBE2E2|ELL2|SKIL|WAC|APBB1IP|HCLS1|MAML2|SOCS6|ANKRD11|ACAP2|MTSS1|KIF16B|FAM149A|AFF1|PTPRC|CD53|FOXO3|CREM|PEAK1|GLS|ST6GALNAC3|TBC1D1|FLI1|JDP2|LARP4B|CD86|PLA2G4A|LPP|ABCC4|SH3RF3|CPED1|CELF1|ARL15|TRIP12|KHDRBS3|RUNX2
MOSET6797,PHILLIPS_MOST_DIFF_EXP_IN_PROLIF_SUBTYPE_217_GENES,3.56505163983696e-11,2.69577321499004e-08,0.851339057116899,0.494554291665861,2.93675428578825,136,RBBP8|ASPM|NDC80|HMGB2|ARID4B|DLGAP5|DBF4|EZH2|SMC2|E2F7|RAD51AP1|BUB1|ECT2|MTF2|MNS1|CENPF|SMC4|CREBZF|CCNB1|KIF14|NUF2|RRM1|CENPE|HMMR|DTL|USP1|CDKN2A|BRCA1|ARNTL2|MELK|DEK|DHFR|TIMELESS|CENPK|CDCA7|DSN1|NUSAP1|CCDC34|TOP2A|CENPN|ITGB3BP|SHOX2|BRIP1|E2F1|CENPA|CHAF1B|FBXO11|MAD2L1|CENPU|TMPO|NEK2|FBXO5|CHEK1|CHAF1A|TTC12|CDKN2C|PPIG|GINS2|NCAPH|LMNB1|TTK|MDFIC|RRM2|CDC25C|FANCD2|ACYP1|PEG10|LRR1|PLK4|TCF19|IFT74|MCM6|NASP|PCLAF|EVC2|YEATS4|WDHD1|NUCB2|TYMS|TIFA|CCNE2|PAWR
MOSET7520,VELMESHEV_2019_MICROGLIA,3.83963226012909e-10,2.48863022345796e-07,0.814035837847908,0.437670985909471,2.65790423872715,182,CELF2|USP53|STAG1|DLEU2|MIS18BP1|KCNQ3|DIAPH2|CHD9|CSF2RA|NIPBL|AKAP13|MED13L|PDE3B|RUNX1|CAMK1D|ADAP2|HDAC9|ARHGAP25|MAML3|GAB2|FGD4|ATM|SAT1|C1QB|PKN2|RBM47|A2M|ST6GAL1|LYN|FRMD4A|TAB2|TBC1D4|RYR1|SYK|SLC8A1|ZSWIM6|ELMO1|FOXN3|ADAM28|LRMDA|RASAL2|SH3KBP1|DOCK2|NAV3|LY86|MBNL1|B2M|C1QA|CACNB4|BMP2K|C1QC|UBE2E2|APBB1IP|MAML2|CSF3R|ZNRF2|AFF1|MYO1F|PTPRC|ST6GALNAC3|FLI1|PLCG2|CD86|TGFBR1|CX3CR1|ABCC4|SH3RF3|UVRAG|CPED1|ARL15|KHDRBS3|RUNX2|MALAT1|HIVEP3|BLNK|AOAH|APPL2|RHBDF2|MERTK|LRCH1|LAPTM5|LYST|SPIDR|PAG1|MEF2C|LHFPL2|LPCAT2|TBC1D5|MRC1|INPP5D|SLC4A7|PIAS1|DDX5|PICALM|IKZF1|JAZF1
MOSET7227,LAKE_2018_CER_MIC,3.21335673752407e-09,1.82237493976834e-06,0.774939030136436,0.476166605592607,2.80139700822054,125,SBF2|CELF2|DLEU2|KDM2A|KCNQ3|DIAPH2|CHD9|KANSL1|NIPBL|AKAP13|MED13L|ZEB2|RUNX1|CCDC88A|CAMK1D|BAZ2B|HDAC9|MAML3|PRPF38B|GAB2|FGD4|ATM|PKN2|ST6GAL1|FRMD4A|ITSN2|TAB2|RYR1|SYK|SLC8A1|ZSWIM6|ELMO1|ADAM28|LRMDA|SH3KBP1|DOCK2|MSR1|NAV3|FBXO11|SCAF11|MBNL1|BMP2K|UBE2E2|TCF12|APBB1IP|MAML2|DIP2B|TAOK3|MARCHF1|ST6GALNAC3|FLI1|LPP|UVRAG|CPED1|MAP4K4|BLNK
MOSET6976,MANCARCI_EPENDYMAL,1.59653691691193e-08,8.04831999114383e-06,0.73376198835648,0.633683013399321,3.30362152116418,46,SOX11|ASPM|DLX1|MIS18BP1|KIF2C|DCX|CD1D1|CENPF|ZFP704|DLX2|IGFBPL1|CENPE|MYT1|GDPD3|MKI67|CDCA7|NUSAP1|TOP2A|ISG20|ELAVL2|CHD4|SHCBP1|TIAM2|CCR6|RBFOX2|NCAPH
MOSET221,STANFORD_TONSIL_SW,4.20017188452293e-08,1.73237998546187e-05,0.719512826338911,0.345135853430575,2.13769508942552,307,NIN|HELLS|TPX2|SYNCRIP|CSNK1G1|DHRS9|GIT2|POU2F2|MIS18BP1|DLGAP5|DCLRE1C|EZH2|BTNL9|KIF23|SMC2|IGKC|BACH2|ANP32E|CENPF|EMX2|SMC4|MBD2|AMH|AIM2|IGLL1|NUF2|CENPE|HMGB1|HMMR|CD22|CEP55|RGS13|SERPINB5|ABRACL|ARHGAP25|MELK|RASGRP1|BIRC3|TMEM131L|DHFR|STK4|ESCO2|PBK|CCL20|CCNB2|IRF8|CDCA7|PLEK|NUSAP1|ZCCHC7|RESF1|LYN|CCR5|CCNA2|TOP2A|SP140|GABRP|CENPN|SYK|BTK|CYTIP|CCP110|DOCK2|KLHL6|MAD2L1|TNFAIP8L2|ITGB2|LY9|LY86|CENPU|KIF20B|TMPO|LGALS2|KRT8|CNR2|ARHGAP30|UBD|RARA|ELF1|CD52|ZC3H13|SHCBP1|RAC2|NCF1|IL16|PTPN6|HCLS1|ABI3|PRKD3|GINS2|TLR8|LMNB1|CD48|MAL|RUFY1|LY75|WIPF1|RRM2|PTPRC|CD53|NCAPG2|PLCG2|RELN|CD86|MYBL1|EVI2B|TOX|NR1H2|ADGRG5|NCKAP1L|E2F5|LRMP|EDEM1|DNASE1L3|SP110|IL24|STAP1|MCM3|ST18|BLNK|MCM6|PPP1R18|MS4A1
