SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET6789,MASICA_Upregulated_IDH1_mutation,6.62735455231692e-27,1.00227692012873e-23,1.34223377296446,-0.431002991153361,-2.72820428875325,497,TROAP|CBLB|H4C1|POU6F1|RACGAP1|CORO1C|KIF15|JRKL|LUZP2|DHFR|CELF2|KIF11|DDX11|ERCC6|ALG13|MYBL1|SCML2|CKAP2|ADK|PIK3R2|EVL|TOPBP1|ANGEL2|SLC25A16|MTMR1|RFX7|TIAL1|CSNK1E|KIF22|SUSD5|MAPK8|SUV39H2|CEP152|FBXO5|AKT3|CSTF3|RNF38|PLK4|CTCF|CNOT6|INSM1|PTCH1|SRSF1|SPAG5|ESPL1|CREBZF|MSL2|GSK3B|SRPK1|ATAD2|GSE1|SEMA6C|PLCB4|PELI2|TMPO|SEMA4G|U2SURP|TET3|NFATC2IP|TNKS2|SF3B1|CSNK2A1|GADD45G|PRKX|FHOD3|CDKAL1|PFAS|RBPJ|DHX9|SMARCD1|LGR5|EWSR1|TOP2B|TPP2|LARP4B|GTPBP4|INTS7|ARHGEF7|TUBGCP3|CDC25C|SINHCAF|TRPC3|NAB1|NUDT4|HIC2|UTP6|FRMD4A|RBMX|ARL3|AZIN1|TNR|SLCO5A1|PBRM1|CENPJ|HNRNPA3|DLGAP1|NCAPH|KIF14|CDK1|PDCD11|DCAF10|DOK4|CDC25A|ADO|MTA2|PABPN1|BMPR1A|BCL7A|JMJD1C|NCAPD3|TCF3|PRPF40A|SPDL1|BTAF1|SRSF2|ZFPM2|RBM4|SLC12A6|HNRNPA1|LBR|COL11A2|CKAP5|XRCC2|SPAST|MCM10|DSCAM|NFRKB|SMARCC1|MKI67|POLR3E|PPP6R3|NUP160|ATAD5|SFPQ|EXO1|POLQ|ERCC3|SIRT1|ABI1|POLE|INCENP|AGER|CHD7|ADAMTS6|SUZ12|EHMT2|NFIB|MAPT|MDN1|SOGA1|MYCN|RPRM|ARHGEF9|TMEM100|METTL22|JADE3|LIMD1|COX15|BOP1|NFIX|CDC5L|PARPBP|DYRK1A|DNAJB5|VPS37A|NSD2|ZC4H2|MTREX|TLE3|NPAT|POLA2|BRD1|CCNT2|KIFC1|RNF5|DRP2|PRPF4B|RFWD3|XRCC4|TFAM|NOVA1|HNRNPR|NDUFC2|FXR2|TIA1|PDE8B|DCLRE1C|SPTBN2|UBE2G2|KAT6B|TTC28|TUBGCP4|TRIT1|OLIG2|FASN|HNRNPH1|RRN3|GNE|LRFN4|EYA1|LRP5|COMMD3|RAF1|TAF5L|GTF3C2|GRIK4|MTPAP|DDX46|TTC13|RALGPS1|BCCIP|PRRC2A|NFX1|ZFHX2|SETDB1|NUP88|SETD2|PDSS1|TTF1|ZSWIM8|MFF|MEF2D|PARG|NOC3L|SECISBP2|ANKZF1|ANGEL1|DDX52|CYP2E1|CCDC88A|MTA1|SMPD4|TBC1D31|ADD2|RXRB|ZIC3|NR2C1|TMCC1|CRMP1|PCCA|ASB13|TASOR2|THAP12|TAF11|TUBGCP2|RAP2A|ARMC1|ARHGEF11|PAX4|MICU1|RBM34|TCF4|ELAVL2|EIF3L|TAF5|MLLT10|NARS2|EPB41|ILF3|GTPBP1|KDM1A|KIF20B|ZEB1|SPSB3|BYSL|PNISR|EIF4EBP2|CSTF2T|ZBTB5|DVL2|VPS53|BRWD1|FLRT1|EDRF1|TAF1C|E2F2|CENPT|GTF3C3|DDX50|KIZ|MARCKS|MED12|HDHD5|PCCB|KDM6B|PHF8|RFX5|USP3|NHLH2|PCDH11X|THUMPD1|FBXO38|NOLC1|NUMA1|SMARCE1|KIFBP|TCF12|DCAF8
MOSET6797,PHILLIPS_MOST_DIFF_EXP_IN_PROLIF_SUBTYPE_217_GENES,4.08544138246633e-27,1.00227692012873e-23,1.34992572002205,-0.643216652306099,-3.74188593878432,136,E2F7|E2F1|LRR1|RBBP8|RAD51AP1|CCNB1|SMC2|MELK|CENPK|DTL|TOP2A|NUF2|CENPN|DHFR|BRCA1|MAD2L1|BUB1|PCLAF|NASP|CDKN2C|NUSAP1|TIMELESS|TCF19|CHEK1|RRM2|NDC80|ECT2|KNTC1|FBXO5|WEE1|CHAF1A|ASPM|CDCA7|PLK4|CREBZF|FANCD2|CENPA|DSN1|TTK|EZH2|TMPO|AURKA|TTC12|CENPE|MTF2|CENPF|HMGB2|PRPS2|CDC25C|ARNTL2|CKS2|RBM24|NEK2|DBF4|MNS1|TYMS|NCAPH|KIF14|CDK2|USP1|CDK1|POLG|SMC4|CCNE2|DONSON|CACYBP|TOM1L1|DLGAP5|SHOX2|CENPI|LMNB1|ITGA2
MOSET7755,JAKEL_2019_NEURON1,6.62735455231692e-27,1.00227692012873e-23,1.34223377296446,-0.441285192126298,-2.78858088740259,457,CDH18|GRIN2A|SOX5|TMEM132B|FRRS1L|EPHA4|HOMER1|CARMIL1|TRPM3|POU6F2|SLITRK5|FRMPD4|PRICKLE1|CCSER1|KCNQ5|MCTP1|PCDH7|FUT9|KCNT2|CAP2|TMEM108|NRG1|CELF2|SLC35F1|DMD|SNTG1|MDGA2|PDZD2|OPCML|SMYD3|LDB2|ADGRL2|FAM155A|ATP2B1|ADAM23|CACNA1D|ADCY2|ANO3|HS3ST4|GABRA4|OSBPL6|CACNB4|PTK2B|DGKZ|NIN|CPLX2|EPHB6|THRB|CLSTN2|PCSK2|RYR2|PTPRO|CDH10|KHDRBS3|KCNH7|SGCZ|ENC1|RAP1GAP2|ELAVL4|ZBTB18|EXOC6|SSX2IP|CADM2|ADCY1|PDE10A|ARHGAP44|TMEM132D|SLC2A13|RAP1GAP|MACROD2|FOXP2|PCNX2|CSRNP3|KCNH1|DCLK1|SLC8A1|RGS4|GABRB2|HCN1|SORCS1|STRBP|FAT3|SRRM3|CDH8|STXBP5|KCNB1|FLRT2|PI4KA|DYNC1I1|PRKCB|EFNA5|CCK|NGEF|MLLT3|SCAI|GPR158|MYCBP2|NRG3|UNC13A|NTRK2|CACNA1A|RUNDC3B|NRXN1|PRKAR2B|SHC3|ATRNL1|FRMD4A|CBLN2|CHSY3|CNTN4|PHACTR1|KCTD16|IDS|LRP1B|SNAP91|NCALD|DLGAP1|ATP2B2|RIMS1|UNC79|GFOD1|ITPR1|GAP43|ERC2|RORB|RBFOX3|DPP10|GALNTL6|CDH9|ZFPM2|PDE4D|MGAT4C|CAMK2B|SETBP1|SCN2A|DSCAM|SCN8A|LMO3|EHBP1|GPM6A|FOCAD|CACNA1C|FRY|TARBP1|LRRC4C|CADPS2|FGF14|FZD3|SYT14|TESPA1|PLXNA4|KALRN|GLS|ESRRG|STX1A|DAPK1|FBXL17|XKR6|RGS6|CADPS|ARHGAP32|CERS6|PPM1L|WDR17|NPTX1|CACNA1B|NAV3|MAP2K5|NTRK3|CEP126|PAK5|RAPGEF4|RBFOX1|SH3GL2|CNTN1|TANC2|AEBP2|SHANK2|VPS13A|SLC25A12|MEF2C|CDK14|SYBU|AFF3|LMO7|NEUROD2|ICA1|MAGI3|SPTBN4|SATB1|UNC80|NPTN|MIAT|RIMS2|MYH10|TSPAN7|PPP3CA|ROBO2|CABP1|PLEKHA5|PLCB1|TSPYL1|SEMA6D|SYT7|CACNB2|CDK5R1|ADAM22|GALNT17|SEPTIN3|PARP8|LONRF2
MOSET7543,YANG_CP_2021_NEURAL,1.08069614699033e-26,1.22577960472378e-23,1.34223377296446,-0.433867730881046,-2.74278150382688,470,CDH18|GRIN2A|EPHB1|TMEM132B|FRRS1L|HIVEP2|PAUPAR|ELAVL3|POU6F2|SLITRK5|FYN|EPHA7|NRG2|CCSER1|KCNQ5|MCTP1|DIRAS2|FUT9|ADGRL1|NRG1|LUZP2|SYNDIG1|SLC35F1|SNTG1|MDGA2|LDLRAD3|OPCML|ST8SIA5|ADGRL2|FAM155A|ATP2B1|KLHL3|EVL|APBA1|ADAM23|CACNA1D|PDE3B|GLCCI1|SEL1L3|CD47|TSPAN5|MTCL1|NIN|CPLX2|KCTD8|CDYL2|CAMK2N1|AKT3|PHF14|OTUD7A|PCSK2|RYR2|PTPRO|CDH10|KCNH7|SGCZ|KCNMB4|RAP1GAP2|ZBTB18|DIPK2A|EBF1|CADM2|BICD1|ADAMTS18|ADCY1|PDE10A|GRIP1|TMEM132D|MACROD2|KCNH1|TRANK1|CDC42BPA|GARNL3|DCLK1|SLC8A1|GRID2|GABRB2|HCN1|SORCS1|FAT3|SLC24A2|SRRM3|STXBP5|KCNB1|PTPN4|PRKCB|ABLIM1|AGTPBP1|PLCL2|DGKH|GPR158|SEMA6A|MYCBP2|DPF3|UNC13A|PCDH9|CACNA1A|RUNDC3B|NRXN1|SORL1|GPHN|FRMD4A|CNTN4|PHACTR1|KCTD16|LRP1B|PTCHD1|GNG7|TNR|SNAP91|PDE7B|DLGAP1|LIMA1|DLG2|NFASC|MEIS2|PPP2R2C|CRACD|ABLIM3|RIMS1|SNHG14|CAMKK2|PAXIP1|UNC79|GFOD1|MMP24|GAP43|ERC2|JMJD1C|EML5|RBFOX3|DPP10|ZFPM2|SGIP1|GPRIN3|JPH3|HECW2|SLC8A2|CAMK2B|SPOCK1|SETBP1|AKAP6|SCN2A|DSCAM|SCN8A|GALNT9|FRMD5|PKIA|FRY
MOSET7241,MATHYS_2019_EX12_DE_SUBTYPE_CLUSTERS,4.20388370489068e-25,3.8146040738178e-22,1.29512308741004,-0.468336162171848,-2.90512508011884,342,CDH18|SOX5|NFIA|HIVEP2|NOS1AP|PEX5L|DTNA|BACH2|TRPM3|DLC1|UNC13B|FRMPD4|EPHA7|SSTR2|MIPOL1|CCSER1|MCTP1|DIRAS2|TLE4|FUT9|GRM3|NRG1|TRMT9B|LUZP2|SLC35F1|DMD|MDGA2|OSBPL10|CDH11|ADAM23|ZFYVE28|MCC|HECTD2|HS3ST4|RGS7BP|SEL1L3|GRM8|CPLX2|KCTD8|JPH1|CLSTN2|FOXN3|RYR2|RNF38|KHDRBS3|KCNH7|SGCZ|PITPNC1|AKAP7|RAP1GAP2|B3GLCT|RASGRP1|SDK2|ADCY1|MMD|GRIP1|HIVEP1|CCND2|FOXP2|PLCB4|GARNL3|EFR3A|SLC8A1|ARMH4|PBX1|ARRB1|SLC24A2|DPH6|NETO2|ABLIM1|KCNH5|DIXDC1|NGEF|GPR158|ARHGAP22|BCL11B|ETV5|SEMA5A|MFHAS1|ASAP2|GNAL|EPHB2|SDK1|CEP85L|LRP1B|PTCHD1|GNG7|MNS1|NCALD|B3GALT2|PCDH17|PTPRM|DACH1|ZRANB2|MEIS2|CYTH3|GNPTAB|HDAC4|PCDH15|SULF1|DPP10|FRMD3|GRIK3|ZFPM2|PTPN2|LRP6|TEAD1|NMNAT3|ARL15|HS3ST2|CNNM1|CASD1|AGAP1|CHST15|LRRC4C|CADPS2|SEMA5B|WSB1|PPP1R9A|NFIB|DENND4C|RPRM|CADPS|OPRM1|SMURF1|NPTX1|CDH6|BTBD7|KLHL5|PAK5|RAPGEF4|ANKRD6|CACNA1I|CNTN1|CDR2|RAPGEF1|PRICKLE2|ZC4H2|MARK4|PCDH10|ZBTB20|USP24|CPNE8|FAM171B|CDC73|SLC6A15|ZHX3|TNIK|AFF3|LMO7|WDR19|PDE8B|RETREG1|ADAMTSL1|ZC2HC1A|ESYT2|MOB3B|SLC1A2|HLF|NAV2|ROBO2|GRIK4|ST6GAL2|STK38|HIBCH|GLCE|LCLAT1|SNX25|ZFYVE16|DOK6|SGMS1|NLGN1|CLVS2|SLC4A4|CHPT1|ANO4|GABRG3|GPR155|ANKRD36|SRGAP2|B4GALT6|DIP2A|PHKB|ANTXR1|GAS7|ST3GAL1|PTPRN2|PRKD1
MOSET44,OLDHAM_CORTEX_MODULE_BLUE,2.18656762045656e-24,1.6534095490019e-21,1.27903397725049,-0.453310951690031,-2.82587580442893,377,GRIN2A|YOD1|DZIP3|ABI2|RNASEH1|SRPK2|PPP1R12A|ARNTL|RPS6KA3|DUSP3|MTMR1|RCOR3|CUL3|CALM1|TBL1XR1|HCCS|ATP8A1|EXOC5|AKT3|ARPP19|YAF2|GUCY1B1|ZBTB18|SRSF1|SSX2IP|GNAQ|BCAT1|ATP2A2|PICALM|TWF1|HSPA4L|RARA|RGS4|IPO5|GLYR1|RAB5A|DHX15|PBX1|HDGFL3|BCAP29|RPRD1A|PLCL2|DHX9|GTPBP4|TRA2B|MAPK9|NRXN1|NAB1|HSPA9|HMGCS1|IDH3A|RABEP1|NUDT4|GPHN|PTPN11|EIF5|IDS|UBE2H|AZIN1|ILRUN|TRPC1|DNAJB6|DLGAP1|PTP4A1|HNRNPA0|ATP2B2|RIMS1|CAMKK2|TPM4|RAB14|ITPR1|XPO7|SRSF2|DDX3X|KCNK1|ACLY|UBE2V1|KCNV1|SORT1|CAMSAP2|NMD3|ACTR2|BZW1|PLPBP|HSPH1|ISCA1|SCN2A|GSR|NDRG3|API5|EBAG9|CREB1|ABI1|FGF14|RARB|SCYL2|GLS|DNM1L|CAPRIN1|TAF9B|TIMM17A|SPTBN1|ARHGEF9|RAB1A|CD46|SEC23A|ERLIN1|CDC5L|ARIH1|CNTN1|GNB1|STRAP|ZFAND5|UBE2K|SLC1A1|SET|HACD3|LPGAT1|MEF2C|LRPPRC|SLC6A15|PRPF4B|RAB3GAP2|NUDT21|ARFGEF1|CDV3|NR3C1|NCOA2|PAFAH1B1|DNAJA1|ARL4C|GTF2H1|MAPRE2|LEPROTL1|CLASP2|HLF|RRM1|UBE2N|NF1|TRIM23|NBR1|PLCB1|GNB5|TBR1|GTF2I|CACNB2|RTCA|ETV1|SNCA|BUB3|ATP6V1C1|CANX|CAPZA2|ATP6V1A|KIFAP3|TMEM183A|FBXO9|FBXW11|INPP4A|CLCN4|SELENOT|ARF4|G3BP2|CNKSR2|PRKCI|GDE1|CLTC|HTATSF1|TBC1D9|GLRB|COPA|GHITM|RSL24D1|NDUFS4|GAS7|NLK|TMEM50B|GABRG2|ARMC1|YWHAZ|SNX4|ELAVL2|PITPNA|ANAPC5|DLAT|ATF2|PREPL|GPR176|RANBP9|MATR3|MAPK14|MMADHC|HSPD1|ZEB1|GDAP1|SNAP25|RIOK3|ARL1|SERINC1|WTAP|PSME3|TSN|SCAMP1|TRAPPC3|MRPL35|ACP1|CRYZL1|TRIM27|ATP6V1D|WASL|EID1|BAG4|ME2|SKP1|NAPG|ATG5|PEX5|GRIA3|RNGTT|GDI2|ITFG1|DCUN1D4|PCMT1|NOLC1|STX16|KIFBP|TMED2|COPS8|SEL1L|CHN2|CAND1|RNF14|SCARB2|OGT|TM6SF1|USP46|KLC1
MOSET7638,LAU_2020_EXCIT,8.99954741848113e-23,5.83299237680699e-20,1.23789667319529,-0.438421387172543,-2.74087326812748,388,CDH18|GRIN2A|TMEM132B|FRRS1L|EPHA4|HOMER1|POU6F2|FRMPD4|PRICKLE1|NUAK1|CCSER1|KCNQ5|MCTP1|PCDH7|DIRAS2|HTR2A|CAP2|TMEM108|NRG1|CELF2|BAIAP2|DMD|SNTG1|MDGA2|OPCML|LDB2|ADGRL2|FAM155A|ATP2B1|ADAM23|ANO3|HS3ST4|GABRA4|CALM1|PTK2B|DGKZ|CPLX2|SYNPO|EPHB6|CAMK2N1|THRB|ARPP19|JPH1|CLSTN2|PCSK2|RYR2|PTPRO|CDH10|KHDRBS3|KCNH7|ENC1|RAP1GAP2|ELAVL4|SSX2IP|ADCY1|ARHGAP44|TMEM132D|MMP17|SLC2A13|FOXP2|CSRNP3|KCNH1|DCLK1|SEPTIN11|SLC8A1|RGS4|CDKL5|GABRB2|HCN1|SORCS1|STRBP|FAT3|SRRM3|CDH8|KCNB1|FLRT2|DYNC1I1|PRKCB|EFNA5|KCNH5|NGEF|GPR158|NRG3|UNC13A|CACNA1A|RUNDC3B|TAGLN3|ENO2|PRKAR2B|ATRNL1|FRMD4A|CBLN2|CHSY3|CNTN4|PHACTR1|KCTD16|IDS|SNAP91|DLGAP1|ATP2B2|PPP2R2C|RIMS1|UNC79|GFOD1|ITPR1|GAP43|ERC2|RORB|RBFOX3|CDH9|FAM81A|PDE4D|SLC8A2|CAMK2B|RUNDC3A|SCN2A|SCN8A|LMO3|GALNT9|FOCAD|CACNA1C|CADPS2|FGF14|FZD3|TESPA1|KALRN|GLS|STX1A|RIMS3|XKR6|RGS6|CADPS|RAB27B|ARHGAP32|CERS6|PPM1L|CAMKK1|NPTX1|CACNA1B|NAV3|SLC39A10|PAK5|RAPGEF4|RBFOX1|SH3GL2|PTPRN|PSD|SHANK2|VPS13A|MEF2C|CDK14|CUX2|STMN2|CPNE5|CCDC3|SYBU|AFF3|PGM2L1|SPTBN4|UNC80|ADAMTSL1|NPTN|RIMS2|HLF|MYH10|PPP3CA|NWD2|ROBO2|CABP1|PLEKHA5|PLCB1|TSPYL1|ACTN1|SYT7|CDK5R1|GALNT17|LONRF2
MOSET7161,LAKE_2018_EX6B,3.33990056059771e-22,1.89414110542897e-19,1.22105375677186,-0.536552150065474,-3.20682728648373,191,SOX5|HIVEP2|PEX5L|HOMER1|TRPM3|POU6F2|DLC1|FRMPD4|PRICKLE1|CCSER1|KCNQ5|MCTP1|PCDH7|DIRAS2|TLE4|FUT9|GRM3|CAP2|NRG1|TRMT9B|LUZP2|CELF2|SLC35F1|DMD|MDGA2|OPCML|LDB2|FAM155A|ATP2B1|ADAM23|HS3ST4|NIN|CLSTN2|PCSK2|RYR2|KHDRBS3|KCNH7|KCNMB4|ASAP1|RAP1GAP2|ADCY1|ARHGAP44|RAP1GAP|FOXP2|DKK3|CSRNP3|GARNL3|DCLK1|SEPTIN11|SLC8A1|STRBP|STXBP5|DYNC1I1|PRKCB|EFNA5|KCNH5|NGEF|GPR158|NRG3|CHSY3|PHACTR1|LRP1B|DLG2|MEIS2|ERC2|DPP10|GRIK3|ZFPM2|PDE4D
MOSET7959,BAKKEN_2019_L5_6_NP_GLUTAMATERGIC_DE_GLUT_CLUSTERS,5.11326082503745e-22,2.57765159591054e-19,1.21254456769062,-0.427315767273163,-2.68512220275299,415,CDH18|HIVEP2|NCK2|BACH2|ADAMTS19|DLC1|UNC13B|FRMPD4|ADAMTS20|EPHA7|PKD2L1|DIRAS2|HTR2A|TLE4|FUT9|GRM3|KCNT2|CAP2|TRMT9B|LUZP2|SLC35F1|DYRK2|DMD|KLHL32|SNTG1|MDGA2|OPCML|CDH11|VEGFC|XYLT1|LDB2|KLHL3|EVL|APBA1|ADCY2|MCC|HS3ST4|PDE3B|SEL1L3|CACNB4|GRM8|CD47|MTCL1|SLC17A8|KCTD8|CPLX1|DLGAP4|RPH3A|FOXN3|RYR2|PTPRO|SPON1|RAP1GDS1|SGCZ|AKAP7|OSBPL3|CORO6|ELAVL4|ROBO3|B3GLCT|CHRM2|DKK2|ATP2A2|TMOD1|GRIP1|MACROD2|FOXP2|CXXC4|EFR3A|GRP|PELI2|P4HA1|PDE7A|PBX1|STRBP|SLC24A2|ARHGEF10L|CDH8|RORA|NETO2|FAM89A|DYNC1I1|GPR63|ABLIM1|PCED1B|CDK8|PLCL2|SCAI|GPR158|BCL11B|SEMA6A|NRG3|CACNA1A|ETV5|NRXN1|RHOBTB3|TRPC3|PLCXD2|SORL1|GNAL|SLC8A3|ATRNL1|CHSY3|CNTN4|SDK1|LRP1B|PKP4|MYL4|PCDH17|DACH1|MEIS2|CRACD|ABLIM3|PCDH15|ERC2|DPP10|EEPD1|GRIK3|GPRIN3|MGAT4C|SPOCK1|RALGPS2|DSCAM|RNF152|TNRC6A|MAPK4|HIP1|ADARB1
MOSET7960,BAKKEN_2019_L6_CT_GLUTAMATERGIC_DE_GLUT_CLUSTERS,6.95040160387846e-22,3.15339720767966e-19,1.21254456769062,-0.495230929982284,-3.02777848600124,245,CDH18|EPHB1|NFIA|HIVEP2|PLOD2|NCK2|PEX5L|DTNA|LRP8|BACH2|TRPM3|ADAMTS19|DLC1|FRMPD4|MCTP1|PCDH7|TLE4|FUT9|GRM3|NRG1|TRMT9B|LUZP2|SLC35F1|MDGA2|OSBPL10|CDH11|FAM155A|ATP2B1|ADAM23|MCC|ANO3|HS3ST4|SYT6|SEL1L3|CACNB4|GRM8|MAOB|RPH3A|VXN|RYR2|KHDRBS3|PITPNC1|RASGRP1|ADCY1|GRIP1|HIVEP1|FOXP2|DKK3|IPCEF1|PLCB4|TECTA|GARNL3|EFR3A|SLC8A1|ARRB1|SLC24A2|UXS1|STXBP5|NETO2|DYNC1I1|PRKCB|EFNA5|PLCL2|GPR158|ARHGAP22|BCL11B|PCDH9|SEMA5A|GNAL|PHACTR1|SDK1|CEP85L|LRP1B|NCALD|DLG2|PTPRM|PTK2|MEIS2|RIMS1|MBOAT2|HDAC4|SULF1|DPP10|IER5|EEPD1|GRIK3|SERINC2|CDH9|ZFPM2|PDE4D|OSBPL8|TEAD1
