SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET6935,ZEISEL_EPENDYMAL,6.32624237433472e-40,2.87021616523566e-36,1.64704014100292,-0.556774644864983,-2.5394652095786,437,DNAH7A|NME5|SPINT2|DRC1|TTC30A2|MAP10|ZFP185|CDKL4|KATNAL2|GKAP1|SMIM5|FAM221A|EFCAB1|ABCA8A|ACOT5|RLN1|STYXL1|PLIN5|SERPINB1B|ZC2HC1C|HSPA2|EID3|GM17455|SPAG8|DSG2|SLC39A13|MIA|CAPSL|5330413P13RIK|TRP63|1700016K19RIK|CPNE2|FHL1|FIBIN|GCHFR|BDH2|FBXO10|PIFO|CFAP57|CLEC3B|FBXO16|CASC1|CFAP45|SPAG17|WNT11|KIF27|ANKRD42|CFAP58|STPG1|9230114K14RIK|CD109|TOGARAM2|ZFP229|ARMC3|CCDC30|DRC7|EPPK1|NIPAL2|CCDC81|E530011L22RIK|DNAH6|DNAH1|MOK|GM11837|DYNLRB2|COX7A1|SEMA3B|SP7|PLSCR2|CCDC146|RSPH1|MORN1|DNAH9|AEBP1|EFCAB10|TMEM220|DRC3|CNMD|RNF138RT1|FHAD1|SMOC1|PRLR|SPEF2|COL8A2|NMB|KRT15|DNALI1|CCDC103|EFHC1|CLDN1|LBP|HDC|SAXO2|OSCP1|RSPH4A|ENKUR|CCDC96|TMEM107|TTC34|OGN|1700028P14RIK|CFAP44|ASCC1|1700007K13RIK|TTC30B|DNAH5|MYCBP|MEIG1|GLB1L2|RSPH3B|GSTT1|TMEM216|CCDC153|KIF9|DNAH11|DHX40|RFX2|2810433D01RIK|AK8|COL6A2|DYNC2LI1|TEKT1|IQCK|COX6B2|P2RX6|LAMA3|TCTN2|UBXN11|CFAP70|HYDIN|1700029J07RIK|B9D1|KIF6|WDR31|4933407L21RIK|CCDC17|CCDC89|LRRC71|GDF11|SOSTDC1|PPP1R32|GM11992|CRYGN|ELMOD3|SEC24D|SPATA6|GRAMD1C|ENO4|DNAH7B|CCDC113|BBOF1|IFIT3|ACE|RSPH9|BPHL|TCHH|KL|FANK1|LRRC46|STK33|CHCHD10|AKIP1|PYGL|CAR12|MORN5|KLKB1|MYO5C|1700088E04RIK|DDO|WDYHV1|DNAH10|CFAP52|IQCD|CCDC65|ZCCHC4|RDH10|EMB|NEK11|VWA3A|JUND|LRRC23|NEK5|SLC16A12|STK36|SNRPA|CETN2|AK7|BTBD8|1700003E16RIK|ODF3B|MDH1B|DAW1|SLC22A4|1110017D15RIK|EFCAB2|DPCD|CROCC|1700013F07RIK|CFAP43|A930006K02RIK|DBI|ZMYND10|2610301B20RIK|FAM216B|NUDC|ATP8B5|TSPAN6|RHBDD1|MKS1|ZFP395|DUSP18|INTU|FLNC|1810010H24RIK|CFAP65|GM5617|GM973|PLA2G5|0610009L18RIK|PCOLCE2|CNN3|FBLN7|RIBC2|SLC26A2|SFRP1|GALK2|ERICH2|CCDC34|TRP53I13|WDR35|CETN4|S100A6|TTC8|NPPC|SPATA17|SORD|MSX1|CCDC40|ABCA4|MAGEH1|CELSR1|FHL3|DMKN|TEKT4|KLHDC9|RUVBL2|RAB42|MLF1|RPGR|FNDC1|PIH1D2|DNAJC3|IQCG|DCHS1|COL1A1|SLC2A12|ETFA|ANXA11|BICC1|HSP90AA1|FAM78A|CFAP100|CCDC39|PRDX4|TANGO6|H2AZ2|NAP1L1|GM19522|MYB
MOSET7133,HABIB_2017_EPENDYMAL,2.98523066275978e-22,6.77199575847057e-19,1.22105375677186,-0.540680855953782,-2.42236951681221,264,NME5|CRB1|CCDC181|DRC1|CDS1|EFCAB1|NTS|DPP6|NR2F1|SPAG8|RARRES2|CDHR3|CFAP221|TRPS1|PIFO|CFAP57|NNAT|CASC1|CCDC78|DUSP1|ARMC2|CFAP45|SPAG17|KIF27|TOGARAM2|CFAP157|ARMC3|NEK10|WDR49|CCDC30|TPM1|CFAP73|EFEMP1|DNAH6|MOK|GJC2|DYNLRB2|CCDC146|RSPH1|DNAH9|DRC3|PKM|SRP14|FRMPD2|FHAD1|DLEC1|SPEF2|DNALI1|EFHC1|MAPK15|RSPH4A|GADD45B|ENKUR|TMEM231|CCDC13|FSTL1|HSPB8|CFAP44|DNAH12|DNAH5|CCDC153|WDR66|DNAH11|ZBBX|TEKT1|PALMD|VIM|CFAP70|HYDIN|BCL6|TTC21A|FGFR1|TYMP|MATN2|PPP1R32|BAIAP3|BTG2|ADGB|CFAP54|CCDC113|CD36|BBOF1|FANK1|NR4A3|LRRC46|STK33|TMEM67|IFT88|CAVIN1|SPATA18|DDR1|TTC26|DNAI2|WLS|DNAH10|UQCRB|ANXA1|CFAP52|SPAG16|NEK11|VWA3A|JUND|LRRC23|NEK5|SIK1|AGXT|CFAP299|CETN2|AK7|RGS22|ODF3B|AGBL2|GABRG1|EFCAB2|CFAP43|ZMYND10|WDR93|PRR29|DUSP18|CFAP65|FAM81B|CNN3|CNTN3|AK9|CFAP46|HSPA5|DNAJC10|SPATA17|PLTP|CCDC40|VWA3B|DYDC2|PARD3B|SPAG1|HSPD1|MAP3K19|LMNA|PPP1R12B|TMEM232|MLF1|PBXIP1|RPGR|MCL1|NPAS3|MYL6|IQCG|STOML3|ID1|IFT27|CFAP100|CCDC170|CCDC39|HAGHL|TRDN|CFAP69|DTHD1|PRDX5|IK|SLC7A11
MOSET7059,kelley_Ependymal,3.91153958667089e-21,5.91555170157528e-18,1.18665095279281,-0.649666708071438,-2.77444501591278,123,DRC1|EFCAB1|SPAG8|CAPSL|CFAP61|CFAP221|PIFO|CFAP57|CFAP45|SPAG17|CFAP58|CFAP157|ARMC3|WDR49|DRC7|FBXO15|CCDC81|LCA5L|CFAP73|LMNTD1|DNAH6|DYNLRB2|TTC29|RSPH1|DNAH9|DRC3|SPATS1|FHAD1|DLEC1|CFAP300|SPEF2|DNALI1|EFHC1|RSPH4A|TMEM231|CFAP77|AKAP14|CFAP44|DNAH12|DNAH5|WDR66|DNAH11|CFAP126|ZBBX|TEKT1|RIBC1|CFAP70|HYDIN|ECT2L|LRRC71|PPP1R32|CFAP161|ADGB|CD36|FANK1|LRRC46|CCDC33|TMEM67|MORN5|SPATA18|DNAI2|CFAP52|CCDC65|NEK11|VWA3A|CFAP299|AK7|RGS22|ODF3B|MDH1B|AGBL2|DAW1|CFAP43|ZMYND10|FAM216B|NUP62CL|ANKUB1|FAM81B|RIBC2|MYCBPAP|IQGAP2|FOLR1|SPATA17|VWA3B|DYDC2|MAP3K19|WDR38|MLF1|PIH1D2|IQCG|STOML3|CFAP100|CCDC170|CFAP69|MYB|DTHD1
MOSET12,FOSTER_CYTOPLASM_PROTEINS,3.8552315907805e-14,4.37279643184278e-11,0.965327754226083,-0.467351989661729,-2.09933566934648,282,APOA2|SOD1|MSRA|DPYS|SNX2|HPD|PKLR|PPIF|TPM1|KHK|FTH1|RNH1|CBR1|EIF3G|SEC14L4|GSTA4|ANP32A|BLVRB|HAAO|PDLIM1|QPRT|GSTM3|HSP90AB1|GSTM2|NSFL1C|PSMB2|ALB|GSTT1|PDCD6|CPS1|FAH|CAP1|SFN|PLS3|ABHD14B|OSTF1|PNPO|SCAMP3|GALM|PARK7|COPS4|DSTN|PSMD8|PGM1|TKFC|GSTM1|RIDA|GPT|ARG1|ALAD|ALDH2|ANP32B|HACL1|AGXT|ASL|VCL|AOX1|RPS16|CCT2|PSMD9|APOA1|GSTT2|SELENBP1|UCHL3|TPI1|HINT1|GAMT|DBI|RTCB|GSTZ1|SULT1A1|ACY3|TGM2|IMPDH2|BBOX1|PPID|ST13|HPGD|ARF4|RPS29|SEPHS2|ACOT2|GALK1|SORD|COPS2|ALDH1A1|FKBP4|SNX1|NDUFB5|BLVRA|ACP1|GSTA3|YWHAB|SHPK|GPHN|PSMB7|HSP90AA1|RAB11B|HNRNPA2B1|PGAM1|ADH5|NAP1L1|EIF3D|OTUB1|PRDX5|STBD1|GSS|EIF4A2|EIF3I|UPB1|NIT1|WDR1|GOT1|GNPNAT1|STIP1|GDI1|SHMT1|GSR|AP1M1|ALDH7A1|PSMC6|TTR|PSMA5|UBE2N|SPR|CCT7|HNRNPH1|ANXA5|PHPT1|HSPA4|MGLL|GSTP1|ATOX1|PLPBP|EIF3E|LAP3|ACY1|DCXR|PGK1|PVALB|PEBP1|DNM2|GCKR|ENO3|PGD|UGT1A9|HNRNPF|LYPLA1|GPS1|EIF4A1|PRDX6|ATP6V1A|RPS27A|PPIA|HAGH|GSTO1|CAPZB|PRDX2|UGDH|CMPK1|ARPC5|LDHA|YWHAE|RPS20|NDRG2|ALDOC|GPD1|OPLAH
MOSET6962,GOKCE_EPENDYMAL_CILIA_STR,1.31525028671032e-11,1.19345811016094e-08,0.875325132024659,-0.753618218743687,-2.916370907227,38,1700024G13RIK|CDHR3|SCNN1A|TMEM212|CCDC78|SPAG17|1700012B09RIK|CD109|ZFP474|TTC29|AEBP1|DNALI1|MAPK15|CCDC121|DNAH5|CCDC153|PPP1R36|HYDIN|PPP1R32|CRYGN|LRRC36|ACAT1|2410004P03RIK|CCDC33|VWA3A|RGS22|ODF3B|GOT1L1|SNTN|DAW1|GM10714|BBOX1|FBLN7
MOSET39,SUGINO_UP_GABAERGIC_NEURONS,2.03922456512374e-11,1.5419936419944e-08,0.863415391606693,-0.480414876765044,-2.11562272322358,195,CRTAC1|RAB3B|LHX6|SERPINI1|DUSP10|CAMK2D|CALB1|NPY2R|GRIK1|GKAP1|PAIP2|DPP6|RPP25|DIRAS1|SPOCK3|MTFP1|FHL1|CALB2|SLC27A2|HS3ST1|YPEL5|PIP5K1B|SPATS2L|TTC39C|LATS2|RIPOR2|BCL2L11|KCNIP1|ARHGAP24|SST|RERG|TAFA5|SLC39A6|ARHGAP12|SLC24A3|CREG1|NXPH1|CYGB|RAMP2|RCAN2|NGF|ARX|KCNMB2|CLPP|TMX1|SNCAIP|ALCAM|WIF1|ECE2|ST8SIA4|NAP1L5|TLE1|GPR83|RND2|SLC6A1|CRISPLD1|BPGM|OSBPL9|SORBS1|MAF|AP1S2|LZTFL1|NPC2|ALAD|CCDC136|DNER|FAM107B|GAD2
MOSET7552,YANG_2021_EPENDYMAL,2.34317750602101e-10,1.51871376354533e-07,0.814035837847908,-0.478954554813164,-2.10726469350459,193,PACRG|NME5|CRB1|DRC1|FSIP1|KATNAL2|EFCAB1|GRIA1|TMEM163|DPP6|SPAG8|CDHR3|CFAP61|CFAP221|CASC1|ARMC2|SPAG17|KIF27|CROCC2|TOGARAM2|NME9|ST8SIA1|MAPK10|CFAP157|ARMC3|NEK10|WDR49|CCDC30|ANKFN1|CFAP73|LMNTD1|CABCOCO1|DNAH6|MOK|CCDC146|TTC29|RSPH1|DNAH9|DRC3|FRMPD2|FHAD1|DLEC1|SPEF2|EFHC1|EFCAB6|CFAP77|TTC34|PAMR1|CFAP44|SNCAIP|DNAH12|DNAH5|WDR66|DNAH11|RFX2|AK8|EML6|ZBBX|TEKT1|CFAP70|HYDIN|IL16|BAIAP3|CRISPLD1|ADGB|CFAP54|CD36|PLEKHA7|BBOF1|FANK1|STK33|TMEM67|IFT88|DNAI2|DNAH3|ARMH1|DNAH10|ANXA1|CFAP52|SPAG16|NEK11|VWA3A|NEK5|CFAP299|CCDC60|RGS22|DAW1|GABRG1|EFCAB2|CFAP43|INTU|FAM81B|AGBL4|CNTN3|CFAP46|ROR2|IQGAP2|TTC8|SPATA17|CCDC40|VWA3B|PARD3B|ULK4|SPAG1|MAP3K19|SRGAP3|TMEM232|MIPEP|IQCG|HSP90AA1|CFAP100|CCDC170|LEKR1|TRDN|CFAP69|GMPR|DTHD1
MOSET6938,ZEISEL_CA1PYRAMIDAL,4.86779564747529e-10,2.76064860657443e-07,0.801215574617779,-0.399778708283006,-1.81433193756594,388,GREM1|ZSCAN18|NR4A2|ARSJ|SLC9A4|CHRM5|SLITRK3|DEPDC7|ALOXE3|LMO1|CRYM|SYT17|LRRN4|CDS1|ROGDI|NDST4|PLCZ1|SLC9A2|ADRA1D|SPINK8|HS6ST3|SERTM1|NTNG1|PLCH2|GSTM6|USP27X|CPNE6|E030013I19RIK|TACR3|WFS1|MSRA|MYH7|KCNG2|NCOA7|NPBWR1|ITGBL1|SOWAHA|PWWP2B|ADGRG2|PRNP|GM10754|MRTFA|HTR4|NPR3|THSD7B|EPHA6|ADRA2C|OTUB2|NAA38|MCHR1|ELK1|PPP4R4|GPR39|LRFN2|PLXNC1|DPYD|DOCK4|ANO5|FOXO6|SH3BP5|GPR161|TMEM200A|MARCHF3|MEI4|RAMAC|DIO3|YPEL1|AGFG2|ZFP831|PLPP6|EFCAB6|SEPTIN9|RUNX1T1|GM10649|TENM4|DCAKD|KRT2|SLC26A4|CHST1|A930024E05RIK|BHLHE22|GM20754|TMEM74|GAREM1|ST7|MAGEE2|TCF20|MST1R|E130008D07RIK|GPR25|DSCAML1|PCDHB7|SNHG10|MATN2|RSPO2|LRRN2|ZFP667|HUNK|SH3RF1|AMZ1|DUSP4|DCN|BRD9|STIM2|LMO7|AHI1|GRINA|GALNT16|KCNA4|SEZ6L|GM3086|SLIT1|PTPRS|KBTBD11|OGFOD1|PKP2|KLK7|TANC1|KRT79|AR|PCDH19|GM4926|WIPF3|DTNBP1|TCEAL3|GPR45|GALNT17|RBBP7|FGF10|RNF150|GM12070|ORAI2|ZSWIM5|GABRA5|DOC2B|GAL3ST3|CPT1C|CCDC88C|RASAL1|JPH4|ABI1|ACTL6B|YWHAZ|INSL5|RAB3IP|ADGRL3|LENEP|IRAK1BP1|COQ8A|MEGF11|ST8SIA3|LCT|SRGAP3|CDC40|SERPINA3C|CSMD1|SIPA1L3|NAPG|CACNG8|PSD3|C2CD2L|PTPRU|AI115009|BVES|ADAMTS7|GPD2|CCDC112|MICAL2|GRID1|FKBP5|FAAH|NPHP4|DRD5|SUB1|KSR1|BAG4|NAT14|PXDN|BCR|GAPDH|AP3B2|RBM43|RAB3D|LZTS3|DTWD1|GM15706
MOSET6735,JACQUET_DOWN_IN_FOXJ1_NULL_ADULT_STEM_CELL_NICHE,6.05503928624214e-10,3.05241258240895e-07,0.801215574617779,-0.664966417895395,-2.67900840369199,51,CDKL4|EFCAB1|CAPSL|CPN1|KIF27|TSNAXIP1|TM4SF1|PRELP|DNAH6|TTLL6|DYNLRB2|DNAH9|DNALI1|EFHC1|RSPH4A|MUSK|DNAH12|DNAH5|MEIG1|KIF9|WDR66|DNAH11|KIF6|SPATA18|NEK11|NEK5|CALML4|MDH1B|PRRG4|BBOX1|APOE|FOLR1|SPATA17|EFHB|DNAJB13|TEKT4|MAP3K19|MLF1|HSPA8|DYNLL1|CLDN2
MOSET7280,SCHIRMER_2019_EX_L2_3,1.24880421747842e-09,5.6658247346996e-07,0.788186810800237,-0.394467278909609,-1.78407091555866,358,GRIA4|NELL1|PCDH8|KCNAB2|CLU|NCOA7|SEM1|PTH2R|PPM1E|ATP5MD|TENM2|UQCRH|ST3GAL5|CRBN|CCSAP|PRXL2A|CCDC30|NDUFA3|PTGDS|INPP5F|RASD1|SLIRP|CALY|NDUFA12|RPL38|RPL19|CD63|FGFR1OP2|TAX1BP1|CREBL2|CEP112|HSPB1|PPP2R2D|NEAT1|HSP90AB1|RPS28|CCT5|SNCB|NEFM|CTTN|ALDOA|NAP1L2|DDX24|CNST|RPL7A|CHST11|CRLF1|RPL5|SCAPER|PDP1|TCP1|SEC62|TUBA4A|PTGR1|CRYAB|CRYL1|DSTN|YPEL3|RPL41|MAMDC2|HSPA12A|CALR|SYN3|CHCHD10|GRINA|FBXO21|SCG2|CACNA2D1|COL26A1|CHGA|CPOX|DNER|CUL1|PTMA|PLD3|BSG|CLTA|SAP18|BCAP31|ID2|TAFA1|GABRA1|DIPK1A|SUMF1|ARMC9|CCT2|ATP6V1B2|ICA1L|CEMIP|RPS11|NALCN|SERINC3|FTO|TPI1|TCEAL3|HSP90B1|ZSWIM6|GPX4|NUDC|KANSL1L|GRM5|RCN1|KCNN2|NDUFB1|PSMD11|ANKUB1|TRMT112|ATP6V1D|TSPYL2|PPID|ST13|RPL4|UBE2B|HSPA5|COX6B1|FKBP2|MORF4L1|ADGRL3|FKBP4|HPCA|EEF1A1|HSPD1|DNAJA1|SLC22A17|TYRO3|IGSF10|RPL18|SPARCL1|CDIP1|CCT8|EIF1AX|USP39|HSPA8|DYNLL1|NPAS3|GPHN|POMP|LINGO2|ELOB|RPL13A|BICC1|FARS2|CCT3|RPS27L|FAM172A|RPL28|TMEM59|LRFN5|PSMD1|HNRNPA2B1|RETREG2|ATP6V0A1|UBB|AHSA1|SCAMP5|GAPDH|CLDN11|SLC25A4|FXR1|SF1|SYNJ2|IL1RAPL1|UBA52|NDUFS2|STIP1|GDAP1|SSB|MAP1LC3B|NUP88|HMGN3|RBMX|TPT1|RPS15|AP1S1|ANAPC16|EIF1B|HSPA4|DUSP16|TRIM9|FNDC3B|RASGEF1B|SRI|WNK1|HP1BP3|EIF1|RABAC1|HERPUD1|LDHB|NCDN|SNAP23|FKBP8
