SetID,SetName,pval,padj,log2err,ES,NES,size,leadingEdge
MOSET6941,ZEISEL_S1PYRAMIDAL,8.18007586809704e-16,3.71130042135563e-12,1.02766987054358,0.40400370866403,3.53405033484616,259,RXFP2|KCNH7|SOX5|SDK2|CWH43|E2F1|PTPRK|CPNE9|CYP26B1|FRZB|GPR153|DTL|POU6F2|OVOL2|VWA5B2|ASAP1|CABP1|OPRK1|KCNH1|GSG1L|B230217O12RIK|CACNA1A|SLCO4C1|ARL4D|GALT|AKAP6|FHOD3|KCNH5|NEU2|KCNT2|IPCEF1|TIAM2|1700007P06RIK|CHRM4|KCNH4|FOXP2|FAP|HS3ST2|HTR2A|GRM8|ATP2B2|LSM11|COBL|MAPK12|KLHL1|GRIK3|RRAGD|PCDH7|CAMK2N1|POU6F1|TBR1|STRBP|MAPK11|MEF2C|CATSPERZ|RASGEF1C|GM9899|ARHGAP20|DOC2A|ADCYAP1|IL1RAPL2|KCNK4|CADM3|DOCK3|ADGRD1|RPS6KA3|RPRM|CUX1|HTR1F|SCN4B|RAP1GAP2|AW495222|ERC2|CACNA1I|KAZALD1|A830009L08RIK|PAK5|CAMKK2|SAMD12|CORO2A|EPHA8|CISH|SCUBE1|OTUD3|TTL|GM5468|MGAT4C|CDH18|ARHGAP15|TPBG|ARHGAP32|C730002L08RIK|MYL4|ATP2A2|TLE4|TMEM132D|OSBPL1A|GABBR2|STX1A|MEDAG|KRT12|ARPP21|R3HDM2|MCTP1|STAT4|IL12A|OPN3|CST6|IGSF9|BSN|FSTL4|ZFP367|GRM2|ABI3BP|LARS2|EVI5|CPA2|IGSF21|SEMA5B|ADRB1|PIP5K1C|KCNJ9|C030013G03RIK|GM1976|PPARG
MOSET7535,YANG_PFC_2021_L5_6_EXCITATORY_NEURON,6.3066299252452e-15,1.43065899854187e-11,0.996986217533181,0.396152527171592,3.46331993798731,243,PLCB4|KCNH7|SGCZ|SDK2|NOS1AP|TRMT9B|LDB2|DLC1|FRMPD4|B3GLCT|TRPM3|SLC8A1|SDK1|POU6F2|PRICKLE1|CABP1|PRKCB|CSRNP3|ADCY1|LUZP2|CACNB4|KCNH5|ST8SIA5|SH3GL2|CAP2|LRP1B|FOXP2|GARNL3|NRG1|HS3ST2|KCNQ5|AFF3|RYR2|MDGA2|GRIK3|SLC35F1|PCDH7|MYT1L|OSBPL10|CHSY3|EPHA7|STRBP|PLCB1|HIVEP3|LRRC7|DMD|SNHG14|OPCML|RIMS1|PHACTR1|GAS7|TOX|GABRG3|NAV3|CNKSR2|PCLO|CPNE8|PCSK2|RAP1GAP2|NGEF|EFNA5|SATB2|PRKAR2B|DIRAS2|SCN8A|DCLK1|CELF2|GABRB2|ERC2|SCN2A|NCALD|PAK5|RBFOX3|DPP10|RASGRP1|KCNJ6|CDH18|PLEKHA5|DYNC1I1|DGKI|GUCY1A2|FGF14|KHDRBS3|PRICKLE2|ADAM23|TLE4|CCBE1|DOK6|RBFOX1|XKR4|CDH6|PDE4D|UNC79|CCSER1|MAP2|ROBO2|ARPP21|CEP126|DACH1|ADAMTSL1|MCTP1|MCTP2|OPRM1|GPR158|ARHGAP44|STXBP5|KCNMA1|HECW1|SULF1|ATP8A2|HS3ST4|CACNA1B
MOSET7543,YANG_CP_2021_NEURAL,1.11655118095906e-12,1.68859756933708e-09,0.910119734774459,0.304545977286654,2.73337280466177,470,HIVEP2|ADAMTS18|KCNH7|ADGRL2|TNR|GRID2|DGKH|FAT3|SGCZ|GPRIN3|PTPRO|MEIS2|SPOCK1|TSPAN5|KCNB1|PTCHD1|SLC8A1|MTCL1|POU6F2|CDYL2|GLCCI1|PRKCB|CD47|KCNH1|SORL1|SLITRK5|ADGRL1|ADCY1|CADM2|CACNA1A|SORCS1|LUZP2|AKAP6|NCAM2|ST8SIA5|CDC42BPA|SEL1L3|SH3GL2|ABLIM1|LRP1B|SYNDIG1|GARNL3|CACNA1D|DSCAM|NRG1|CPLX2|KCNQ5|AFF3|TRANK1|AGTPBP1|RYR2|KCNMB4|FUT9|ELAVL3|MDGA2|TMEM132B|SNTG1|KLHL3|FRMD4A|SLC35F1|CAMK2N1|NRG2|GALNT13|KCTD8|MYT1L|CSMD2|EPHB1|EPHA7|PLXNA4|PLCB1|HIVEP3|LDLRAD3|LRRC7|RASGEF1C|AKAP12|KIF26B|SNHG14|DLG2|OPCML|RIMS1|MAP1B|PHACTR1|ABLIM3|LRRC4C|FRRS1L|CDH10|EBF1|GRIN2A|UNC13A|PDE10A|NAV3|PAUPAR|CADM3|DOCK3|XKR6|CNKSR2|SRRM3|PCLO|GAP43|PCSK2
MOSET7159,LAKE_2018_EX5B,7.86469714071555e-12,8.92053273185661e-09,0.875325132024659,0.382656433761797,3.34668274871953,218,KCNH7|ADGRL2|FAT3|SOX5|THRB|LDB2|PTPRK|FRMPD4|NUAK1|SHC3|POU6F2|PRICKLE1|CABP1|PRKCB|KCNH1|SORCS1|FOXP1|NCAM2|ST8SIA5|KCNT2|EPHB6|PEX5L|LRP1B|FOXP2|RGS4|DSCAM|NRG1|HS3ST2|KCNQ5|AFF3|RYR2|KCNMB4|RGS6|MDGA2|SNTG1|FRMD4A|SLC35F1|PCDH7|ENC1|CHSY3|ITPR1|NECAB1|MAGI3|LRRC7|DMD|DGKZ|OPCML|PHACTR1|TOX|CDH10|EXT1|GABRG3|NAV3|IL1RAPL2|FMN1|GAP43|PCSK2|ATRNL1|RAP1GAP2|NGEF|EFNA5|SATB2|DIRAS2|NWD2|DCLK1|CELF2|KCTD16|ERC2|MIR124-2HG|NCALD|NIN|NPAS2|DPP10|NRG3|DGKI|KCNQ3|GUCY1A2|KHDRBS3|PRICKLE2|ADAM23|SLC39A10|TMEM132D|DOK6|MIAT|RBFOX1|PDE4D|GLS|CCSER1|MAP2|PPP2R2C|ARPP21|VSNL1|FMN2|MCTP1|HS3ST5|WDR17|KCNMA1|BSN|HECW1|FSTL4|HS3ST4|CACNA1B|CSMD3
MOSET7755,JAKEL_2019_NEURON1,3.03151545033987e-11,2.7507971196384e-08,0.851339057116899,0.292706028455658,2.62714228556268,457,KCNH7|ADGRL2|FAT3|SGCZ|SOX5|THRB|PDZD2|PTPRO|LDB2|CARMIL1|ANO3|FRMPD4|KCNB1|TRPM3|SHC3|SLC8A1|ADCY2|POU6F2|PRICKLE1|FLRT2|CABP1|PRKCB|KCNH1|CBLN2|CSRNP3|SLITRK5|ADCY1|CADM2|CACNA1A|SORCS1|CACNB4|KCNT2|EPHB6|SH3GL2|CAP2|LRP1B|FOXP2|RGS4|CACNA1D|DSCAM|NRG1|CPLX2|KCNQ5|AFF3|ATP2B2|RYR2|FUT9|SHANK2|RGS6|TANC2|MDGA2|TMEM132B|SNTG1|FRMD4A|SLC35F1|PCDH7|ENC1|RORB|MYT1L|CHSY3|ITPR1|STRBP|PLXNA4|NECAB1|MEF2C|MAGI3|PLCB1|LRRC7|SMYD3|DMD|PTK2B|DGKZ|OPCML|RIMS1|PHACTR1|TOX|LRRC4C|FRRS1L|CDH13|CDH10|GABRG3|GRIN2A|FZD3|UNC13A|PDE10A|NAV3|IDS|DOCK3|XKR6|CNKSR2|FMN1|SRRM3|PCLO|GAP43|PCSK2|MYCBP2|ATRNL1|RAP1GAP2|NGEF|EFNA5|SATB2|PRKAR2B|SCN8A|DCLK1|CELF2|GABRB2|KCTD16|ERC2|MACROD2|SCN2A|MAST4|RAP1GAP|NCALD|NIN|PAK5|EPHA4|SETBP1|RBFOX3|PCNX2|DPP10|NRG3|MGAT4C|KCNJ6|CDH18|PLEKHA5|DYNC1I1|DGKI|KCNQ3|ARHGAP32|GUCY1A2|FGF14|KHDRBS3|GRIN2B|ADAM23|TMEM132D|DOK6|MIAT|RBFOX1|XKR4|MYH10|PDE4D|GLS|UNC79|CCSER1|GABBR2|STX1A|MAP2|ROBO2|SNAP91|ARPP21|VSNL1|CEP126|FMN2|MCTP1|STAT4|SLC2A13|FRY|SYT7|STXBP1|GPR158|WDR17|ARHGAP44|STXBP5|KCNMA1|BSN|HECW1|SATB1|FSTL4
MOSET7161,LAKE_2018_EX6B,1.45973264388804e-10,1.10380116755334e-07,0.826657301178302,0.386062424223774,3.36279843460714,191,HIVEP2|KCNH7|SOX5|TRMT9B|MEIS2|LDB2|DLC1|FRMPD4|TRPM3|SLC8A1|GRM3|POU6F2|PRICKLE1|ASAP1|CABP1|PRKCB|CSRNP3|ADCY1|LUZP2|KCNH5|CAP2|PEX5L|LRP1B|FOXP2|GARNL3|DSCAM|NRG1|KCNQ5|AFF3|RYR2|KCNMB4|FUT9|TANC2|MDGA2|GRIK3|SLC35F1|PCDH7|PGM2L1|MYT1L|CHSY3|STRBP|HIVEP3|LRRC7|DMD|DLG2|OPCML|PHACTR1|GAS7|GABRG3|NAV3|PCLO|PCSK2|RAP1GAP2|NGEF|EFNA5|DIRAS2|DCLK1|CELF2|ERC2|RAP1GAP|NIN|PAK5|DPP10|NRG3|PLEKHA5|DYNC1I1|DGKI|ARHGAP32|GUCY1A2|KHDRBS3|PRICKLE2|ADAM23|TLE4|DOK6|MIAT|XKR4|PDE4D|CCSER1|MAP2|ROBO2
MOSET7638,LAU_2020_EXCIT,2.34317750602101e-10,1.51871376354533e-07,0.814035837847908,0.296623261847848,2.6502334522045,388,KCNH7|ADGRL2|FAT3|THRB|SYNPO|PTPRO|LDB2|ANO3|FRMPD4|KCNB1|NUAK1|SLC8A1|POU6F2|PRICKLE1|FLRT2|CABP1|PRKCB|KCNH1|CBLN2|CSRNP3|BAIAP2|ADCY1|CACNA1A|SORCS1|KCNH5|EPHB6|SH3GL2|CAP2|FOXP2|RGS4|NRG1|CPLX2|KCNQ5|AFF3|HTR2A|ATP2B2|RYR2|SHANK2|RGS6|MDGA2|TMEM132B|SNTG1|FRMD4A|PCDH7|CAMK2N1|ENC1|RORB|PGM2L1|MYT1L|CDKL5|CHSY3|ITPR1|STRBP|NECAB1|MEF2C|PLCB1|LRRC7|DMD|PTK2B|DGKZ|OPCML|RIMS1|MAP1B|PHACTR1|FRRS1L|MMP17|CDH10|GRIN2A|FZD3|UNC13A|NAV3|IL1RAPL2|IDS|XKR6|CNKSR2|FMN1|SRRM3|PCLO|GAP43|PCSK2|ATRNL1|RAP1GAP2|NGEF|EFNA5|SATB2|PRKAR2B|DIRAS2|SCN8A|NWD2|DCLK1|CELF2|GABRB2|KCTD16|ERC2|SCN2A|PAK5|CALM1|EPHA4|RBFOX3|FAM81A|NRG3|KCNJ6|CDH18|PLEKHA5|DYNC1I1|DGKI|ARHGAP32|GUCY1A2|FGF14|KHDRBS3|GRIN2B|CPNE5|CUX2|ADAM23|SLC39A10|TMEM132D|RBFOX1|MYH10|PDE4D|GLS|UNC79|CCSER1|GABBR2|STX1A|MAP2|ENO2|ROBO2|PPP2R2C|SNAP91|ARPP21|VSNL1|RAB27B|ADAMTSL1|MCTP1|STAT4|SLC2A13|SYT7|RIMS3|STXBP1|GPR158|ARHGAP44|KCNMA1|BSN|HECW1|FSTL4
MOSET7160,LAKE_2018_EX6A,1.50333441061286e-09,7.57847580105617e-07,0.788186810800237,0.359729476336877,3.13955408736657,209,HIVEP2|KCNH7|CHRM2|SOX5|RPH3A|TRMT9B|MEIS2|LDB2|DLC1|FRMPD4|SPOCK1|SLC8A1|SDK1|ADCY2|GRM3|PRICKLE1|ASAP1|SORL1|MYO5A|LUZP2|PCDH17|CACNB4|KCNT2|BACH2|CAP2|LRP1B|FOXP2|DSCAM|GRM8|RYR2|TANC2|MDGA2|SNTG1|FRMD4A|SLC35F1|DLGAP4|KCTD8|PGM2L1|MYT1L|CHSY3|STRBP|PLXNA4|MAGI3|LRRC7|OPCML|MAP1B|PHACTR1|TOX|LRRC4C|CDH13|GABRG3|GRIN2A|IDS|XKR6|SRRM3
MOSET7241,MATHYS_2019_EX12_DE_SUBTYPE_CLUSTERS,1.42379367035542e-09,7.57847580105617e-07,0.788186810800237,0.300245046780747,2.66651630703907,342,HIVEP2|PLCB4|KCNH7|SGCZ|SOX5|SDK2|PCDH15|NOS1AP|TRMT9B|MEIS2|DLC1|GNAL|FRMPD4|B3GLCT|PBX1|TRPM3|PTCHD1|SLC8A1|SDK1|GRM3|HIVEP1|ADCY1|LUZP2|AKAP7|PCDH17|NAV2|KCNH5|RGS7BP|BACH2|ST3GAL1|SEL1L3|ABLIM1|PEX5L|LRP1B|FOXP2|GARNL3|NRG1|CPLX2|HS3ST2|AFF3|GRM8|RYR2|FUT9|PCDH10|MDGA2|GRIK3|SRGAP1|ST6GAL2|SLC35F1|RNF38|KCTD8|OSBPL10|EPHA7|HIVEP3|DMD|GAS7|TOX|LRRC4C|GABRG3|PITPNC1|DIXDC1|PCLO|RPRM|CPNE8
MOSET7152,LAKE_2018_EX3A,3.30959205849481e-09,1.5015619169391e-06,0.774939030136436,0.329156355324528,2.8830482951832,251,KCNH7|ADGRL2|FAT3|THRB|PTPRO|LDB2|PTPRK|FRMPD4|KCNB1|NUAK1|POU6F2|FLRT2|ASAP1|CABP1|PRKCB|KCNH1|SORCS1|FOXP1|CACNB4|DSCAM|NRG1|KCNQ5|ATP2B2|RYR2|PIK3R1|RGS6|TANC2|TMEM132B|SNTG1|FRMD4A|PCDH7|RORB|MYT1L|CSMD2|CHSY3|ITPR1|STRBP|PLXNA4|NECAB1|MEF2C|MAGI3|PLCB1|LRRC7|PTK2B|SNHG14|OPCML|PHACTR1|MAGI2|GABRG3|GRIN2A|PDE10A|CNKSR2|FMN1|GAP43|SLC38A11|CUX1|ATRNL1|NGEF|EFNA5|SATB2|PRKAR2B|SCN8A|NWD2|DCLK1|CELF2|KCTD16|ERC2|MIR124-2HG|MAST4|NCALD|SAMD12|EPHA4|FAM81A|PCNX2|NRG3|PLEKHA5|DGKI|PDE7B|KCNQ3|ARHGAP32|KHDRBS3|CUX2|ADAM23|TMEM132D|MIAT|RBFOX1|LARP1B|PDE4D|GLS|UNC79
