SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
M10914,STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN,6.09620006666919e-40,1.89847862476212e-35,1.64704014100292,-0.513751107194839,-3.00451855469237,495,genotype
M17332,GOCC_ORGANELLE_INNER_MEMBRANE,1.214970966731e-37,1.89183129229683e-33,1.5959566534683,-0.499872154365836,-2.92337994927935,497,genotype
M17748,GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX,1.65839203646657e-34,1.7215214933214e-30,1.52970525162309,-0.618739311568689,-3.4904704838874,231,genotype
M17305,GOCC_MITOCHONDRIAL_MATRIX,1.56350272052797e-30,1.21726504306705e-26,1.43902565267782,-0.48532796855762,-2.82823723304921,446,genotype
M41712,FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL,6.21187281893045e-28,3.86900286654264e-24,1.37274298193398,-0.562728482810815,-3.19027812432283,252,genotype
M39017,FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS,3.0485377462737e-27,1.58229270824093e-23,1.3575740855908,-0.469509334667462,-2.73893033437831,451,genotype
M9577,MOOTHA_MITOCHONDRIA,4.09485481348583e-26,1.82174240859394e-22,1.32671609800481,-0.474510073664849,-2.76032716442855,414,genotype
M2967,MORF_AP2M1,1.46277303045813e-25,4.5553677714527e-22,1.31101476274061,-0.576227783774106,-3.24291409861028,210,genotype
M3040,GOBP_MITOCHONDRION_ORGANIZATION,1.36714748737342e-25,4.5553677714527e-22,1.31101476274061,-0.446255046641583,-2.61222864258969,500,genotype
M9433,MOOTHA_HUMAN_MITODB_6_2002,1.33994079894668e-25,4.5553677714527e-22,1.31101476274061,-0.474011941323659,-2.74850335892587,398,genotype
M5936,HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.53359554987452e-25,1.28350211467448e-21,1.29512308741004,-0.606678787166178,-3.39021696715482,180,genotype
M15112,WONG_MITOCHONDRIA_GENE_MODULE,1.3535821459344e-22,3.51277126572408e-19,1.22950405660873,-0.561603170326935,-3.15096511921036,202,genotype
