SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
M13522,DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,4.63631161176772e-26,1.4438401621367e-21,1.32671609800481,0.454734491730217,2.86510437138546,448,genotype
M761,FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN,2.7861529535811e-20,4.33831876402113e-16,1.16017957183021,0.565077212768338,3.40681426757017,176,genotype
M8702,DAZARD_RESPONSE_TO_UV_NHEK_DN,8.57899902135087e-20,8.90557291743029e-16,1.15122052214226,0.478184185626863,2.95767528489867,282,genotype
M34018,BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP,5.11883755656946e-19,3.98527097966715e-15,1.12391496374483,0.435790397869618,2.72857645588292,359,genotype
M17621,CHEN_HOXA5_TARGETS_9HR_UP,3.94952783023823e-18,2.45992391378558e-14,1.0959292864312,0.529866538136166,3.21026875578205,183,genotype
M34016,BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP,8.45688275631792e-18,4.38940404662088e-14,1.0864405425825,0.409480793978637,2.5750001144822,418,genotype
M39096,ZHONG_PFC_C1_OPC,1.2617683237301e-17,5.61342701965753e-14,1.0864405425825,0.492408308424597,3.01603619076651,224,genotype
M130,FISCHER_G2_M_CELL_CYCLE,1.53288646941226e-17,5.96714380380456e-14,1.07686819261983,0.4992776364448,3.0573327679484,223,genotype
M39041,FAN_EMBRYONIC_CTX_MICROGLIA_1,1.72698764197492e-15,5.97576101626476e-12,1.01754479730988,0.541854540213553,3.20831447926175,146,genotype
M30554,MIR101_3P,1.55919741937791e-14,4.85565260342669e-11,0.97599468306432,0.376237991208121,2.36660041095558,435,genotype
M13244,GOBP_COVALENT_CHROMATIN_MODIFICATION,4.84854366600818e-14,1.37266678951661e-10,0.965327754226083,0.374928185514319,2.35807800478122,437,genotype
M2984,GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP,5.3016659604418e-14,1.37587067783399e-10,0.965327754226083,0.489027896034114,2.94958142466676,179,genotype
M5901,HALLMARK_G2M_CHECKPOINT,6.11728834197737e-14,1.46541995035276e-10,0.954541630725724,0.47455404049772,2.88143344595799,197,genotype
M1157,KONG_E2F3_TARGETS,1.502716794054e-13,3.34268617145927e-10,0.943632225232838,0.594149704931806,3.41279967551619,95,genotype
M9516,PUJANA_BRCA2_PCC_NETWORK,1.66664762689025e-13,3.46018269310774e-10,0.943632225232838,0.377218162750601,2.3688978016625,399,genotype
M3580,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,2.80062128676072e-13,5.45105925701889e-10,0.932595211336209,0.469167716798807,2.84964342485019,193,genotype
M12191,GOBP_DNA_CONFORMATION_CHANGE,3.38636452506167e-13,6.2034214140865e-10,0.932595211336209,0.409222810444289,2.53548032366719,295,genotype
M30497,MIR551B_5P,1.39753387620624e-12,2.41788888737859e-09,0.910119734774459,0.352859944043316,2.23199050948045,470,genotype
M15664,ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER,2.48191500918223e-12,3.68056177218824e-09,0.898671232061694,0.511243468956961,3.01663667287604,137,genotype
M1810,DAZARD_UV_RESPONSE_CLUSTER_G6,2.45219183353303e-12,3.68056177218824e-09,0.898671232061694,0.517466520043963,3.05012829123986,136,genotype
M40952,VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_9MO_UP,2.39274549563268e-12,3.68056177218824e-09,0.898671232061694,0.537419561075636,3.12855823630997,115,genotype
