SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
M40157,DESCARTES_FETAL_CEREBELLUM_MICROGLIA,3.31415312649274e-14,5.16046783326185e-10,0.965327754226083,0.340694605255719,2.55228848965145,466,interaction
M40264,DESCARTES_FETAL_PANCREAS_MYELOID_CELLS,1.87327538866962e-14,5.16046783326185e-10,0.97599468306432,0.472980214873179,3.29653382526307,161,interaction
M40210,DESCARTES_FETAL_INTESTINE_MYELOID_CELLS,3.55458772595418e-12,3.68989903205551e-08,0.898671232061694,0.452853197551108,3.15263511059242,156,interaction
M40168,DESCARTES_FETAL_CEREBRUM_MICROGLIA,8.34497492912998e-12,6.49698023107415e-08,0.875325132024659,0.346221774135408,2.54636877122398,343,interaction
M39305,CUI_DEVELOPING_HEART_C8_MACROPHAGE,3.1285219074993e-11,1.94856858486686e-07,0.851339057116899,0.375795666332387,2.69209525265391,246,interaction
M34028,BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP,5.60554417438943e-11,2.90946427798059e-07,0.851339057116899,0.463027189319613,3.15353875045447,131,interaction
M40927,MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_2DY_UP,1.67526061057024e-10,7.45299513348263e-07,0.826657301178302,0.605186309116446,3.75274665854064,57,interaction
M8838,MODULE_84,3.48520793170632e-10,1.35670431761498e-06,0.814035837847908,0.297952807920078,2.23628322498525,480,interaction
M40148,DESCARTES_FETAL_ADRENAL_MYELOID_CELLS,1.8065301126689e-09,6.25099564097053e-06,0.788186810800237,0.448661650734166,3.04372193921221,122,interaction
M2122,VERHAAK_GLIOBLASTOMA_MESENCHYMAL,1.06558070288281e-08,3.01675584083422e-05,0.747739663149885,0.364528653592003,2.57640844318935,198,interaction
M40244,DESCARTES_FETAL_LUNG_MYELOID_CELLS,1.02683279703439e-08,3.01675584083422e-05,0.747739663149885,0.444900545229164,2.98567667612306,114,interaction
M39022,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,1.41482152829637e-08,3.67169766951712e-05,0.747739663149885,0.314935714322946,2.31580197890908,339,interaction
M39021,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,2.50511877489136e-08,5.80343845769479e-05,0.73376198835648,0.41146161333109,2.80881765755753,133,interaction
M8240,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,2.6089569843853e-08,5.80343845769479e-05,0.73376198835648,0.466974320057775,3.04204393813722,87,interaction
M40221,DESCARTES_FETAL_KIDNEY_MYELOID_CELLS,3.20884168416726e-08,6.66198318188912e-05,0.719512826338911,0.399493368407507,2.73231011430171,138,interaction
M12401,MODULE_75,3.57406806170517e-08,6.95647672360139e-05,0.719512826338911,0.308049614335721,2.26394038768987,332,interaction
M39286,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS,3.83494446684012e-08,7.02516709331382e-05,0.719512826338911,0.455205192159516,3.0131413783244,98,interaction
M14338,GNF2_HCK,1.14870797406441e-07,0.0001882792827806,0.704975715167238,0.473751022408004,3.04158554812841,78,interaction
M40196,DESCARTES_FETAL_HEART_MYELOID_CELLS,1.42270476451423e-07,0.00022152935888251,0.690132458796796,0.449858835427191,2.96047837998533,91,interaction
M40285,DESCARTES_FETAL_PLACENTA_MYELOID_CELLS,2.0550082080459e-07,0.000304747931499835,0.690132458796796,0.418718192265031,2.80172287726784,110,interaction
M15983,MODULE_46,2.77473737954121e-07,0.000392776688516693,0.674962860011025,0.29876550191401,2.1908832631358,326,interaction
M10454,MCLACHLAN_DENTAL_CARIES_UP,2.90182217348169e-07,0.000392906722289421,0.674962860011025,0.338507108173317,2.4010872242216,207,interaction
M39077,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,6.93914600556273e-07,0.000900412020438477,0.659444398037935,0.275696660899702,2.04855196835215,397,interaction
M40900,SCHERER_PBMC_YF_VAX_AGE_18_40YO_JOINT_TO_VACCINIA_AND_YELLOW_FEVER_UP,1.32623270419688e-06,0.00158852072592689,0.643551836150722,0.544218244047664,3.26738437018071,45,interaction
M40901,SCHERER_PBMC_APSV_WETVAX_AGE_18_40YO_JOINT_TO_VACCINIA_AND_YELLOW_FEVER_UP,1.32623270419688e-06,0.00158852072592689,0.643551836150722,0.544218244047664,3.26738437018071,45,interaction
M13673,MODULE_410,1.44601987150105e-06,0.00166538214233261,0.643551836150722,0.649847716865543,3.5569914142636,26,interaction
M40071,DESCARTES_MAIN_FETAL_MYELOID_CELLS,1.49735726624215e-06,0.00166538214233261,0.643551836150722,0.481769444626246,3.03234517211484,65,interaction
M5911,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.60003211141339e-06,0.00171821379357365,0.643551836150722,0.428453738454231,2.81111473408626,90,interaction
M5487,ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP,1.70270701964366e-06,0.00176752340019143,0.643551836150722,0.408089520710103,2.69638470993861,96,interaction
M3010,HECKER_IFNB1_TARGETS,3.25026056170167e-06,0.00326514885201656,0.627256739718528,0.440007560724515,2.8142372057161,76,interaction
M17322,MODULE_76,3.42223045560691e-06,0.00333047190151595,0.627256739718528,0.455564583681977,2.88871978289858,70,interaction
M5913,HALLMARK_INTERFERON_GAMMA_RESPONSE,3.83665303934798e-06,0.00362063784701136,0.610526878385931,0.328853759660308,2.31347765676196,186,interaction
M40175,DESCARTES_FETAL_EYE_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL_CELLS,5.15007082747518e-06,0.00471716193262447,0.610526878385931,0.314035700736064,2.23141461732774,214,interaction
M41142,GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_UP,6.53262161639604e-06,0.0058125400679373,0.610526878385931,0.313978567949623,2.21611281252779,195,interaction
M2568,ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION,7.15545155296578e-06,0.00618986311840168,0.610526878385931,0.388679645727092,2.60202852867432,107,interaction
M356,GNF2_TNFRSF1B,7.9890715706624e-06,0.00672420721225861,0.593325476396405,0.480023057317892,2.96311857020061,54,interaction
M41139,ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP,9.65631768024361e-06,0.00791360645258281,0.593325476396405,0.384222237390782,2.53868554212365,96,interaction
M17265,GNF2_PECAM1,1.09067557495137e-05,0.00870918429618864,0.593325476396405,0.503198972772853,3.04705633750416,48,interaction
M39274,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_FIBROBLASTS_STROMAL_CELLS,1.28518853282803e-05,0.0100058353223326,0.593325476396405,0.429058267880241,2.76196832295454,79,interaction
M1938,MEISSNER_BRAIN_HCP_WITH_H3K27ME3,1.36855132617773e-05,0.0103949818048359,0.593325476396405,0.286669556597296,2.06538442614087,259,interaction
M39287,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS,1.41023273975268e-05,0.0104565399955662,0.593325476396405,0.430953185846536,2.73025255414701,69,interaction
M40004,BUSSLINGER_ESOPHAGEAL_LATE_SUPRABASAL_CELLS,1.57777996080171e-05,0.0114267961719272,0.575610261071129,0.352689347528314,2.38548840651447,121,interaction
M17376,MODULE_107,1.71740300959495e-05,0.0120784430494995,0.575610261071129,0.422835489597636,2.6982551506755,74,interaction
M4396,GNF2_CASP1,1.74532765149149e-05,0.0120784430494995,0.575610261071129,0.384933912481779,2.54799444205967,98,interaction
M40299,DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS,2.08042398797509e-05,0.0140844703985914,0.575610261071129,0.453914453282321,2.80802517245914,55,interaction
M1985,KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS,2.33174680585178e-05,0.0154500551123056,0.575610261071129,0.517465369630969,3.08452610508059,43,interaction
M2266,GNF2_SPRR1B,2.47137074148311e-05,0.0160340474231806,0.575610261071129,0.686506939501695,3.39956325239677,18,interaction
M25882,GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,2.89051812184138e-05,0.0180033030700769,0.575610261071129,0.248515801983973,1.84529014058796,395,interaction
M39119,AIZARANI_LIVER_C17_HEPATOCYTES_3,2.89051812184138e-05,0.0180033030700769,0.575610261071129,0.417211805495046,2.68570932436064,79,interaction
M14829,HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN,4.6303972586039e-05,0.028274476750479,0.557332238758646,0.417822385164532,2.64939776487371,70,interaction
M189,KEGG_RIBOSOME,4.74264795531641e-05,0.028402988966243,0.557332238758646,0.387946229014471,2.51983802475443,84,interaction
M13519,KEGG_GRAFT_VERSUS_HOST_DISEASE,4.96714943970179e-05,0.0291862203492817,0.557332238758646,0.703585070844122,3.35255204852665,15,interaction
M27605,REACTOME_INTERLEUKIN_10_SIGNALING,5.19165103225727e-05,0.029396072081192,0.557332238758646,0.500159257844622,2.97493036348551,42,interaction
M2533,BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE,5.41615271953258e-05,0.0295911978932778,0.557332238758646,0.433336298937634,2.69604567738759,59,interaction
M5123,MODULE_96,5.36002728948461e-05,0.0295911978932778,0.557332238758646,0.581083630796542,3.18060590515251,26,interaction
M12289,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,5.8095838185476e-05,0.0306647558096965,0.557332238758646,0.299283686270879,2.1029068468759,178,interaction
M1431,NADLER_OBESITY_UP,6.37360414673655e-05,0.0330811300562783,0.538434096309916,0.444515936224819,2.74480529919283,53,interaction
M41110,FRANCO_BLOOD_SANOFI_PASTEUR_SA_INACTIVATED_INFLUENZA_VACCINE_CORRELATED_WITH_ANTIBODY_RESPONSE_AGE_18_40YO_1DY_POSITIVE,6.71201699502098e-05,0.0342664972555645,0.538434096309916,0.354820443134919,2.38115941335585,114,interaction
M15716,MODULE_209,6.82482137019751e-05,0.0342804172759179,0.538434096309916,0.393382660999009,2.55228392517718,82,interaction
M41751,RUBENSTEIN_SKELETAL_MUSCLE_MYELOID_CELLS,6.93762578782546e-05,0.034293895600708,0.538434096309916,0.262534609856053,1.90973574255983,308,interaction
M11700,GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,7.38884384397093e-05,0.0354005192290681,0.538434096309916,0.586283783418582,3.16904157102641,25,interaction
M39110,AIZARANI_LIVER_C6_KUPFFER_CELLS_2,7.72725774371257e-05,0.036460948584045,0.538434096309916,0.289127939340469,2.04349275904237,198,interaction
M3218,MOSERLE_IFNA_RESPONSE,8.17847668120539e-05,0.0379716305659724,0.538434096309916,0.581009965538487,3.09458895081612,23,interaction
M41023,ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP,8.29128147995031e-05,0.0379716305659724,0.538434096309916,0.424905689959793,2.6567874914882,61,interaction
M2844,REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,8.74250090251842e-05,0.0394578207400331,0.538434096309916,0.493741928051375,2.87631722078113,38,interaction
M40229,DESCARTES_FETAL_LIVER_MYELOID_CELLS,9.41933062919942e-05,0.0419052563506469,0.538434096309916,0.315732461660988,2.19628181160662,158,interaction
M507,REACTOME_GPCR_LIGAND_BINDING,9.64494067399505e-05,0.0423046116154301,0.538434096309916,0.240551215686369,1.78987804812509,404,interaction
M10041,MODULE_172,0.000103217711537115,0.0446445273984562,0.538434096309916,0.374431134260505,2.4566686761044,90,interaction
M39044,FAN_EMBRYONIC_CTX_BRAIN_MYELOID,0.00010998602077049,0.0469203377922549,0.538434096309916,0.34143864745181,2.28653123141969,111,interaction
M11428,GAURNIER_PSMD4_TARGETS,0.00011676544730752,0.0472247994811792,0.538434096309916,0.456314758907304,2.75137166698729,47,interaction
M13076,GNF2_S100A4,0.000114498229002158,0.0472247994811792,0.538434096309916,0.487654640127992,2.86522766648873,40,interaction
M29523,GOMF_IMMUNE_RECEPTOR_ACTIVITY,0.000112242124695406,0.0472247994811792,0.538434096309916,0.341966416990283,2.29301106218662,112,interaction
M40976,PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_6HR_TOP_30_DEG_UP,0.00011676544730752,0.0472247994811792,0.538434096309916,0.573708009538243,3.0556971009375,23,interaction
M132,GNF2_LCAT,0.000121299887990532,0.0478167229341917,0.538434096309916,0.347954390987778,2.31292720427898,103,interaction
M39888,WP_COVID19_ADVERSE_OUTCOME_PATHWAY,0.000121299887990532,0.0478167229341917,0.538434096309916,0.689763839256043,3.22532354315626,14,interaction
M14108,GNF2_HPX,0.000123567110218771,0.0481015868304121,0.518848077743792,0.346520148986762,2.3254570886254,114,interaction
