SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
M40124,DESCARTES_MAIN_FETAL_CILIATED_EPITHELIAL_CELLS,3.79616256990854e-40,1.18220094752092e-35,1.64704014100292,-0.54540588317583,-2.48597601542179,470,region
M40241,DESCARTES_FETAL_LUNG_CILIATED_EPITHELIAL_CELLS,1.13565450315045e-36,1.76832762685557e-32,1.57637362160047,-0.564998543835413,-2.55525192251929,375,region
M40298,DESCARTES_FETAL_STOMACH_CILIATED_EPITHELIAL_CELLS,1.28498551174869e-34,1.33390062689592e-30,1.52970525162309,-0.624066536580227,-2.7726375619857,244,region
M16804,MODULE_114,1.82936595323005e-23,9.49501908591502e-20,1.25451347943706,-0.525780969784921,-2.36612967341817,313,region
M3062,CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2,1.63111124556756e-23,9.49501908591502e-20,1.25451347943706,-0.493371014793898,-2.2360960403106,399,region
M4842,MODULE_83,2.98853761191428e-23,1.32955769014621e-19,1.24623277191648,-0.527805962477082,-2.37199959183329,305,region
M8229,REACTOME_TRANSLATION,1.06091897940952e-22,4.12989235709641e-19,1.22950405660873,-0.53980642446394,-2.40652423661876,268,region
M39136,GAO_ESOPHAGUS_25W_C1_CILIATED_EPITHELIAL_CELLS,1.20725045248365e-22,4.17735484347177e-19,1.22950405660873,-0.494954986334271,-2.24107783508055,383,region
M11197,HSIAO_HOUSEKEEPING_GENES,6.47517246427087e-22,1.8331801898393e-18,1.21254456769062,-0.492454150661614,-2.22429216242136,361,region
M10736,MODULE_151,2.08943318454623e-21,5.42242735276156e-18,1.19534448258848,-0.519766279142822,-2.33094697420185,294,region
M16027,GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,4.43947121563736e-21,1.06349240459522e-17,1.18665095279281,-0.472321098515925,-2.14397434495328,425,region
M10791,ENK_UV_RESPONSE_KERATINOCYTE_UP,1.46378122968417e-20,3.25607678963032e-17,1.16906996676109,-0.450214776421302,-2.05922068745451,496,region
M12671,SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN,2.67339168364416e-19,5.20342273825291e-16,1.13308993200902,-0.498322130924782,-2.24223790897233,310,region
M41708,FAN_OVARY_CL6_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_2,3.71992195541805e-19,6.81445938444877e-16,1.13308993200902,-0.507594297892866,-2.2699181171951,282,region
M17089,GOCC_RIBOSOME,2.96861562394127e-18,4.86571725056732e-15,1.10533657731401,-0.536799359563382,-2.37258937996855,212,region
M41748,RUBENSTEIN_SKELETAL_MUSCLE_SATELLITE_CELLS,1.53288646941226e-17,2.27319763954459e-14,1.07686819261983,-0.495436130726651,-2.21937787443731,288,region
M13371,GOBP_NCRNA_METABOLIC_PROCESS,3.50007780323236e-17,4.73910534557662e-14,1.06720998682811,-0.436150774283847,-1.98292539620306,446,region
M13713,YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13,4.92854931526934e-17,6.39520344900491e-14,1.06720998682811,-0.564135887431212,-2.46664107878763,168,region
M10939,MORF_UBE2I,7.28746494895617e-17,9.07784933761572e-14,1.05746357275086,-0.513581599033432,-2.27964030845604,230,region
M39285,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_CILIATED_CELLS,9.05914857262393e-17,1.08507694172559e-13,1.05746357275086,-0.59277092539794,-2.54615037533457,134,region
M40771,ZNF260_TARGET_GENES,2.77368371646009e-16,3.19918734437037e-13,1.03769615548758,-0.446266038241211,-2.02108037937385,396,region
