SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET7511,VELMESHEV_2019_NEU_NRGN_I,7.01636987224523e-40,3.18332701103766e-36,1.64704014100292,-0.58193870826328,-3.36798703412279,327,genotype
MOSET7512,VELMESHEV_2019_NEU_NRGN_II,5.27956091773674e-34,1.19766839418858e-30,1.51610760180865,-0.56635718082345,-3.26834701259129,297,genotype
MOSET7758,JAKEL_2019_NEURON4,3.49052172994566e-31,5.27883236292115e-28,1.45334466856494,-0.49039515364367,-2.86467230837177,435,genotype
MOSET7191,LAKE_2018_EX3E_DE_EX_CLUSTERS,1.53741493495635e-27,1.74381288997424e-24,1.36517960216169,-0.53740439759538,-3.09561569537271,284,genotype
MOSET7156,LAKE_2018_EX3E,3.98407600836545e-25,3.61515056999081e-22,1.30309315086572,-0.489243860331458,-2.8333421186908,353,genotype
MOSET47,OLDHAM_CORTEX_MODULE_GREEN,3.19009578914168e-24,2.41224409922263e-21,1.27903397725049,-0.574375510495536,-3.24819955420877,198,genotype
MOSET17,FOSTER_MITOCHONDRIA_PROTEINS,4.08241732035194e-24,2.64598962606239e-21,1.27091304449619,-0.569788147817158,-3.22415492440725,204,genotype
MOSET7598,NAGY_2020_EX5,4.5354588575143e-21,2.5721721045678e-18,1.18665095279281,-0.433015316393095,-2.53393711128738,445,genotype
MOSET7189,LAKE_2018_EX3C_DE_EX_CLUSTERS,1.374267986147e-18,6.92783761460992e-16,1.11466447751729,-0.54862045696409,-3.07000143166045,168,genotype
MOSET7154,LAKE_2018_EX3C,7.31547843423561e-18,3.3190325656127e-15,1.0864405425825,-0.497774723659592,-2.84033624135128,236,genotype
MOSET7249,MATHYS_2019_EX8_DE_SUBTYPE_CLUSTERS,1.11578214115061e-17,4.60209415854575e-15,1.0864405425825,-0.537718407016729,-3.02249010821317,174,genotype
MOSET12,FOSTER_CYTOPLASM_PROTEINS,4.42307008866748e-17,1.67228908269036e-14,1.06720998682811,-0.468495708461635,-2.69614242526262,282,genotype
MOSET7153,LAKE_2018_EX3B,5.8483656735719e-16,2.04107962007659e-13,1.02766987054358,-0.404751208482545,-2.3645072140555,416,genotype
