SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET6937,ZEISEL_MICROGLIA,2.09761720870433e-14,4.75844463794578e-11,0.97599468306432,0.382320089855728,2.41068880174854,406,genotype
MOSET7596,NAGY_2020_MICRO_MACRO,1.58163153034473e-14,4.75844463794578e-11,0.97599468306432,0.445985663105895,2.7470966702561,257,genotype
MOSET6789,MASICA_Upregulated_IDH1_mutation,5.77606107761062e-13,8.7353297030398e-10,0.921426003494898,0.350957032140739,2.22922554479594,497,genotype
MOSET7214,LAKE_2018_OPC_CER_DE_OG_CLUSTERS,9.39088931934298e-13,1.06516162104648e-09,0.910119734774459,0.456892443217198,2.78849392155799,201,genotype
MOSET8651,AYHAN_2021_MICRO1,1.82203173512351e-11,1.65331159645107e-08,0.863415391606693,0.37310920159898,2.33407451164145,352,genotype
MOSET6797,PHILLIPS_MOST_DIFF_EXP_IN_PROLIF_SUBTYPE_217_GENES,3.56505163983696e-11,2.69577321499004e-08,0.851339057116899,0.494554291665861,2.93675428578825,136,genotype
MOSET7520,VELMESHEV_2019_MICROGLIA,3.83963226012909e-10,2.48863022345796e-07,0.814035837847908,0.437670985909471,2.65790423872715,182,genotype
MOSET7227,LAKE_2018_CER_MIC,3.21335673752407e-09,1.82237493976834e-06,0.774939030136436,0.476166605592607,2.80139700822054,125,genotype
MOSET6976,MANCARCI_EPENDYMAL,1.59653691691193e-08,8.04831999114383e-06,0.73376198835648,0.633683013399321,3.30362152116418,46,genotype
MOSET221,STANFORD_TONSIL_SW,4.20017188452293e-08,1.73237998546187e-05,0.719512826338911,0.345135853430575,2.13769508942552,307,genotype
MOSET7183,LAKE_2018_OPC_CER,3.88711978263647e-08,1.73237998546187e-05,0.719512826338911,0.419386761151389,2.51105935745605,152,genotype
MOSET7147,HABIB_2017_GLUT6_DE_GLUT_CLUSTERS,7.49803213776126e-08,2.83488098408524e-05,0.704975715167238,0.543620390121533,2.98035645140313,69,genotype
MOSET219,STANFORD_THYMUS_SW,8.23209378250505e-08,2.87300073009426e-05,0.704975715167238,0.367376444453591,2.25483180865226,232,genotype
MOSET43,OLDHAM_CORTEX_MODULE_BLACK,1.0434283316594e-07,3.38145310052765e-05,0.704975715167238,0.477881944400187,2.72984956024788,96,genotype
MOSET7754,JAKEL_2019_MICROGLIA_MACROPHAGE,6.17287015350234e-07,0.000155590621591334,0.659444398037935,0.404067411434497,2.42038824678405,151,genotype
MOSET8649,AYHAN_2021_MICRO3,5.83230356384081e-07,0.000155590621591334,0.659444398037935,0.373769924192641,2.27829786259735,198,genotype
MOSET8650,AYHAN_2021_MICRO2,1.480244799099e-06,0.000335793532675608,0.643551836150722,0.361738298124858,2.21154318896578,203,genotype
MOSET7111,AGARWAL_SN_2020_MICROGLIA,1.73693200113415e-06,0.00037526002329265,0.643551836150722,0.34409921145616,2.11185726631851,240,genotype
MOSET7553,YANG_2021_MACROPHAGE_MICROGLIA,3.56014527542807e-06,0.000734199050664415,0.627256739718528,0.372872014601663,2.26189948823471,180,genotype
MOSET6858,NOUSHMEHR_UPREGULATED_IN_GCIMP_PRONEURAL_AFFY&AGI_491GENES,4.32054286736079e-06,0.000852274043009386,0.610526878385931,0.290167300397333,1.83861458894292,450,genotype
MOSET7198,LAKE_2018_GRAN_DE_EX_CLUSTERS,5.70309066703662e-06,0.00107812176484771,0.610526878385931,0.381629707048237,2.28933816005643,156,genotype
MOSET7607,ABSINTA_2021_IMMUNE,1.14625066712327e-05,0.00208021571069531,0.593325476396405,0.324212209587247,1.99827616489611,255,genotype
MOSET7226,LAKE_2018_CER_OPC_CER,1.82910163262643e-05,0.00319178234893312,0.575610261071129,0.38318731475758,2.27543670702655,136,genotype
MOSET7752,JAKEL_2019_IMMUNE_OLIGO,2.10834872570101e-05,0.00341627791732338,0.575610261071129,0.432386204617875,2.46384939821305,93,genotype
MOSET7275,MATHYS_2019_MIC0_DE_SUBTYPE_CLUSTERS,2.38759636905636e-05,0.00373535335393404,0.575610261071129,0.411684496808581,2.37975726531388,105,genotype
MOSET8677,AYHAN_2021_GRA_NEU6_DE_NEU_CLUSTERS,3.00276779217528e-05,0.00454118582436642,0.575610261071129,0.309175617131879,1.91074388763952,282,genotype
MOSET7184,LAKE_2018_MIC,8.62969601452296e-05,0.0118645244902699,0.538434096309916,0.46584072324227,2.52816395620874,64,genotype
MOSET7770,JAKEL_2019_IMMUNE_OLIGO_DE_OG_CLUSTERS,0.00011676544730752,0.01558131865983,0.538434096309916,0.372413536656164,2.19365111421481,126,genotype
MOSET7059,kelley_Ependymal,0.000132636010205156,0.0170015552612238,0.518848077743792,0.3701540423547,2.17534377831447,123,genotype
MOSET7132,HABIB_2017_MG,0.000134903237690998,0.0170015552612238,0.518848077743792,0.525369632058039,2.71220917182518,42,genotype
MOSET6716,KAWAGUCHI_E14_CORTICAL_BASAL_PROGENITOR_CELLS,0.000143972156180359,0.017654099259197,0.518848077743792,0.417067497392178,2.3364315926549,82,genotype
MOSET7061,kelley_OPC,0.00015530832071387,0.0185429960810217,0.518848077743792,0.3594002822277,2.14088173173581,139,genotype
MOSET7229,LAKE_2018_CER_OPC_CER_DE_OPC_CLUSTERS,0.000211989317561616,0.0246614239430013,0.518848077743792,0.421649578645167,2.34631012790009,79,genotype
MOSET6601,MGI_MP:0005234__THYMIC_LYMPHOMA,0.000239240934292754,0.0268282104565492,0.518848077743792,0.604981995794978,2.81846634619256,23,genotype
MOSET6827,PENG_HOMOLOGOUS_RECOMBINATION_DEF_230GENES,0.000248354604182293,0.0268282104565492,0.49849310876659,0.306847568323374,1.87879594665096,206,genotype
MOSET6829,PENG_DOWN_WITH_HOMOLOGOUS_RECOM_DEF_148GENES,0.000243797767997561,0.0268282104565492,0.518848077743792,0.353181928138393,2.10384013402547,139,genotype
MOSET6896,Suva_single_cell_microglia/macrophage_PC2,0.000257468283464926,0.0271658977227993,0.49849310876659,0.445383259758529,2.37556281147823,58,genotype
MOSET145,STANFORD_B-CELLS_EXPANDED_SW,0.000280252516753494,0.0288978561025137,0.49849310876659,0.328586650780557,1.97893223389365,164,genotype
MOSET2411,MGI_MP:0003788__ABNORMAL_INTERFERON_PHYSIOLOGY,0.000293923077053813,0.0296339777909589,0.49849310876659,0.467569442832002,2.45590719174053,52,genotype
MOSET2144,MGI_MP:0000245__ABNORMAL_ERYTHROPOIESIS,0.000357719170213556,0.035281997288237,0.49849310876659,0.44988440498712,2.38513459245346,55,genotype
MOSET7354,TRAN_AMY_2020_MACROPHAGE,0.000385060406241645,0.0363962304816321,0.49849310876659,0.538145975617944,2.67429860470605,34,genotype
MOSET7392,TRAN_DLPFC_2020_MACROPHAGE,0.000385060406241645,0.0363962304816321,0.49849310876659,0.538145975617944,2.67429860470605,34,genotype
MOSET1815,MGI_MP:0003077__ABNORMAL_CELL_CYCLE,0.000403287909862777,0.0373411683070902,0.49849310876659,0.459785021534334,2.41501954062996,52,genotype
MOSET1669,MGI_MP:0002144__ABNORMAL_B_CELL_DIFFERENTIATION,0.00048084467974758,0.0419536983079764,0.49849310876659,0.416155194840235,2.28837704485443,72,genotype
MOSET6951,LaMANNO_GABA_MIDBRAIN,0.00048084467974758,0.0419536983079764,0.49849310876659,0.313705825851959,1.90219729235524,179,genotype
MOSET2329,MGI_MP:0002123__ABNORMAL_HEMATOPOIESIS,0.000508320710397255,0.0435141710013651,0.477270815362862,0.412227633627225,2.26217823964527,70,genotype
