SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET6851,ZHANG_MOUSE_MICROGLIA_2014,4.25457737514334e-17,1.93030175510254e-13,1.06720998682811,0.60476515725585,3.97192501654004,97,interaction
MOSET7053,kelley_microglia,4.63727633731274e-15,1.05196613711939e-11,0.996986217533181,0.523642835244023,3.55761282280905,129,interaction
MOSET55,OLDHAM_CORTEX_MODULE_PURPLE,1.04199894976878e-09,1.18188730877524e-06,0.788186810800237,0.638676710493625,3.77274243518311,44,interaction
MOSET6946,LaMANNO_MICROGLIA_MIDBRAIN,2.4791592283566e-08,1.87465756984232e-05,0.73376198835648,0.338121641615451,2.46032807024602,261,interaction
MOSET7027,kelley_microglia,2.24552343164975e-08,1.87465756984232e-05,0.73376198835648,0.602185213637622,3.55349223610371,43,interaction
MOSET6808,HICKMAN_MICROGLIA_SENSOME_99,1.54916519182667e-07,0.00010040803536168,0.690132458796796,0.452599491753243,2.96091530216175,93,interaction
MOSET6799,VERHAAK_TCGA_MESENCHYMAL_GBM_SUBTYPE,2.81709896569227e-07,0.000159764725091823,0.674962860011025,0.347730675012582,2.4658278379758,196,interaction
MOSET169,STANFORD_INTERFERONBIG_SW,4.52792460244858e-06,0.00228257710236769,0.610526878385931,0.49391617761759,3.04880981302876,56,interaction
MOSET5672,MGI_MP:0002412__INCREASED_SUSCEPTIBILITY_TO_BACTERIAL_INFECTION,7.5722612390785e-06,0.00343553492416991,0.610526878385931,0.36654099635276,2.47886461655178,124,interaction
MOSET51,OLDHAM_CORTEX_MODULE_ORANGE,8.4058824517145e-06,0.00346704442576624,0.593325476396405,0.366740244569174,2.49162159568441,129,interaction
MOSET7234,LI_2018_MICROGLIA,9.79525512310821e-06,0.00370342270779516,0.593325476396405,0.578629910289659,3.26667525199369,33,interaction
MOSET6809,HICKMAN_MICROGLIA_SENSOME_82,2.13627346883417e-05,0.00745559440623124,0.575610261071129,0.42034207885591,2.6950184116539,76,interaction
MOSET4692,MGI_MP:0002411__DECREASED_SUSCEPTIBILITY_TO_BACTERIAL_INFECTION,3.28339247566132e-05,0.0106405369014824,0.557332238758646,0.521913544951869,3.04241479289023,40,interaction
MOSET341,"GAD_DIGESTIVE_SYSTEM_DISEASES_COLITIS,_ULCERATIVE",5.58452904027748e-05,0.0167936707952159,0.557332238758646,0.516244558167967,2.98203713975996,38,interaction
MOSET6834,HICKMAN_MACROPHAGE_top25,5.92238776115174e-05,0.0167936707952159,0.557332238758646,0.613481298531856,3.19195110093404,23,interaction
MOSET317,GAD_DIGESTIVE_SYSTEM_DISEASES_CROHN_DISEASE,8.29128147995031e-05,0.0221279671026674,0.538434096309916,0.482980360556005,2.85302481160047,44,interaction
MOSET6772,WATKINS_CD56+_NK_CELLS,9.87055077897646e-05,0.0248792716023423,0.538434096309916,0.465304726067723,2.81301512466065,48,interaction
MOSET282,"GAD_SKIN_AND_CONNECTIVE_TISSUE_DISEASES_LUPUS_ERYTHEMATOSUS,_SYSTEMIC",0.000121299887990532,0.0289651364112128,0.538434096309916,0.443728860584962,2.70921536395343,52,interaction
MOSET553,GAD_NERVOUS_SYSTEM_DISEASES_CEREBRAL_INFARCTION,0.000134903237690998,0.0306027994702029,0.518848077743792,0.662244698543133,3.07507250193614,15,interaction
