SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET6935,ZEISEL_EPENDYMAL,6.32624237433472e-40,2.87021616523566e-36,1.64704014100292,-0.556774644864983,-2.5394652095786,437,region
MOSET7133,HABIB_2017_EPENDYMAL,2.98523066275978e-22,6.77199575847057e-19,1.22105375677186,-0.540680855953782,-2.42236951681221,264,region
MOSET7059,kelley_Ependymal,3.91153958667089e-21,5.91555170157528e-18,1.18665095279281,-0.649666708071438,-2.77444501591278,123,region
MOSET6962,GOKCE_EPENDYMAL_CILIA_STR,1.31525028671032e-11,1.19345811016094e-08,0.875325132024659,-0.753618218743687,-2.916370907227,38,region
MOSET39,SUGINO_UP_GABAERGIC_NEURONS,2.03922456512374e-11,1.5419936419944e-08,0.863415391606693,-0.480414876765044,-2.11562272322358,195,region
MOSET7552,YANG_2021_EPENDYMAL,2.34317750602101e-10,1.51871376354533e-07,0.814035837847908,-0.478954554813164,-2.10726469350459,193,region
MOSET6938,ZEISEL_CA1PYRAMIDAL,4.86779564747529e-10,2.76064860657443e-07,0.801215574617779,-0.399778708283006,-1.81433193756594,388,region
MOSET6735,JACQUET_DOWN_IN_FOXJ1_NULL_ADULT_STEM_CELL_NICHE,6.05503928624214e-10,3.05241258240895e-07,0.801215574617779,-0.664966417895395,-2.67900840369199,51,region
MOSET7280,SCHIRMER_2019_EX_L2_3,1.24880421747842e-09,5.6658247346996e-07,0.788186810800237,-0.394467278909609,-1.78407091555866,358,region
MOSET6790,MASICA_Downregulated_IDH1_mutation,1.49269948465872e-08,5.64364796824716e-06,0.73376198835648,-0.381130878072085,-1.73028164006804,391,region
MOSET2,ABA_CHOROID_PLEXUS,1.93400947889031e-08,6.74969308132718e-06,0.73376198835648,-0.536419051045034,-2.23688933193798,92,region
MOSET7614,ABSINTA_2021_SENESCENT_ASTROCYTE_DE_ASC_CLUSTERS,2.79144126703997e-08,9.04626359182881e-06,0.73376198835648,-0.551902961868049,-2.28978508025171,82,region
MOSET6833,Raju_18GW_INTERNEURONS_FDR,4.56539971366731e-08,1.2184246177005e-05,0.719512826338911,-0.358227765206673,-1.63947497117709,487,region
MOSET87,DOYLE_CEREBELLAR_ASTROCYTES,4.51322428809799e-08,1.2184246177005e-05,0.719512826338911,-0.394156997542654,-1.77566668946302,313,region
MOSET15,FOSTER_ER-GOLGI-DERIVED_VESICLE_PROTEINS,5.40072131374281e-08,1.29651962225793e-05,0.719512826338911,-0.498473313752588,-2.12299124823783,120,region
MOSET6911,Gokce_mouse_D1_MSN_SC_RNAseq,5.71531682723354e-08,1.29651962225793e-05,0.719512826338911,-0.471904436780046,-2.03928432845408,147,region
MOSET6988,GOKCE_D1MSN,5.71531682723354e-08,1.29651962225793e-05,0.719512826338911,-0.471904436780046,-2.03928432845408,147,region
MOSET7541,YANG_CP_2021_GPX3_EPITHELIAL,9.28075477017029e-08,2.00508497106012e-05,0.704975715167238,-0.545594741376552,-2.26213685043676,81,region
MOSET173,STANFORD_LENS1_SW,1.35947462494169e-07,2.80360744243656e-05,0.690132458796796,-0.391211081906622,-1.75865062821264,299,region
MOSET21,FOSTER_RECYCLING_ENDOSOME_TRANS-GOLGI_NETWORK_PROTEINS,1.59131870510344e-07,3.12778701534855e-05,0.690132458796796,-0.447026073558885,-1.95361105375982,168,region
MOSET6,BACHOO_ASTROCYTES_SVM,1.65454900525381e-07,3.12778701534855e-05,0.690132458796796,-0.475060919237133,-2.04489501016451,135,region
MOSET7751,JAKEL_2019_IMMUNE,2.18167682540149e-07,3.66602509512835e-05,0.690132458796796,-0.502283781893303,-2.11525888668072,107,region
MOSET85,DOYLE_BERGMAN_GLIA_CORRECTED,2.52056814861466e-07,4.08422060366596e-05,0.674962860011025,-0.383443759432875,-1.72651624412038,316,region
MOSET6864,NOUSHMEHR_HYPERMETHYLATED_DOWNREGULATED_AGI_IN_GCIMP_PRONEURAL_411_GENES,9.66872335188647e-07,0.000146223326158363,0.643551836150722,-0.360917258938231,-1.63531417650461,378,region
MOSET6866,NOUSHMEHR_HYPERMETHYLATED_DOWNREGULATED_AFFY&AGI_IN_GCIMP_PRONEURAL_411_GENES,9.66872335188647e-07,0.000146223326158363,0.643551836150722,-0.360917258938231,-1.63531417650461,378,region
MOSET7753,JAKEL_2019_MACROPHAGE,1.20644568821908e-06,0.000171051377732811,0.643551836150722,-0.447492594887286,-1.93357741863055,141,region
MOSET6958,ZHANG_MOUSE_PERICYTE_2014,1.25778295947837e-06,0.000172926099610709,0.643551836150722,-0.532565536336146,-2.18742101396533,73,region
MOSET7617,ABSINTA_2021_MS_MICROGLIA_DE_MG_CLUSTERS,1.39468249805592e-06,0.000186108073343521,0.643551836150722,-0.429059493851036,-1.87883176337522,173,region
MOSET6915,Gokce_D1_Cxcl14_MSN_SC_RNAseq,1.80571918262668e-06,0.000227570775877145,0.643551836150722,-0.443619092150213,-1.91713991990197,148,region
MOSET6992,GOKCE_D1_CXCL14_MSN,1.80571918262668e-06,0.000227570775877145,0.643551836150722,-0.443619092150213,-1.91713991990197,148,region
MOSET6886,TURCAN_CpG_HYPERMETHYLATED_AND_DOWNREGULATED_IN_IDH1MUT_CLINICAL_SAMPLES_442_GENES,3.14707866533126e-06,0.000383957545554741,0.627256739718528,-0.349794271466093,-1.59106682227241,414,region
MOSET2464,MGI_MP:0000527__ABNORMAL_KIDNEY_DEVELOPMENT,3.45662444348628e-06,0.000402120643592238,0.627256739718528,-0.592237399542053,-2.33389114635998,45,region
MOSET7104,AGARWAL_CTX_2020_IN8_DE_IN_CLUSTERS,5.28832571386586e-06,0.000599828344095235,0.610526878385931,-0.459411045148267,-1.94037816328849,109,region
MOSET6733,ZENG_HUMAN_INTERNEURON_MARKERS,1.00731301065996e-05,0.00103867707485551,0.593325476396405,-0.579694101965821,-2.28446047686501,45,region
MOSET6837,Mukamel_InhibitoryNeurons,1.09067557495137e-05,0.00109964335190097,0.593325476396405,-0.481909846557677,-2.00559078782657,88,region
MOSET7767,JAKEL_2019_PERICYTE,1.54985538723361e-05,0.0015286291069302,0.575610261071129,-0.34573969866844,-1.56608467180204,367,region
MOSET6832,Raju_18GW_INTERNEURONS_BC,1.74532765149149e-05,0.00164969824058685,0.575610261071129,-0.412781239172158,-1.80936636972952,179,region
MOSET7079,AGARWAL_CTX_2020_IN5,2.30382203017519e-05,0.00213315113283772,0.575610261071129,-0.406157620392606,-1.7729209608639,167,region
MOSET7324,TRAN_ACC_2020_EXCIT_G_DE_PAIRWISE,2.55514514415612e-05,0.00227307716059536,0.575610261071129,-0.640381039853856,-2.40053529173778,29,region
