SetID,SetName,pval,padj,log2err,ES,NES,size,Predictor
MOSET6941,ZEISEL_S1PYRAMIDAL,8.18007586809704e-16,3.71130042135563e-12,1.02766987054358,0.40400370866403,3.53405033484616,259,region
MOSET7535,YANG_PFC_2021_L5_6_EXCITATORY_NEURON,6.3066299252452e-15,1.43065899854187e-11,0.996986217533181,0.396152527171592,3.46331993798731,243,region
MOSET7543,YANG_CP_2021_NEURAL,1.11655118095906e-12,1.68859756933708e-09,0.910119734774459,0.304545977286654,2.73337280466177,470,region
MOSET7159,LAKE_2018_EX5B,7.86469714071555e-12,8.92053273185661e-09,0.875325132024659,0.382656433761797,3.34668274871953,218,region
MOSET7755,JAKEL_2019_NEURON1,3.03151545033987e-11,2.7507971196384e-08,0.851339057116899,0.292706028455658,2.62714228556268,457,region
MOSET7161,LAKE_2018_EX6B,1.45973264388804e-10,1.10380116755334e-07,0.826657301178302,0.386062424223774,3.36279843460714,191,region
MOSET7638,LAU_2020_EXCIT,2.34317750602101e-10,1.51871376354533e-07,0.814035837847908,0.296623261847848,2.6502334522045,388,region
MOSET7160,LAKE_2018_EX6A,1.50333441061286e-09,7.57847580105617e-07,0.788186810800237,0.359729476336877,3.13955408736657,209,region
MOSET7241,MATHYS_2019_EX12_DE_SUBTYPE_CLUSTERS,1.42379367035542e-09,7.57847580105617e-07,0.788186810800237,0.300245046780747,2.66651630703907,342,region
MOSET7152,LAKE_2018_EX3A,3.30959205849481e-09,1.5015619169391e-06,0.774939030136436,0.329156355324528,2.8830482951832,251,region
MOSET7196,LAKE_2018_EX6B_DE_EX_CLUSTERS,4.14499946230137e-09,1.70962386913285e-06,0.761460801445585,0.403716070796983,3.3847952632946,142,region
MOSET7961,BAKKEN_2019_L5_IT_GLUTAMATERGIC_DE_GLUT_CLUSTERS,9.3642109593346e-09,3.54045209354176e-06,0.747739663149885,0.374528322382727,3.19786172900045,166,region
MOSET7530,YANG_PFC_2021_L4_EXCITATORY_NEURON,2.271482952647e-08,7.92747550473804e-06,0.73376198835648,0.324652612209423,2.83671667230247,230,region
MOSET7959,BAKKEN_2019_L5_6_NP_GLUTAMATERGIC_DE_GLUT_CLUSTERS,2.45319968430562e-08,7.950119262639e-06,0.73376198835648,0.268577820027264,2.39995535021411,415,region
MOSET7069,AGARWAL_CTX_2020_EX5B,3.67841858701729e-08,9.81705007605731e-06,0.719512826338911,0.321288516759753,2.81074372703631,238,region
MOSET7210,LAKE_2018_PURK1_DE_IN_CLUSTERS,3.57406806170517e-08,9.81705007605731e-06,0.719512826338911,0.3088569276445,2.70289855135883,255,region
MOSET7534,YANG_PFC_2021_L5_6_CC_EXCITATORY_NEURON,3.67841858701729e-08,9.81705007605731e-06,0.719512826338911,0.322951624448176,2.82089086088049,226,region
MOSET7151,LAKE_2018_EX2,4.30452265544389e-08,1.04033363499659e-05,0.719512826338911,0.340435622463829,2.9701891962635,193,region
MOSET7526,YANG_PFC_2021_L2_3_EXCITATORY_NEURON,4.35669805266368e-08,1.04033363499659e-05,0.719512826338911,0.293039699038102,2.59960327950856,297,region
MOSET7211,LAKE_2018_PURK2_DE_IN_CLUSTERS,5.29585626584527e-08,1.201364993907e-05,0.719512826338911,0.304669005415299,2.68098818451785,275,region
