Network,Module,Predictor,Estimate,Pval,MO_Sets,Broad_Sets
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,whitesmoke,Region,0.599572233593855,0.00985933362535835,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,yellowgreen,Region,0.51060140265842,0.0461818774412883,LAKE_2018_EX3B (8.6e-10) | LAKE_2018_EX3A (6.1e-09) | LAKE_2018_EX3D (1.2e-08) | YANG_PFC_2021_L2_3_EXCITATORY_NEURON (1.4e-08) | LAU_2020_EXCIT (5.6e-08) | AGARWAL_CTX_2020_EX2 (1.9e-07) | LAKE_2018_EX2 (2.3e-07) | LAKE_2018_EX3D_DE_EX_CLUSTERS (4.9e-07) | ABSINTA_2021_NEURON (5.4e-07) | YANG_PFC_2021_L5_6_EXCITATORY_NEURON (6.3e-07) | BARRES_NEURONS (8.6e-07) | LAKE_2018_EX1 (9.1e-07) | YANG_PFC_2021_PV_INTERNEURON (9.8e-07) | HABIB_2017_EXPFC1 (1.8e-06) | JAKEL_2019_NEURON5 (2.2e-06) | JAKEL_2019_NEURON3 (3.1e-06) | AGARWAL_CTX_2020_EX2_DE_EX_CLUSTERS (3.3e-06) | MATHYS_2019_IN11_DE_SUBTYPE_CLUSTERS (4.8e-06) | MGI_MP:0000125__ABSENT_INCISORS (5.2e-06) | VELMESHEV_2019_NEU_MAT (6e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,paleturquoise,Region,0.596749576474285,0.00764197805632308,YANG_PFC_2021_L4_EXCITATORY_NEURON (5e-11) | ZEISEL_S1PYRAMIDAL (1.3e-10) | AYHAN_2021_INH_GAD1_4_DE_IN_GAD1_CLUSTERS (8.8e-10) | YANG_PFC_2021_L2_3_EXCITATORY_NEURON (1.4e-08) | BAKKEN_2019_L5_IT_GLUTAMATERGIC_DE_GLUT_CLUSTERS (1.4e-08) | AYHAN_2021_IN_NEU2_DE_NEU_CLUSTERS (5.7e-08) | JAKEL_2019_NEURON3 (6.4e-08) | LAKE_2018_EX5B (6.6e-08) | LAU_2020_EXCIT (8.8e-08) | AYHAN_2021_IN_NEU5_DE_NEU_CLUSTERS (9.1e-08) | ABSINTA_2021_NEURON (1.1e-07) | MATHYS_2019_EX2_DE_SUBTYPE_CLUSTERS (1.7e-07) | AYHAN_2021_DEN_GYR3 (2.1e-07) | LAKE_2018_EX4 (2.2e-07) | LAKE_2018_EX1 (2.5e-07) | AYHAN_2021_INH_GAD1_8_DE_IN_GAD1_CLUSTERS (1.9e-06) | LUO_2019_EXC_L4_6_LRRK1_RXRG_DE_NEURON_CLUSTERS (2.1e-06) | MATHYS_2019_IN8_DE_SUBTYPE_CLUSTERS (2.3e-06) | AGARWAL_CTX_2020_EX5A_DE_EX_CLUSTERS (2.4e-06) | HABIB_2017_GLUT2_DE_GLUT_CLUSTERS (2.7e-06) | BAKKEN_2019_L5_6_NP_GLUTAMATERGIC_DE_GLUT_CLUSTERS (2.8e-06) | AGARWAL_CTX_2020_EX5A (3.2e-06) | LAKE_2018_EX3A (4.4e-06) | AGARWAL_CTX_2020_EX1 (5.5e-06) | Layer3_He_NatNeuro_2017 (5.8e-06) | ABSINTA_2021_NONREACTIVE_ASTROCYTE_DE_ASC_CLUSTERS (6.3e-06) | VELMESHEV_2019_NEU_MAT (6.6e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,limegreen,Region,0.484482953969392,0.0239541211822364,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,yellow2,Genotype,0.580791242704497,0.0183645231247935,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,red3,Genotype,0.560017262224948,0.0269790225349459,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,olivedrab3,Genotype,0.700589995059599,0.000267888219504431,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,darkorange,Genotype,0.555817479659563,0.00077954286424952,HABIB_2017_GLUT6_DE_GLUT_CLUSTERS (4.5e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,mediumpurple4,Genotype,0.561658195205582,0.0036067211610358,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,rosybrown,Interaction,0.767381982026316,0.0252328417810642,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,lightpink3,Region,0.302390212719699,0.0340197816589542,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,darkmagenta,Region,0.44346049010354,0.0480487547457937,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,plum1,Region,0.660540754074754,0.000183984348407986,Layer3_He_NatNeuro_2017 (3.2e-06) | BAKKEN_2019_L2_3_IT_GLUTAMATERGIC_DE_GLUT_CLUSTERS (4.3e-06) | CHAT_STR_noGSE3790_MetaCor_top50 (9.2e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,lightskyblue4,Region,0.492387850406628,0.0307477701215113,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,darkgoldenrod,Region,0.662374523383307,0.00435458597704591,LAKE_2018_EX3D_DE_EX_CLUSTERS (1.9e-07) | LAKE_2018_EX3D (4.2e-07) | AGARWAL_CTX_2020_EX6B (6e-07) | MATHYS_2019_EX12_DE_SUBTYPE_CLUSTERS (8.7e-07) | JAKEL_2019_OPC_DE_OG_CLUSTERS (1.4e-06) | MATHYS_2019_IN3_DE_SUBTYPE_CLUSTERS (9.6e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,violetred4,Interaction,-0.43420490328067,0.0428410852659196,LAKE_2018_IN2 (4.2e-06),
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,orange,Genotype,0.45361710768569,0.00671341422301014,,
Bicor-None_signum0.508_minSize10_merge_ME_0.85_18566,bisque2,Genotype,0.419668521472204,0.0167030932205516,,
